Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Hakeem Olajuwon, C",0.878048780488,0.878048780488,0.889887640449,0.948805460751,0.428571428571,0.646153846154,0.6,0.284552845528,0.528571428571,0.859335038363,0.846153846154,0.636363636364,0.275,0.940677966102,0.903361344538,0.517,0.0,0.0263157894737,0.188,0.658823529412,0.681818181818,0.76,0.940677966102,0.972602739726,0.52,0.59,0.52
"Clyde Drexler, G",0.426829268293,0.414634146341,0.833707865169,0.730375426621,0.339285714286,0.392307692308,0.388888888889,0.357723577236,0.505714285714,0.168797953964,0.641025641026,0.454545454545,0.425,0.64406779661,0.63025210084,0.506,0.62962962963,0.631578947368,0.357,0.529411764706,0.5,0.81,0.5,0.465753424658,0.575,0.647272727273,0.56
"Otis Thorpe, C",0.439024390244,0.426829268293,0.741573033708,0.453924914676,0.553571428571,0.446153846154,0.494444444444,0.130081300813,0.174285714286,0.0920716112532,0.538461538462,0.509090909091,0.2,0.483050847458,0.428571428571,0.563,0.0,0.0131578947368,0.0,0.223529411765,0.318181818182,0.53,0.483050847458,0.461187214612,0.567,0.595,0.56
"Robert Horry, PF",0.780487804878,0.743902439024,0.72808988764,0.348122866894,0.232142857143,0.292307692308,0.283333333333,0.276422764228,0.42,0.304347826087,0.487179487179,0.454545454545,0.45,0.322033898305,0.352941176471,0.447,0.481481481481,0.460526315789,0.379,0.152941176471,0.163636363636,0.76,0.21186440678,0.223744292237,0.497,0.551818181818,0.53
"Vernon Maxwell, G",0.780487804878,0.658536585366,0.714606741573,0.453924914676,0.0535714285714,0.176923076923,0.144444444444,0.349593495935,0.334285714286,0.0511508951407,0.538461538462,0.454545454545,0.5,0.406779661017,0.508403361345,0.394,0.814814814815,0.907894736842,0.324,0.176470588235,0.209090909091,0.69,0.220338983051,0.237442922374,0.485,0.499545454545,0.49
"Kenny Smith, G",0.987804878049,0.987804878049,0.56404494382,0.354948805461,0.0535714285714,0.123076923077,0.105555555556,0.325203252033,0.251428571429,0.0306905370844,0.384615384615,0.236363636364,0.65,0.296610169492,0.306722689076,0.484,0.666666666667,0.539473684211,0.429,0.188235294118,0.163636363636,0.85,0.14406779661,0.146118721461,0.553,0.645454545455,0.6
"Mario Elie, G",0.987804878049,0.158536585366,0.525842696629,0.300341296928,0.107142857143,0.138461538462,0.133333333333,0.186991869919,0.228571428571,0.0383631713555,0.333333333333,0.363636363636,0.45,0.254237288136,0.252100840336,0.499,0.37037037037,0.328947368421,0.398,0.211764705882,0.190909090909,0.84,0.169491525424,0.159817351598,0.57,0.662727272727,0.58
"Sam Cassell, PG",1.0,0.0121951219512,0.516853932584,0.324232081911,0.0892857142857,0.161538461538,0.144444444444,0.39837398374,0.328571428571,0.0434782608696,0.512820512821,0.454545454545,0.6,0.262711864407,0.302521008403,0.427,0.296296296296,0.302631578947,0.33,0.305882352941,0.281818181818,0.84,0.194915254237,0.223744292237,0.473,0.6,0.48
"Carl Herrera, F",0.743902439024,0.317073170732,0.489887640449,0.232081911263,0.285714285714,0.230769230769,0.255555555556,0.0569105691057,0.188571428571,0.158567774936,0.307692307692,0.4,0.15,0.237288135593,0.226890756303,0.523,0.0,0.0,0.0,0.141176470588,0.172727272727,0.62,0.237288135593,0.246575342466,0.526,0.576818181818,0.52
"Chucky Brown, F",0.5,0.170731707317,0.447191011236,0.20819112628,0.285714285714,0.230769230769,0.255555555556,0.0569105691057,0.0771428571429,0.0869565217391,0.179487179487,0.472727272727,0.25,0.220338983051,0.176470588235,0.603,0.0,0.0131578947368,0.333,0.105882352941,0.136363636364,0.61,0.220338983051,0.187214611872,0.608,0.650454545455,0.61
