Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Michael Jordan, G",1.0,1.0,0.89336492891,1.0,0.321428571429,0.516129032258,0.442953020134,0.383928571429,0.771929824561,0.113585746102,0.6,0.585365853659,0.391304347826,1.0,1.0,0.495,0.424242424242,0.372093023256,0.427,0.881578947368,0.78431372549,0.83,0.890909090909,0.941747572816,0.506,0.448666666667,0.53
"Scottie Pippen, SF",0.939024390244,0.939024390244,0.869668246445,0.638157894737,0.357142857143,0.483870967742,0.429530201342,0.526785714286,0.60701754386,0.164810690423,0.675,0.634146341463,0.478260869565,0.651785714286,0.699115044248,0.463,0.575757575758,0.604651162791,0.374,0.381578947368,0.411764705882,0.68,0.490909090909,0.514563106796,0.507,0.41,0.52
"Dennis Rodman, F",0.780487804878,0.69512195122,0.772511848341,0.180921052632,1.0,1.0,1.0,0.223214285714,0.19649122807,0.0935412026726,0.55,0.756097560976,0.260869565217,0.205357142857,0.212389380531,0.48,0.0,0.046511627907,0.111,0.118421052632,0.166666666667,0.53,0.209090909091,0.21359223301,0.516,0.385,0.49
"Luc Longley, C",0.756097560976,0.756097560976,0.627962085308,0.299342105263,0.303571428571,0.376344086022,0.342281879195,0.169642857143,0.122807017544,0.300668151448,0.45,0.878048780488,0.217391304348,0.348214285714,0.358407079646,0.482,0.0,0.0,0.0,0.171052631579,0.166666666667,0.78,0.354545454545,0.393203883495,0.482,0.374666666667,0.48
"Toni Kukoc, SF",0.987804878049,0.243902439024,0.616113744076,0.430921052632,0.25,0.279569892473,0.268456375839,0.3125,0.277192982456,0.0779510022272,0.35,0.463414634146,0.54347826087,0.428571428571,0.429203539823,0.49,0.333333333333,0.313953488372,0.403,0.328947368421,0.323529411765,0.77,0.336363636364,0.339805825243,0.524,0.451,0.55
"Ron Harper, G",0.975609756098,0.975609756098,0.559241706161,0.243421052632,0.160714285714,0.182795698925,0.181208053691,0.232142857143,0.459649122807,0.0890868596882,0.225,0.414634146341,0.608695652174,0.258928571429,0.278761061947,0.467,0.121212121212,0.151162790698,0.269,0.157894736842,0.166666666667,0.71,0.227272727273,0.242718446602,0.519,0.395333333333,0.5
"Steve Kerr, G",1.0,0.0,0.554502369668,0.276315789474,0.0535714285714,0.10752688172,0.0872483221477,0.205357142857,0.270175438596,0.00445434298441,0.125,0.317073170732,1.0,0.267857142857,0.261061946903,0.506,0.454545454545,0.337209302326,0.515,0.131578947368,0.0980392156863,0.93,0.136363636364,0.145631067961,0.498,0.475666666667,0.63
"Bill Wennington, C",0.865853658537,0.243902439024,0.355450236967,0.174342105263,0.142857142857,0.172043010753,0.167785234899,0.0535714285714,0.105263157895,0.0512249443207,0.125,0.585365853659,0.260869565217,0.214285714286,0.212389380531,0.493,0.0,0.0,1.0,0.0657894736842,0.0588235294118,0.86,0.218181818182,0.233009708738,0.491,0.365333333333,0.49
"Dickey Simpkins, F",0.731707317073,0.146341463415,0.270142180095,0.118421052632,0.196428571429,0.161290322581,0.174496644295,0.0535714285714,0.0526315789474,0.0289532293987,0.225,0.317073170732,0.152173913043,0.116071428571,0.119469026549,0.481,0.0,0.0,1.0,0.131578947368,0.156862745098,0.63,0.118181818182,0.131067961165,0.478,0.45,0.48
"John Salley, C",0.207317073171,0.0,0.265402843602,0.0690789473684,0.214285714286,0.150537634409,0.167785234899,0.0803571428571,0.164912280702,0.195991091314,0.225,0.536585365854,0.195652173913,0.0625,0.0929203539823,0.343,0.0,0.0,0.0,0.0921052631579,0.117647058824,0.6,0.0636363636364,0.101941747573,0.343,0.343,0.34
