Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Tim Duncan, C",1.0,1.0,0.946987951807,0.809701492537,0.65306122449,0.872340425532,0.876923076923,0.222222222222,0.335820895522,0.644501278772,0.783783783784,0.58,0.114285714286,0.807692307692,0.768181818182,0.495,0.0,0.0140845070423,0.143,0.636363636364,0.705882352941,0.69,0.807692307692,0.893617021277,0.498,0.32075,0.333333333333
"Avery Johnson, PG",1.0,1.0,0.804819277108,0.361940298507,0.0816326530612,0.202127659574,0.184615384615,0.685185185185,0.380597014925,0.0562659846547,0.594594594595,0.4,0.471428571429,0.423076923077,0.418181818182,0.473,0.0,0.0281690140845,0.083,0.12987012987,0.176470588235,0.57,0.423076923077,0.478723404255,0.483,0.264,0.313333333333
"David Robinson, C",0.98,0.98,0.763855421687,0.589552238806,0.612244897959,0.744680851064,0.769230769231,0.194444444444,0.526119402985,0.621483375959,0.594594594595,0.58,0.142857142857,0.528846153846,0.490909090909,0.509,0.0,0.0,0.0,0.636363636364,0.725490196078,0.66,0.528846153846,0.574468085106,0.51,0.36775,0.34
"Sean Elliott, F",1.0,1.0,0.727710843373,0.417910447761,0.142857142857,0.382978723404,0.330769230769,0.212962962963,0.194029850746,0.0869565217391,0.378378378378,0.42,0.228571428571,0.403846153846,0.459090909091,0.41,0.285714285714,0.338028169014,0.328,0.272727272727,0.274509803922,0.76,0.326923076923,0.409574468085,0.436,0.27675,0.3
"Mario Elie, G",0.94,0.74,0.66265060241,0.361940298507,0.163265306122,0.223404255319,0.223076923077,0.175925925926,0.365671641791,0.0664961636829,0.351351351351,0.38,0.214285714286,0.317307692308,0.318181818182,0.471,0.321428571429,0.323943661972,0.374,0.285714285714,0.245098039216,0.87,0.230769230769,0.25,0.518,0.34375,0.353333333333
"Jaren Jackson, G",0.94,0.26,0.440963855422,0.238805970149,0.0816326530612,0.18085106383,0.161538461538,0.0925925925926,0.324626865672,0.0485933503836,0.216216216216,0.26,0.185714285714,0.221153846154,0.272727272727,0.38,0.392857142857,0.43661971831,0.361,0.0909090909091,0.078431372549,0.82,0.115384615385,0.154255319149,0.401,0.265,0.313333333333
"Steve Kerr, G",0.88,0.0,0.402409638554,0.164179104478,0.0204081632653,0.0957446808511,0.0769230769231,0.101851851852,0.194029850746,0.0179028132992,0.135135135135,0.12,0.314285714286,0.144230769231,0.181818181818,0.391,0.214285714286,0.253521126761,0.313,0.0909090909091,0.078431372549,0.89,0.0865384615385,0.117021276596,0.457,0.27575,0.306666666667
"Jerome Kersey, F",0.9,0.0,0.373493975904,0.119402985075,0.183673469388,0.212765957447,0.223076923077,0.0833333333333,0.305970149254,0.079283887468,0.189189189189,0.4,0.2,0.144230769231,0.2,0.34,0.0357142857143,0.0422535211268,0.214,0.012987012987,0.0294117647059,0.43,0.134615384615,0.218085106383,0.349,0.18125,0.233333333333
"Antonio Daniels, PG",0.94,0.0,0.315662650602,0.175373134328,0.0612244897959,0.0957446808511,0.0846153846154,0.212962962963,0.238805970149,0.0332480818414,0.243243243243,0.16,0.342857142857,0.173076923077,0.177272727273,0.454,0.0357142857143,0.056338028169,0.294,0.12987012987,0.137254901961,0.75,0.163461538462,0.186170212766,0.47,0.3005,0.313333333333
"Malik Rose, PF",0.94,0.0,0.310843373494,0.223880597015,0.387755102041,0.212765957447,0.3,0.0555555555556,0.317164179104,0.120204603581,0.324324324324,0.52,0.0714285714286,0.192307692308,0.195454545455,0.463,0.0,0.0,0.0,0.272727272727,0.303921568627,0.67,0.192307692308,0.228723404255,0.465,0.35325,0.306666666667
