Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kobe Bryant, SF",0.975609756098,0.975609756098,0.87643020595,0.802547770701,0.28,0.436170212766,0.423076923077,0.504587155963,0.528571428571,0.126436781609,0.7,0.690476190476,0.153846153846,0.846846846847,0.719424460432,0.469,0.121212121212,0.2125,0.25,0.772151898734,0.691588785047,0.83,0.849056603774,0.785407725322,0.489,0.5056,0.48
"Shaquille O'Neal, C",0.817073170732,0.80487804878,0.826086956522,0.866242038217,0.7,0.765957446809,0.823076923077,0.275229357798,0.217857142857,0.586206896552,0.65,0.714285714286,0.0923076923077,0.954954954955,0.658273381295,0.579,0.0,0.0,0.0,0.746835443038,1.0,0.56,1.0,0.785407725322,0.58,0.5932,0.58
"Derek Fisher, PG",0.853658536585,0.426829268293,0.645308924485,0.356687898089,0.04,0.202127659574,0.161538461538,0.238532110092,0.335714285714,0.0373563218391,0.225,0.404761904762,0.223076923077,0.351351351351,0.341726618705,0.411,0.636363636364,0.625,0.413,0.164556962025,0.14953271028,0.85,0.169811320755,0.19313304721,0.41,0.472,0.52
"Rick Fox, SF",1.0,1.0,0.638443935927,0.251592356688,0.22,0.382978723404,0.361538461538,0.321100917431,0.292857142857,0.0747126436782,0.4,0.714285714286,0.161538461538,0.279279279279,0.26618705036,0.421,0.242424242424,0.3125,0.313,0.113924050633,0.0934579439252,0.82,0.216981132075,0.210300429185,0.479,0.4264,0.48
"Robert Horry, PF",0.987804878049,0.280487804878,0.604118993135,0.216560509554,0.32,0.457446808511,0.453846153846,0.266055045872,0.339285714286,0.316091954023,0.275,0.619047619048,0.2,0.207207207207,0.205035971223,0.398,0.272727272727,0.3125,0.374,0.164556962025,0.158878504673,0.78,0.132075471698,0.137339055794,0.416,0.4784,0.48
"Samaki Walker, PF",0.841463414634,0.768292682927,0.549199084668,0.213375796178,0.38,0.542553191489,0.538461538462,0.0825688073394,0.146428571429,0.367816091954,0.2,0.595238095238,0.0923076923077,0.243243243243,0.190647482014,0.512,0.0,0.0,0.0,0.151898734177,0.177570093458,0.67,0.254716981132,0.227467811159,0.512,0.504,0.51
"Devean George, SF",1.0,0.0121951219512,0.491990846682,0.226114649682,0.2,0.287234042553,0.284615384615,0.128440366972,0.310714285714,0.146551724138,0.2,0.547619047619,0.130769230769,0.234234234234,0.230215827338,0.411,0.242424242424,0.275,0.371,0.126582278481,0.140186915888,0.67,0.169811320755,0.18025751073,0.432,0.4444,0.47
"Lindsey Hunter, SG",1.0,0.573170731707,0.450800915332,0.184713375796,0.04,0.13829787234,0.115384615385,0.146788990826,0.285714285714,0.066091954023,0.175,0.357142857143,0.176923076923,0.207207207207,0.215827338129,0.382,0.30303030303,0.3125,0.38,0.0253164556962,0.0467289719626,0.5,0.122641509434,0.150214592275,0.383,0.386,0.46
"Mitch Richmond, G",0.780487804878,0.0243902439024,0.254004576659,0.130573248408,0.04,0.13829787234,0.115384615385,0.0825688073394,0.1,0.0258620689655,0.15,0.238095238095,0.107692307692,0.144144144144,0.140287769784,0.405,0.0909090909091,0.125,0.29,0.0886075949367,0.0654205607477,0.95,0.122641509434,0.124463519313,0.443,0.4212,0.44
"Mark Madsen, PF",0.719512195122,0.0609756097561,0.25171624714,0.0891719745223,0.3,0.127659574468,0.207692307692,0.0642201834862,0.0964285714286,0.0632183908046,0.1,0.428571428571,0.153846153846,0.0990990990991,0.089928057554,0.452,0.0,0.0,0.0,0.0759493670886,0.0841121495327,0.65,0.103773584906,0.107296137339,0.458,0.4576,0.45
