Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Ben Wallace, PF",0.987804878049,0.987804878049,0.887058823529,0.339285714286,0.869565217391,0.770642201835,0.892086330935,0.182795698925,0.7375,0.608,0.340909090909,0.5,0.22,0.589830508475,0.397959183673,0.383333333333,0.421,0.0,0.012987012987,0.125,0.25,0.356435643564,0.49,0.40206185567,0.471502590674,0.424,0.25825,0.42
"Richard Hamilton, SG",0.951219512195,0.951219512195,0.835294117647,0.628571428571,0.217391304348,0.238532110092,0.258992805755,0.430107526882,0.55,0.044,0.613636363636,0.7,0.3,0.572881355932,0.69387755102,0.620833333333,0.455,0.0666666666667,0.116883116883,0.265,0.527777777778,0.435643564356,0.87,0.680412371134,0.725388601036,0.466,0.29475,0.46
"Chauncey Billups, PG",0.951219512195,0.951219512195,0.832941176471,0.603571428571,0.0869565217391,0.284403669725,0.251798561151,0.612903225806,0.45,0.02,0.545454545455,0.575,0.48,0.633898305085,0.510204081633,0.533333333333,0.394,0.566666666667,0.558441558442,0.388,0.722222222222,0.584158415842,0.88,0.340206185567,0.440414507772,0.396,0.33075,0.46
"Tayshaun Prince, SF",1.0,0.975609756098,0.774117647059,0.367857142857,0.239130434783,0.330275229358,0.345323741007,0.247311827957,0.320833333333,0.168,0.340909090909,0.45,0.32,0.454237288136,0.418367346939,0.366666666667,0.468,0.233333333333,0.246753246753,0.363,0.180555555556,0.168316831683,0.77,0.350515463918,0.357512953368,0.496,0.29075,0.51
"Rasheed Wallace, PF",0.268292682927,0.256097560976,0.72,0.489285714286,0.326086956522,0.51376146789,0.503597122302,0.193548387097,0.454166666667,0.41,0.295454545455,0.675,0.28,0.606779661017,0.561224489796,0.533333333333,0.431,0.333333333333,0.402597402597,0.319,0.236111111111,0.247524752475,0.7,0.463917525773,0.502590673575,0.467,0.26875,0.47
"Mehmet Okur, C",0.865853658537,0.40243902439,0.524705882353,0.342857142857,0.5,0.339449541284,0.424460431655,0.10752688172,0.2125,0.178,0.318181818182,0.475,0.14,0.627118644068,0.357142857143,0.316666666667,0.463,0.1,0.0909090909091,0.375,0.319444444444,0.287128712871,0.78,0.329896907216,0.357512953368,0.472,0.3145,0.48
"Lindsey Hunter, SG",0.40243902439,0.0975609756098,0.470588235294,0.125,0.0869565217391,0.146788990826,0.143884892086,0.279569892473,0.491666666667,0.036,0.227272727273,0.35,0.5,0.305084745763,0.15306122449,0.179166666667,0.343,0.133333333333,0.194805194805,0.28,0.0277777777778,0.019801980198,0.63,0.113402061856,0.145077720207,0.376,0.2045,0.39
"Corliss Williamson, PF",0.963414634146,0.0,0.468235294118,0.339285714286,0.239130434783,0.192660550459,0.230215827338,0.0752688172043,0.158333333333,0.05,0.318181818182,0.65,0.1,0.491525423729,0.387755102041,0.316666666667,0.505,0.0,0.0,0.0,0.25,0.247524752475,0.73,0.39175257732,0.39378238342,0.505,0.31225,0.5
"Mike James, PG",0.317073170732,0.0,0.463529411765,0.225,0.0652173913043,0.174311926606,0.158273381295,0.397849462366,0.416666666667,0.008,0.363636363636,0.425,0.46,0.48813559322,0.234693877551,0.2375,0.401,0.266666666667,0.272727272727,0.364,0.138888888889,0.118811881188,0.84,0.154639175258,0.186528497409,0.424,0.2805,0.47
"Chucky Atkins, PG",0.487804878049,0.0,0.442352941176,0.221428571429,0.0434782608696,0.100917431193,0.0863309352518,0.258064516129,0.2,0.006,0.272727272727,0.375,0.4,0.410169491525,0.224489795918,0.245833333333,0.374,0.366666666667,0.428571428571,0.323,0.111111111111,0.108910891089,0.72,0.113402061856,0.134715025907,0.438,0.265,0.46
