Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Tim Duncan, C",0.975609756098,0.975609756098,0.798594847775,0.632911392405,0.692307692308,0.759615384615,0.828125,0.293103448276,0.377272727273,0.721212121212,0.636363636364,0.5,0.12,0.903448275862,0.72641509434,0.577868852459,0.546,0.0,0.0123456790123,0.111,0.436893203883,0.612068965517,0.64,0.77,0.66985645933,0.794797687861,0.3535,0.366666666667
"Tony Parker, PG",0.939024390244,0.939024390244,0.76112412178,0.588607594937,0.102564102564,0.269230769231,0.25,0.474137931034,0.481818181818,0.0242424242424,0.568181818182,0.36,0.22,0.741379310345,0.698113207547,0.581967213115,0.52,0.0666666666667,0.0617283950617,0.395,0.349514563107,0.387931034483,0.78,0.72,0.655502392344,0.758670520231,0.326,0.353333333333
"Bruce Bowen, SF",1.0,1.0,0.702576112412,0.196202531646,0.0769230769231,0.230769230769,0.2109375,0.120689655172,0.345454545455,0.0909090909091,0.181818181818,0.42,0.18,0.248275862069,0.216981132075,0.233606557377,0.405,0.366666666667,0.345679012346,0.384,0.0485436893204,0.0775862068966,0.59,0.12,0.138755980861,0.615606936416,0.273,0.333333333333
"Manu Ginobili, SG",0.914634146341,0.439024390244,0.644028103044,0.522151898734,0.205128205128,0.346153846154,0.34375,0.301724137931,0.659090909091,0.109090909091,0.477272727273,0.42,0.17,0.834482758621,0.5,0.467213114754,0.464,0.566666666667,0.530864197531,0.396,0.417475728155,0.431034482759,0.86,0.36,0.33971291866,0.729768786127,0.363,0.36
"James White, SG",0.0731707317073,0.0243902439024,0.533957845433,0.262658227848,0.128205128205,0.269230769231,0.2578125,0.0689655172414,0.227272727273,0.0515151515152,0.181818181818,0.24,0.1,0.41724137931,0.283018867925,0.27868852459,0.439,0.1,0.148148148148,0.286,0.194174757282,0.215517241379,0.8,0.27,0.267942583732,0.68063583815,0.305,0.306666666667
"Michael Finley, SG",1.0,0.19512195122,0.519906323185,0.284810126582,0.102564102564,0.221153846154,0.2109375,0.112068965517,0.177272727273,0.0606060606061,0.136363636364,0.18,0.23,0.475862068966,0.311320754717,0.331967213115,0.412,0.433333333333,0.432098765432,0.364,0.106796116505,0.103448275862,0.92,0.2,0.22009569378,0.647398843931,0.279,0.326666666667
"Brent Barry, SG",0.914634146341,0.341463414634,0.508196721311,0.268987341772,0.0512820512821,0.182692307692,0.1640625,0.155172413793,0.340909090909,0.0484848484848,0.181818181818,0.24,0.23,0.572413793103,0.254716981132,0.233606557377,0.475,0.566666666667,0.469135802469,0.446,0.135922330097,0.137931034483,0.88,0.1,0.0909090909091,0.774566473988,0.3735,0.42
"Francisco Elson, C",0.853658536585,0.5,0.444964871194,0.158227848101,0.307692307692,0.346153846154,0.375,0.0689655172414,0.2,0.254545454545,0.272727272727,0.52,0.06,0.389655172414,0.198113207547,0.16393442623,0.511,0.0,0.0,0.0,0.0873786407767,0.0948275862069,0.78,0.21,0.191387559809,0.742774566474,0.31025,0.34
"Fabricio Oberto, C",0.963414634146,0.40243902439,0.405152224824,0.139240506329,0.435897435897,0.288461538462,0.3671875,0.0775862068966,0.145454545455,0.0909090909091,0.204545454545,0.54,0.1,0.413793103448,0.188679245283,0.147540983607,0.562,0.0,0.0,0.0,0.0388349514563,0.051724137931,0.65,0.2,0.172248803828,0.812138728324,0.3105,0.373333333333
"Robert Horry, PF",0.829268292683,0.0975609756098,0.386416861827,0.123417721519,0.282051282051,0.221153846154,0.265625,0.0948275862069,0.3,0.181818181818,0.136363636364,0.3,0.18,0.413793103448,0.122641509434,0.151639344262,0.359,0.233333333333,0.271604938272,0.336,0.0582524271845,0.0775862068966,0.59,0.06,0.0717703349282,0.566473988439,0.267,0.306666666667
