Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Ray Allen, SG",0.890243902439,0.890243902439,0.858851674641,0.58,0.263157894737,0.240740740741,0.260563380282,0.279279279279,0.381974248927,0.0609418282548,0.386363636364,0.487804878049,0.0857142857143,0.362445414847,0.566037735849,0.616438356164,0.445,0.833333333333,0.849315068493,0.398,0.353658536585,0.293577981651,0.91,0.384615384615,0.417142857143,0.485,0.32275,0.54
"Paul Pierce, SF",0.975609756098,0.975609756098,0.858851674641,0.653333333333,0.184210526316,0.416666666667,0.359154929577,0.405405405405,0.540772532189,0.124653739612,0.636363636364,0.609756097561,0.0761904761905,0.434497816594,0.603773584906,0.625570776256,0.464,0.6,0.630136986301,0.392,0.621951219512,0.559633027523,0.84,0.505494505495,0.52,0.499,0.3575,0.53
"Kevin Garnett, PF",0.865853658537,0.865853658537,0.784688995215,0.626666666667,0.5,0.675925925926,0.647887323944,0.306306306306,0.605150214592,0.346260387812,0.431818181818,0.560975609756,0.0857142857143,0.554585152838,0.707547169811,0.634703196347,0.539,0.0,0.027397260274,0.0,0.463414634146,0.43119266055,0.8,0.824175824176,0.782857142857,0.545,0.33775,0.54
"Rajon Rondo, PG",0.939024390244,0.939024390244,0.715311004785,0.353333333333,0.263157894737,0.296296296296,0.295774647887,0.459459459459,0.721030042918,0.0470914127424,0.431818181818,0.585365853659,0.128571428571,0.342794759825,0.433962264151,0.424657534247,0.492,0.0333333333333,0.027397260274,0.263,0.170731707317,0.211009174312,0.61,0.494505494505,0.52,0.499,0.2855,0.5
"James Posey, SF",0.90243902439,0.0243902439024,0.588516746411,0.246666666667,0.105263157895,0.361111111111,0.30985915493,0.135135135135,0.416309012876,0.0720221606648,0.204545454545,0.609756097561,0.0857142857143,0.266375545852,0.216981132075,0.255707762557,0.418,0.466666666667,0.520547945205,0.38,0.158536585366,0.146788990826,0.81,0.0989010989011,0.102857142857,0.496,0.329,0.55
"Kendrick Perkins, C",0.951219512195,0.951219512195,0.586124401914,0.23,0.5,0.388888888889,0.429577464789,0.0990990990991,0.171673819742,0.404432132964,0.363636363636,0.756097560976,0.0333333333333,0.292576419214,0.254716981132,0.205479452055,0.615,0.0,0.0,0.0,0.182926829268,0.211009174312,0.62,0.296703296703,0.257142857143,0.617,0.38925,0.61
"Eddie House, SG",0.951219512195,0.0243902439024,0.454545454545,0.25,0.0526315789474,0.175925925926,0.147887323944,0.171171171171,0.326180257511,0.0360110803324,0.227272727273,0.365853658537,0.0952380952381,0.288209606987,0.264150943396,0.310502283105,0.409,0.5,0.520547945205,0.393,0.0487804878049,0.045871559633,0.92,0.142857142857,0.171428571429,0.429,0.275,0.52
"Tony Allen, SG",0.914634146341,0.134146341463,0.437799043062,0.22,0.131578947368,0.166666666667,0.154929577465,0.135135135135,0.356223175966,0.0775623268698,0.340909090909,0.536585365854,0.047619047619,0.235807860262,0.216981132075,0.237442922374,0.434,0.0666666666667,0.109589041096,0.316,0.219512195122,0.220183486239,0.76,0.230769230769,0.251428571429,0.455,0.3175,0.46
"Sam Cassell, PG",0.207317073171,0.0121951219512,0.421052631579,0.253333333333,0.0789473684211,0.138888888889,0.12676056338,0.189189189189,0.227467811159,0.0498614958449,0.25,0.414634146341,0.0857142857143,0.334061135371,0.27358490566,0.34703196347,0.385,0.166666666667,0.178082191781,0.409,0.146341463415,0.137614678899,0.84,0.263736263736,0.36,0.38,0.25,0.42
"Leon Powe, PF",0.682926829268,0.0609756097561,0.344497607656,0.263333333333,0.447368421053,0.222222222222,0.288732394366,0.027027027027,0.115879828326,0.0803324099723,0.181818181818,0.560975609756,0.0142857142857,0.458515283843,0.264150943396,0.219178082192,0.572,0.0,0.0,0.0,0.292682926829,0.311926605505,0.71,0.307692307692,0.274285714286,0.575,0.4135,0.57
