Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kobe Bryant, SF",0.890243902439,0.890243902439,0.937198067633,0.897009966777,0.25,0.443298969072,0.409090909091,0.454545454545,0.665236051502,0.0971223021583,0.842105263158,0.65,0.266666666667,0.657657657658,0.970297029703,0.977272727273,0.456,0.466666666667,0.577464788732,0.329,0.652173913043,0.725490196078,0.81,0.923076923077,0.910994764398,0.487,0.314,0.49
"Pau Gasol, C",0.792682926829,0.792682926829,0.893719806763,0.607973421927,0.840909090909,0.783505154639,0.856060606061,0.309090909091,0.244635193133,0.625899280576,0.578947368421,0.575,0.25,0.690690690691,0.693069306931,0.590909090909,0.536,0.0,0.0140845070423,0.0,0.478260869565,0.549019607843,0.79,0.769230769231,0.675392670157,0.539,0.3525,0.54
"Metta World Peace, SF",0.939024390244,0.939024390244,0.816425120773,0.365448504983,0.295454545455,0.309278350515,0.325757575758,0.272727272727,0.592274678112,0.0971223021583,0.421052631579,0.525,0.316666666667,0.363363363363,0.39603960396,0.436363636364,0.414,0.466666666667,0.535211267606,0.355,0.184782608696,0.235294117647,0.69,0.285714285714,0.303664921466,0.453,0.2855,0.48
"Lamar Odom, PF",1.0,0.463414634146,0.760869565217,0.358803986711,0.5,0.773195876289,0.742424242424,0.3,0.390557939914,0.258992805755,0.473684210526,0.7,0.3,0.48048048048,0.415841584158,0.409090909091,0.463,0.233333333333,0.30985915493,0.319,0.184782608696,0.245098039216,0.69,0.384615384615,0.356020942408,0.51,0.2985,0.5
"Andrew Bynum, C",0.792682926829,0.792682926829,0.734299516908,0.498338870432,0.613636363636,0.577319587629,0.628787878788,0.0909090909091,0.231759656652,0.521582733813,0.473684210526,0.75,0.1,0.60960960961,0.594059405941,0.481818181818,0.57,0.0,0.0,0.0,0.326086956522,0.392156862745,0.74,0.659340659341,0.55497382199,0.571,0.355,0.57
"Derek Fisher, PG",1.0,1.0,0.657004830918,0.249169435216,0.0681818181818,0.185567010309,0.159090909091,0.227272727273,0.472103004292,0.0395683453237,0.263157894737,0.625,0.433333333333,0.279279279279,0.257425742574,0.309090909091,0.38,0.333333333333,0.380281690141,0.348,0.152173913043,0.156862745098,0.86,0.175824175824,0.214659685864,0.401,0.2755,0.45
"Shannon Brown, PG",1.0,0.0853658536585,0.5,0.269102990033,0.0909090909091,0.19587628866,0.166666666667,0.118181818182,0.300429184549,0.136690647482,0.210526315789,0.4,0.266666666667,0.372372372372,0.306930693069,0.327272727273,0.427,0.266666666667,0.323943661972,0.328,0.130434782609,0.147058823529,0.82,0.252747252747,0.256544502618,0.474,0.28175,0.48
"Jordan Farmar, PG",1.0,0.0,0.434782608696,0.239202657807,0.0454545454545,0.144329896907,0.121212121212,0.136363636364,0.270386266094,0.0467625899281,0.236842105263,0.325,0.3,0.369369369369,0.267326732673,0.286363636364,0.435,0.333333333333,0.394366197183,0.376,0.0760869565217,0.0980392156863,0.67,0.186813186813,0.183246073298,0.483,0.287,0.52
"Luke Walton, SF",0.353658536585,0.0,0.227053140097,0.0797342192691,0.0909090909091,0.0927835051546,0.0984848484848,0.127272727273,0.145922746781,0.0107913669065,0.105263157895,0.175,0.55,0.294294294294,0.0990099009901,0.131818181818,0.357,0.0666666666667,0.0845070422535,0.412,0.0108695652174,0.00980392156863,0.5,0.0879120879121,0.120418848168,0.343,0.20525,0.4
"Josh Powell, PF",0.768292682927,0.0,0.222222222222,0.0897009966777,0.159090909091,0.113402061856,0.136363636364,0.0545454545455,0.0600858369099,0.0359712230216,0.131578947368,0.275,0.183333333333,0.204204204204,0.108910891089,0.140909090909,0.366,0.0333333333333,0.0422535211268,0.438,0.0326086956522,0.0490196078431,0.65,0.10989010989,0.146596858639,0.36,0.21775,0.38
