Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Dirk Nowitzki, PF",0.890243902439,0.890243902439,0.85111662531,0.830324909747,0.155555555556,0.588785046729,0.460526315789,0.203125,0.231111111111,0.248062015504,0.487179487179,0.585365853659,0.175,0.689149560117,0.875,0.805970149254,0.64625,0.36,0.333333333333,0.393,0.710526315789,0.521367521368,0.89,0.797872340426,0.743315508021,0.6725,0.475333333333,0.611111111111
"Jason Kidd, PG",0.975609756098,0.975609756098,0.82382133995,0.285198555957,0.0888888888889,0.373831775701,0.289473684211,0.640625,0.746666666667,0.139534883721,0.564102564103,0.365853658537,0.4625,0.425219941349,0.28125,0.373134328358,0.45125,0.68,0.710144927536,0.34,0.105263157895,0.0854700854701,0.87,0.106382978723,0.139037433155,0.5,0.352333333333,0.522222222222
"Jason Terry, SG",1.0,0.121951219512,0.776674937965,0.570397111913,0.0666666666667,0.14953271028,0.125,0.3203125,0.502222222222,0.062015503876,0.512820512821,0.414634146341,0.25,0.466275659824,0.625,0.661691542289,0.56375,0.6,0.623188405797,0.362,0.289473684211,0.222222222222,0.85,0.478723404255,0.48128342246,0.61625,0.395,0.566666666667
"Caron Butler, SF",0.353658536585,0.353658536585,0.741935483871,0.541516245487,0.177777777778,0.308411214953,0.269736842105,0.125,0.431111111111,0.108527131783,0.435897435897,0.487804878049,0.1125,0.41642228739,0.614583333333,0.646766169154,0.5625,0.4,0.31884057971,0.431,0.302631578947,0.25641025641,0.77,0.521276595745,0.577540106952,0.5675,0.384333333333,0.544444444444
"Shawn Marion, SG",0.975609756098,0.329268292683,0.699751861042,0.451263537906,0.466666666667,0.448598130841,0.453947368421,0.109375,0.377777777778,0.244186046512,0.410256410256,0.439024390244,0.1,0.50146627566,0.5625,0.517412935323,0.65,0.04,0.0579710144928,0.152,0.210526315789,0.179487179487,0.77,0.563829787234,0.534759358289,0.67,0.399333333333,0.577777777778
"Tyson Chandler, C",0.90243902439,0.90243902439,0.68982630273,0.364620938628,0.622222222222,0.616822429907,0.618421052632,0.03125,0.217777777778,0.418604651163,0.307692307692,0.780487804878,0.05,0.539589442815,0.375,0.273631840796,0.8175,0.0,0.0,0.0,0.381578947368,0.34188034188,0.73,0.382978723404,0.294117647059,0.8175,0.612666666667,0.722222222222
"J.J. Barea, PG",0.987804878049,0.0243902439024,0.511166253102,0.342960288809,0.0888888888889,0.14953271028,0.131578947368,0.3046875,0.164444444444,0.00387596899225,0.435897435897,0.414634146341,0.2875,0.434017595308,0.364583333333,0.398009950249,0.54875,0.32,0.333333333333,0.349,0.210526315789,0.162393162393,0.85,0.287234042553,0.304812834225,0.595,0.395,0.544444444444
"Peja Stojakovic, SF",0.30487804878,0.158536585366,0.501240694789,0.310469314079,0.133333333333,0.196261682243,0.171052631579,0.0703125,0.195555555556,0.031007751938,0.102564102564,0.219512195122,0.25,0.41642228739,0.333333333333,0.36815920398,0.53625,0.68,0.608695652174,0.4,0.0789473684211,0.0512820512821,0.94,0.159574468085,0.171122994652,0.585,0.389333333333,0.6
"Brendan Haywood, C",0.878048780488,0.0975609756098,0.45905707196,0.158844765343,0.4,0.317757009346,0.342105263158,0.0234375,0.0977777777778,0.399224806202,0.179487179487,0.487804878049,0.05,0.343108504399,0.1875,0.154228855721,0.7175,0.0,0.0,0.0,0.118421052632,0.213675213675,0.36,0.191489361702,0.16577540107,0.72125,0.478333333333,0.633333333333
"Rodrigue Beaubois, PG",0.341463414634,0.317073170732,0.439205955335,0.303249097473,0.0666666666667,0.14953271028,0.125,0.1796875,0.315555555556,0.112403100775,0.435897435897,0.658536585366,0.175,0.33431085044,0.354166666667,0.398009950249,0.5275,0.36,0.434782608696,0.301,0.105263157895,0.0940170940171,0.77,0.265957446809,0.267379679144,0.61625,0.352666666667,0.533333333333
