Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"LeBron James, SF",0.926829268293,0.926829268293,0.979328165375,0.933797909408,0.216666666667,0.566666666667,0.444444444444,0.657657657658,0.705394190871,0.290429042904,0.769230769231,0.368421052632,0.3,1.0,1.0,0.801801801802,0.565,0.4,0.428571428571,0.406,0.616279069767,0.686274509804,0.75,1.0,0.823863636364,0.602,0.429714285714,0.6
"Dwyane Wade, SG",0.841463414634,0.841463414634,0.896640826873,0.738675958188,0.2,0.308333333333,0.277777777778,0.459459459459,0.771784232365,0.267326732673,0.717948717949,0.526315789474,0.225,0.757097791798,0.811881188119,0.711711711712,0.521,0.0571428571429,0.12987012987,0.258,0.523255813953,0.607843137255,0.72,0.919540229885,0.840909090909,0.537,0.382571428571,0.53
"Chris Bosh, PF",0.90243902439,0.90243902439,0.857881136951,0.578397212544,0.3,0.416666666667,0.377777777778,0.153153153153,0.369294605809,0.448844884488,0.435897435897,0.605263157895,0.125,0.634069400631,0.653465346535,0.554054054054,0.535,0.0857142857143,0.12987012987,0.284,0.383720930233,0.401960784314,0.8,0.724137931034,0.642045454545,0.557,0.388,0.55
"Mario Chalmers, PG",0.939024390244,0.939024390244,0.695090439276,0.299651567944,0.0333333333333,0.166666666667,0.122222222222,0.315315315315,0.634854771784,0.0528052805281,0.384615384615,0.657894736842,0.2875,0.419558359621,0.287128712871,0.310810810811,0.429,0.457142857143,0.506493506494,0.409,0.139534883721,0.147058823529,0.79,0.149425287356,0.170454545455,0.456,0.359714285714,0.55
"Ray Allen, SG",0.963414634146,0.0,0.666666666667,0.379790940767,0.0833333333333,0.183333333333,0.15,0.153153153153,0.352697095436,0.0627062706271,0.333333333333,0.421052631579,0.1625,0.463722397476,0.366336633663,0.369369369369,0.449,0.514285714286,0.545454545455,0.419,0.209302325581,0.196078431373,0.89,0.218390804598,0.227272727273,0.48,0.378857142857,0.56
"Shane Battier, SF",0.878048780488,0.243902439024,0.640826873385,0.229965156794,0.0833333333333,0.15,0.127777777778,0.0900900900901,0.236514522822,0.250825082508,0.128205128205,0.552631578947,0.2625,0.340694006309,0.207920792079,0.225225225225,0.42,0.542857142857,0.571428571429,0.43,0.046511627907,0.0490196078431,0.84,0.0229885057471,0.0340909090909,0.348,0.372571428571,0.61
"Norris Cole, PG",0.975609756098,0.0487804878049,0.514211886305,0.19512195122,0.0333333333333,0.116666666667,0.0888888888889,0.189189189189,0.294605809129,0.029702970297,0.333333333333,0.5,0.2,0.249211356467,0.217821782178,0.238738738739,0.421,0.114285714286,0.155844155844,0.357,0.0813953488372,0.0980392156863,0.65,0.206896551724,0.232954545455,0.44,0.299142857143,0.46
"Udonis Haslem, PF",0.914634146341,0.719512195122,0.488372093023,0.135888501742,0.216666666667,0.341666666667,0.3,0.045045045045,0.165975103734,0.0660066006601,0.153846153846,0.605263157895,0.1,0.312302839117,0.168316831683,0.148648648649,0.514,0.0,0.0,0.0,0.046511627907,0.0588235294118,0.71,0.195402298851,0.1875,0.514,0.33,0.51
"Mike Miller, SG",0.719512195122,0.207317073171,0.395348837209,0.16724738676,0.05,0.2,0.15,0.153153153153,0.149377593361,0.023102310231,0.153846153846,0.289473684211,0.35,0.425867507886,0.168316831683,0.175675675676,0.433,0.342857142857,0.38961038961,0.417,0.0116279069767,0.0196078431373,0.73,0.0574712643678,0.0511363636364,0.482,0.347428571429,0.59
"Chris Andersen, PF",0.512195121951,0.0,0.385012919897,0.170731707317,0.233333333333,0.225,0.227777777778,0.036036036036,0.157676348548,0.346534653465,0.153846153846,0.552631578947,0.0875,0.548895899054,0.168316831683,0.130630630631,0.577,0.0,0.012987012987,0.667,0.174418604651,0.21568627451,0.68,0.195402298851,0.159090909091,0.575,0.480857142857,0.59
