Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Stephen Curry, PG",0.975609756098,0.975609756098,0.84496124031,0.846975088968,0.132075471698,0.356435643564,0.286666666667,0.712962962963,0.883116883117,0.078125,0.704545454545,0.487804878049,0.3125,0.632882882883,0.872340425532,0.763636363636,0.487,1.0,1.0,0.443,0.443181818182,0.411764705882,0.91,0.522727272727,0.472826086957,0.528,0.35425,0.59
"Klay Thompson, SG",0.939024390244,0.939024390244,0.824289405685,0.772241992883,0.0754716981132,0.287128712871,0.213333333333,0.268518518519,0.489177489177,0.3046875,0.431818181818,0.390243902439,0.1875,0.470720720721,0.829787234043,0.768181818182,0.463,0.861111111111,0.876543209877,0.439,0.329545454545,0.323529411765,0.88,0.534090909091,0.532608695652,0.481,0.321,0.56
"Draymond Green, PF",0.963414634146,0.963414634146,0.813953488372,0.416370106762,0.264150943396,0.663366336634,0.546666666667,0.342592592593,0.675324675325,0.48828125,0.386363636364,0.780487804878,0.275,0.369369369369,0.457446808511,0.440909090909,0.443,0.388888888889,0.518518518519,0.337,0.193181818182,0.245098039216,0.66,0.329545454545,0.298913043478,0.523,0.301,0.52
"Harrison Barnes, SF",1.0,1.0,0.731266149871,0.359430604982,0.264150943396,0.405940594059,0.366666666667,0.12962962963,0.320346320346,0.08984375,0.204545454545,0.439024390244,0.2,0.301801801802,0.414893617021,0.363636363636,0.482,0.305555555556,0.320987654321,0.405,0.147727272727,0.176470588235,0.72,0.318181818182,0.29347826087,0.519,0.31525,0.55
"Andre Iguodala, SF",0.939024390244,0.0,0.695090439276,0.277580071174,0.11320754717,0.277227722772,0.22,0.277777777778,0.502164502165,0.125,0.25,0.317073170732,0.325,0.277027027027,0.31914893617,0.290909090909,0.466,0.277777777778,0.345679012346,0.349,0.102272727273,0.147058823529,0.6,0.227272727273,0.195652173913,0.553,0.3045,0.54
"Andrew Bogut, C",0.817073170732,0.792682926829,0.609819121447,0.224199288256,0.396226415094,0.594059405941,0.54,0.25,0.251082251082,0.66015625,0.363636363636,0.682926829268,0.2125,0.355855855856,0.31914893617,0.240909090909,0.563,0.0,0.0,0.0,0.0340909090909,0.0588235294118,0.52,0.340909090909,0.288043478261,0.563,0.29725,0.56
"Shaun Livingston, PG",0.951219512195,0.0243902439024,0.485788113695,0.209964412811,0.11320754717,0.178217821782,0.153333333333,0.305555555556,0.272727272727,0.1015625,0.295454545455,0.341463414634,0.3125,0.290540540541,0.265957446809,0.231818181818,0.5,0.0,0.0,0.0,0.0909090909091,0.117647058824,0.71,0.284090909091,0.277173913043,0.503,0.291,0.5
"David Lee, PF",0.59756097561,0.0487804878049,0.475452196382,0.281138790036,0.320754716981,0.356435643564,0.346666666667,0.157407407407,0.272727272727,0.20703125,0.227272727273,0.414634146341,0.2125,0.403153153153,0.351063829787,0.290909090909,0.511,0.0,0.0,0.0,0.159090909091,0.205882352941,0.65,0.375,0.347826086957,0.514,0.31,0.51
"Marreese Speights, C",0.926829268293,0.109756097561,0.410852713178,0.370106761566,0.264150943396,0.277227722772,0.286666666667,0.0833333333333,0.112554112554,0.17578125,0.25,0.609756097561,0.1125,0.441441441441,0.446808510638,0.386363636364,0.492,0.0277777777778,0.0246913580247,0.278,0.227272727273,0.225490196078,0.84,0.465909090909,0.451086956522,0.498,0.306,0.5
"Leandro Barbosa, SG",0.80487804878,0.0121951219512,0.385012919897,0.252669039146,0.0566037735849,0.0990099009901,0.0933333333333,0.138888888889,0.268398268398,0.046875,0.159090909091,0.317073170732,0.2875,0.344594594595,0.297872340426,0.263636363636,0.474,0.194444444444,0.20987654321,0.384,0.102272727273,0.107843137255,0.78,0.238636363636,0.222826086957,0.511,0.3025,0.53
