Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Tyrone Corbin, F",1.0,1.0,0.965346534653,0.571428571429,0.560975609756,0.550561797753,0.553846153846,0.4,0.651315789474,0.166666666667,0.675675675676,0.704545454545,0.395348837209,0.595041322314,0.714285714286,0.448,0.0,0.0117647058824,0.2,0.5,0.459183673469,0.8,0.615384615385,0.746478873239,0.45,0.4492,0.45
"Pooh Richardson, G",1.0,1.0,0.95297029703,0.542857142857,0.243902439024,0.280898876404,0.269230769231,0.857142857143,0.526315789474,0.0410256410256,0.567567567568,0.318181818182,0.976744186047,0.636363636364,0.736607142857,0.47,0.2,0.188235294118,0.328,0.152777777778,0.204081632653,0.54,0.615384615385,0.699530516432,0.485,0.4152,0.49
"Sam Mitchell, F",1.0,0.731707317073,0.943069306931,0.463492063492,0.560975609756,0.449438202247,0.484615384615,0.152380952381,0.263157894737,0.179487179487,0.351351351351,0.931818181818,0.302325581395,0.446280991736,0.549107142857,0.441,0.0,0.0117647058824,0.0,0.513888888889,0.489795918367,0.78,0.461538461538,0.572769953052,0.445,0.474,0.44
"Tony Campbell, G",0.939024390244,0.865853658537,0.930693069307,0.692063492063,0.512195121951,0.269662921348,0.346153846154,0.266666666667,0.516447368421,0.158974358974,0.675675675676,0.590909090909,0.255813953488,0.702479338843,0.870535714286,0.434,0.08,0.0941176470588,0.262,0.638888888889,0.591836734694,0.8,0.709401709402,0.8779342723,0.441,0.4468,0.44
"Felton Spencer, C",0.987804878049,0.560975609756,0.641089108911,0.225396825397,0.829268292683,0.516853932584,0.607692307692,0.0285714285714,0.194078947368,0.382051282051,0.27027027027,0.954545454545,0.0697674418605,0.198347107438,0.209821428571,0.512,0.0,0.0,0.0,0.305555555556,0.316326530612,0.72,0.205128205128,0.220657276995,0.513,0.6004,0.51
"Randy Breuer, C",0.890243902439,0.536585365854,0.509900990099,0.187301587302,0.390243902439,0.359550561798,0.361538461538,0.0952380952381,0.157894736842,0.282051282051,0.243243243243,0.409090909091,0.255813953488,0.223140495868,0.267857142857,0.453,0.0,0.0,0.0,0.0694444444444,0.112244897959,0.44,0.230769230769,0.281690140845,0.453,0.3944,0.45
"Tod Murphy, F",0.634146341463,0.231707317073,0.50495049505,0.152380952381,0.439024390244,0.348314606742,0.376923076923,0.114285714286,0.157894736842,0.0974358974359,0.162162162162,0.431818181818,0.441860465116,0.140495867769,0.196428571429,0.396,0.0,0.0352941176471,0.059,0.180555555556,0.204081632653,0.67,0.145299145299,0.192488262911,0.424,0.4424,0.4
"Scott Brooks, G",0.975609756098,0.0,0.304455445545,0.168253968254,0.0975609756098,0.0674157303371,0.0692307692308,0.247619047619,0.217105263158,0.0153846153846,0.162162162162,0.340909090909,0.93023255814,0.165289256198,0.205357142857,0.43,0.24,0.2,0.333,0.111111111111,0.0918367346939,0.85,0.119658119658,0.136150234742,0.485,0.4584,0.49
"Gerald Glass, G",0.621951219512,0.0365853658537,0.294554455446,0.219047619048,0.268292682927,0.101123595506,0.153846153846,0.0761904761905,0.180921052632,0.0461538461538,0.216216216216,0.340909090909,0.232558139535,0.239669421488,0.299107142857,0.438,0.0,0.0352941176471,0.118,0.138888888889,0.15306122449,0.68,0.247863247863,0.300469483568,0.455,0.414,0.44
"Doug West, F",0.914634146341,0.0121951219512,0.272277227723,0.12380952381,0.170731707317,0.123595505618,0.138461538462,0.0571428571429,0.154605263158,0.0794871794872,0.135135135135,0.340909090909,0.279069767442,0.132231404959,0.147321428571,0.48,0.0,0.0,0.0,0.111111111111,0.112244897959,0.69,0.136752136752,0.154929577465,0.482,0.478,0.48
