Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Lionel Simmons, F",0.963414634146,0.963414634146,0.933168316832,0.571428571429,0.585365853659,0.719101123596,0.676923076923,0.380952380952,0.470394736842,0.276923076923,0.783783783784,0.727272727273,0.325581395349,0.570247933884,0.736607142857,0.422,0.0,0.0117647058824,0.273,0.569444444444,0.561224489796,0.74,0.589743589744,0.769953051643,0.423,0.4368,0.42
"Wayman Tisdale, F",0.40243902439,0.378048780488,0.836633663366,0.634920634921,0.560975609756,0.606741573034,0.592307692308,0.190476190476,0.230263157895,0.217948717949,0.675675675676,0.681818181818,0.186046511628,0.652892561983,0.732142857143,0.483,0.0,0.0,0.0,0.569444444444,0.530612244898,0.8,0.675213675214,0.769953051643,0.484,0.4872,0.48
"Antoine Carr, F",0.939024390244,0.585365853659,0.811881188119,0.638095238095,0.512195121951,0.370786516854,0.423076923077,0.238095238095,0.190789473684,0.335897435897,0.594594594595,0.931818181818,0.255813953488,0.677685950413,0.709821428571,0.511,0.0,0.0,0.0,0.527777777778,0.520408163265,0.76,0.700854700855,0.746478873239,0.513,0.5052,0.51
"Jim Les, G",0.670731707317,0.0975609756098,0.628712871287,0.228571428571,0.0731707317073,0.191011235955,0.153846153846,0.514285714286,0.342105263158,0.0179487179487,0.378378378378,0.590909090909,0.93023255814,0.181818181818,0.21875,0.444,0.52,0.329411764706,0.461,0.222222222222,0.19387755102,0.84,0.0769230769231,0.0985915492958,0.421,0.5896,0.58
"Duane Causwell, C",0.926829268293,0.670731707317,0.559405940594,0.219047619048,0.463414634146,0.370786516854,0.392307692308,0.0857142857143,0.210526315789,0.5,0.351351351351,0.681818181818,0.162790697674,0.231404958678,0.241071428571,0.508,0.0,0.0,0.0,0.194444444444,0.224489795918,0.64,0.239316239316,0.253521126761,0.508,0.5084,0.51
"Anthony Bonner, F",0.414634146341,0.0731707317073,0.54702970297,0.234920634921,0.414634146341,0.337078651685,0.361538461538,0.133333333333,0.378289473684,0.0384615384615,0.324324324324,0.409090909091,0.279069767442,0.247933884298,0.303571428571,0.448,0.0,0.0,0.0,0.180555555556,0.224489795918,0.58,0.25641025641,0.319248826291,0.448,0.4348,0.45
"Bill Wennington, C",0.939024390244,0.280487804878,0.467821782178,0.180952380952,0.317073170732,0.348314606742,0.338461538462,0.0857142857143,0.197368421053,0.197435897436,0.189189189189,0.681818181818,0.325581395349,0.198347107438,0.241071428571,0.436,0.0,0.0117647058824,0.2,0.138888888889,0.122448979592,0.79,0.205128205128,0.24882629108,0.439,0.4212,0.44
"Steve Colter, G",0.231707317073,0.0,0.326732673267,0.0984126984127,0.0731707317073,0.123595505618,0.107692307692,0.180952380952,0.190789473684,0.0128205128205,0.162162162162,0.318181818182,0.790697674419,0.099173553719,0.129464285714,0.411,0.12,0.0823529411765,0.357,0.0555555555556,0.0510204081633,0.7,0.0769230769231,0.103286384977,0.429,0.4144,0.46
"Eric Leckner, C",0.390243902439,0.0,0.292079207921,0.0920634920635,0.19512195122,0.213483146067,0.207692307692,0.0571428571429,0.0427631578947,0.0871794871795,0.216216216216,0.5,0.162790697674,0.099173553719,0.133928571429,0.406,0.0,0.0,0.0,0.0694444444444,0.0816326530612,0.59,0.102564102564,0.140845070423,0.406,0.3916,0.41
"Tony Dawson, F",0.0487804878049,0.0,0.106435643564,0.0730158730159,0.121951219512,0.0,0.0384615384615,0.0,0.0,0.0,0.0810810810811,0.0,0.0,0.0826446280992,0.0803571428571,0.571,0.12,0.0352941176471,1.0,0.0,0.0,0.0,0.0598290598291,0.0704225352113,0.5,0.5144,0.64
