Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Karl Malone, PF",1.0,1.0,0.915254237288,0.828220858896,0.474576271186,0.682926829268,0.612021857923,0.316666666667,0.533568904594,0.249400479616,0.707317073171,0.695652173913,0.236363636364,0.763779527559,0.684824902724,0.552,0.0,0.0377358490566,0.340136054422,1.0,1.0,0.74,0.82905982906,0.763157894737,0.557,0.6144,0.55
"John Stockton, G",1.0,1.0,0.845036319613,0.463190184049,0.135593220339,0.170731707317,0.158469945355,1.0,0.858657243816,0.0623501199041,0.780487804878,0.586956521739,0.672727272727,0.417322834646,0.428015564202,0.486,0.45,0.433962264151,0.654761904762,0.48,0.441176470588,0.8,0.376068376068,0.381578947368,0.513,0.5512,0.53
"Jeff Malone, G",0.963414634146,0.719512195122,0.784503631961,0.555214723926,0.0677966101695,0.146341463415,0.120218579235,0.133333333333,0.187279151943,0.0119904076739,0.390243902439,0.326086956522,0.181818181818,0.590551181102,0.5953307393,0.494,0.0,0.0188679245283,0.566326530612,0.4,0.343137254902,0.85,0.641025641026,0.666666666667,0.495,0.4744,0.5
"Tyrone Corbin, F",1.0,0.707317073171,0.755447941889,0.355828220859,0.406779661017,0.325203252033,0.344262295082,0.175,0.466431095406,0.0935251798561,0.317073170732,0.673913043478,0.290909090909,0.370078740157,0.36186770428,0.503,0.0,0.0188679245283,0.0,0.293333333333,0.264705882353,0.83,0.401709401709,0.40350877193,0.506,0.496,0.5
"Jay Humphries, G",0.951219512195,0.243902439024,0.63196125908,0.269938650307,0.0847457627119,0.105691056911,0.0983606557377,0.341666666667,0.455830388693,0.0335731414868,0.414634146341,0.652173913043,0.436363636364,0.291338582677,0.326848249027,0.436,0.1,0.188679245283,0.340136054422,0.173333333333,0.166666666667,0.78,0.299145299145,0.324561403509,0.466,0.4188,0.45
"David Benoit, F",1.0,0.329268292683,0.506053268765,0.248466257669,0.237288135593,0.276422764228,0.262295081967,0.0416666666667,0.194346289753,0.124700239808,0.268292682927,0.54347826087,0.0909090909091,0.244094488189,0.280155642023,0.436,0.2,0.22641509434,0.590136054422,0.186666666667,0.186274509804,0.75,0.230769230769,0.263157894737,0.453,0.4488,0.46
"Larry Krystkowiak, F",0.865853658537,0.0,0.464891041162,0.220858895706,0.169491525424,0.235772357724,0.213114754098,0.0833333333333,0.208480565371,0.0431654676259,0.219512195122,0.54347826087,0.2,0.220472440945,0.233463035019,0.466,0.0,0.0,0.0,0.213333333333,0.205882352941,0.8,0.239316239316,0.263157894737,0.467,0.4828,0.47
"Mike Brown, C",1.0,0.256097560976,0.457627118644,0.174846625767,0.305084745763,0.243902439024,0.262295081967,0.0666666666667,0.137809187279,0.0671462829736,0.292682926829,0.5,0.127272727273,0.165354330709,0.194552529183,0.43,0.0,0.0,0.0,0.186666666667,0.196078431373,0.69,0.179487179487,0.219298245614,0.431,0.4548,0.43
"Mark Eaton, C",0.780487804878,0.69512195122,0.418886198547,0.0858895705521,0.186440677966,0.243902439024,0.224043715847,0.025,0.0989399293286,0.294964028777,0.170731707317,0.478260869565,0.0727272727273,0.0866141732283,0.0778210116732,0.546,0.0,0.0,0.0,0.0666666666667,0.078431372549,0.7,0.0940170940171,0.0877192982456,0.546,0.5448,0.55
"James Donaldson, C",0.0731707317073,0.0121951219512,0.38014527845,0.10736196319,0.169491525424,0.308943089431,0.262295081967,0.0166666666667,0.0600706713781,0.280575539568,0.170731707317,0.478260869565,0.0545454545455,0.102362204724,0.0894941634241,0.571,0.0,0.0,0.0,0.106666666667,0.147058823529,0.56,0.111111111111,0.100877192982,0.571,0.6,0.57
