Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Harvey Grant, F",0.878048780488,0.878048780488,0.89588377724,0.570552147239,0.305084745763,0.317073170732,0.311475409836,0.233333333333,0.353356890459,0.146282973621,0.317073170732,0.5,0.418181818182,0.614173228346,0.622568093385,0.487,0.0,0.0188679245283,0.170068027211,0.4,0.411764705882,0.73,0.666666666667,0.697368421053,0.491,0.466,0.49
"Michael Adams, G",0.853658536585,0.853658536585,0.864406779661,0.453987730061,0.118644067797,0.219512195122,0.185792349727,0.625,0.505300353357,0.0143884892086,0.609756097561,0.45652173913,0.545454545455,0.409448818898,0.463035019455,0.439,0.5,0.566037735849,0.545918367347,0.453333333333,0.392156862745,0.86,0.358974358974,0.390350877193,0.48,0.498,0.48
"Pervis Ellison, F",0.59756097561,0.585365853659,0.8401937046,0.533742331288,0.474576271186,0.487804878049,0.48087431694,0.2,0.325088339223,0.52757793765,0.536585365854,0.673913043478,0.2,0.551181102362,0.52140077821,0.521,0.0,0.0188679245283,0.0,0.466666666667,0.480392156863,0.7,0.598290598291,0.583333333333,0.524,0.5204,0.52
"Tom Gugliotta, PF",0.987804878049,0.987804878049,0.835351089588,0.450920245399,0.457627118644,0.560975609756,0.524590163934,0.316666666667,0.583038869258,0.103117505995,0.682926829268,0.521739130435,0.236363636364,0.472440944882,0.544747081712,0.426,0.25,0.320754716981,0.477891156463,0.293333333333,0.343137254902,0.64,0.470085470085,0.539473684211,0.446,0.4184,0.44
"Larry Stewart, F",0.987804878049,0.0975609756098,0.544794188862,0.300613496933,0.322033898305,0.227642276423,0.256830601093,0.15,0.204946996466,0.0863309352518,0.463414634146,0.521739130435,0.181818181818,0.299212598425,0.272373540856,0.543,0.0,0.0,0.0,0.306666666667,0.303921568627,0.73,0.324786324786,0.30701754386,0.544,0.5644,0.54
"LaBradford Smith, G",0.841463414634,0.40243902439,0.542372881356,0.28527607362,0.0677966101695,0.0975609756098,0.0819672131148,0.225,0.296819787986,0.031175059952,0.365853658537,0.565217391304,0.327272727273,0.299212598425,0.322957198444,0.458,0.05,0.0566037735849,0.591836734694,0.213333333333,0.176470588235,0.86,0.316239316239,0.350877192982,0.463,0.4484,0.46
"Doug Overton, PG",0.548780487805,0.158536585366,0.532687651332,0.248466257669,0.101694915254,0.146341463415,0.131147540984,0.291666666667,0.243816254417,0.031175059952,0.390243902439,0.391304347826,0.4,0.267716535433,0.280155642023,0.471,0.05,0.0566037735849,0.392857142857,0.173333333333,0.176470588235,0.73,0.282051282051,0.302631578947,0.481,0.4532,0.48
"Rex Chapman, G",0.731707317073,0.280487804878,0.525423728814,0.383435582822,0.0508474576271,0.0975609756098,0.0819672131148,0.158333333333,0.222614840989,0.0407673860911,0.317073170732,0.434782608696,0.272727272727,0.377952755906,0.389105058366,0.477,0.35,0.358490566038,0.630952380952,0.293333333333,0.264705882353,0.81,0.350427350427,0.355263157895,0.502,0.4976,0.51
"Charles Jones, F",0.817073170732,0.256097560976,0.43583535109,0.0398773006135,0.220338983051,0.227642276423,0.224043715847,0.05,0.201413427562,0.275779376499,0.146341463415,0.45652173913,0.2,0.0393700787402,0.0350194552529,0.524,0.0,0.0,0.0,0.04,0.0588235294118,0.58,0.042735042735,0.0394736842105,0.532,0.5588,0.52
"Brent Price, G",0.829268292683,0.109756097561,0.305084745763,0.11963190184,0.0677966101695,0.0894308943089,0.0819672131148,0.191666666667,0.289752650177,0.00959232613909,0.317073170732,0.282608695652,0.327272727273,0.11811023622,0.15953307393,0.358,0.05,0.132075471698,0.284013605442,0.106666666667,0.0980392156863,0.79,0.119658119658,0.149122807018,0.398,0.3756,0.37
