Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Patrick Ewing, C",0.963414634146,0.963414634146,0.872389791183,0.822147651007,0.491228070175,0.724137931034,0.647398843931,0.18253968254,0.385135135135,0.670731707317,0.80487804878,0.813953488372,0.116666666667,0.796610169492,0.801687763713,0.496,0.0416666666667,0.031746031746,0.286,0.64367816092,0.637931034483,0.76,0.78813559322,0.895238095238,0.498,0.43,0.5
"Charles Oakley, PF",1.0,1.0,0.830626450116,0.395973154362,0.754385964912,0.646551724138,0.682080924855,0.214285714286,0.452702702703,0.0536585365854,0.585365853659,0.837209302326,0.183333333333,0.372881355932,0.392405063291,0.478,0.0,0.0,0.0,0.344827586207,0.327586206897,0.78,0.372881355932,0.442857142857,0.48,0.425,0.48
"John Starks, G",0.719512195122,0.658536585366,0.809744779582,0.637583892617,0.105263157895,0.215517241379,0.179190751445,0.468253968254,0.543918918919,0.0243902439024,0.756097560976,0.744186046512,0.316666666667,0.584745762712,0.700421940928,0.42,0.791666666667,0.904761904762,0.335,0.367816091954,0.362068965517,0.75,0.423728813559,0.519047619048,0.464,0.382,0.48
"Doc Rivers, G",0.231707317073,0.231707317073,0.610208816705,0.251677852349,0.0350877192982,0.155172413793,0.121387283237,0.420634920635,0.445945945946,0.0634146341463,0.365853658537,0.53488372093,0.566666666667,0.245762711864,0.282700421941,0.433,0.416666666667,0.428571428571,0.365,0.0804597701149,0.103448275862,0.64,0.161016949153,0.190476190476,0.48,0.375333333333,0.51
"Anthony Mason, F",0.890243902439,0.146341463415,0.605568445476,0.241610738255,0.385964912281,0.318965517241,0.335260115607,0.166666666667,0.141891891892,0.0292682926829,0.365853658537,0.604651162791,0.233333333333,0.237288135593,0.248945147679,0.476,0.0,0.0,0.0,0.183908045977,0.189655172414,0.72,0.237288135593,0.280952380952,0.477,0.406333333333,0.48
"Charles Smith, F",0.524390243902,0.256097560976,0.596287703016,0.348993288591,0.263157894737,0.198275862069,0.219653179191,0.0952380952381,0.202702702703,0.256097560976,0.365853658537,0.767441860465,0.133333333333,0.347457627119,0.388185654008,0.443,0.0833333333333,0.0634920634921,0.5,0.229885057471,0.241379310345,0.72,0.330508474576,0.419047619048,0.441,0.375333333333,0.45
"Greg Anthony, G",0.975609756098,0.439024390244,0.577726218097,0.265100671141,0.0877192982456,0.155172413793,0.138728323699,0.365079365079,0.483108108108,0.0390243902439,0.390243902439,0.46511627907,0.483333333333,0.237288135593,0.299578059072,0.394,0.25,0.31746031746,0.3,0.183908045977,0.181034482759,0.77,0.186440677966,0.242857142857,0.431,0.366666666667,0.44
"Derek Harper, G",0.658536585366,0.329268292683,0.563805104408,0.288590604027,0.0350877192982,0.120689655172,0.0924855491329,0.349206349206,0.5,0.0170731707317,0.365853658537,0.511627906977,0.483333333333,0.271186440678,0.31223628692,0.43,0.291666666667,0.285714285714,0.367,0.183908045977,0.181034482759,0.74,0.21186440678,0.266666666667,0.451,0.386333333333,0.48
"Hubert Davis, SG",0.682926829268,0.329268292683,0.552204176334,0.369127516779,0.0701754385965,0.0689655172414,0.0693641618497,0.230158730159,0.239864864865,0.0170731707317,0.341463414634,0.488372093023,0.366666666667,0.364406779661,0.379746835443,0.471,0.375,0.380952380952,0.402,0.172413793103,0.155172413793,0.83,0.28813559322,0.314285714286,0.496,0.405333333333,0.52
"Anthony Bonner, F",0.890243902439,0.463414634146,0.445475638051,0.171140939597,0.368421052632,0.23275862069,0.271676300578,0.0952380952381,0.351351351351,0.0439024390244,0.292682926829,0.558139534884,0.166666666667,0.186440677966,0.164556962025,0.563,0.0,0.0,0.0,0.0804597701149,0.120689655172,0.48,0.186440677966,0.185714285714,0.563,0.433,0.56
