Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Clarence Weatherspoon, PF",1.0,1.0,0.890951276102,0.61744966443,0.543859649123,0.603448275862,0.583815028902,0.18253968254,0.412162162162,0.343902439024,0.585365853659,0.441860465116,0.166666666667,0.618644067797,0.64135021097,0.483,0.0,0.031746031746,0.235,0.413793103448,0.448275862069,0.69,0.618644067797,0.714285714286,0.487,0.403,0.48
"Jeff Hornacek, G",0.646341463415,0.646341463415,0.872389791183,0.557046979866,0.140350877193,0.275862068966,0.231213872832,0.468253968254,0.60472972973,0.0463414634146,0.634146341463,0.511627906977,0.383333333333,0.516949152542,0.569620253165,0.455,0.416666666667,0.492063492063,0.313,0.390804597701,0.327586206897,0.87,0.432203389831,0.495238095238,0.497,0.410333333333,0.49
"Jeff Malone, G",0.329268292683,0.280487804878,0.77494199536,0.563758389262,0.157894736842,0.198275862069,0.179190751445,0.174603174603,0.175675675676,0.0,0.243902439024,0.395348837209,0.35,0.584745762712,0.607594936709,0.481,0.0416666666667,0.031746031746,0.667,0.32183908046,0.301724137931,0.81,0.576271186441,0.67619047619,0.478,0.389,0.49
"Dana Barros, PG",0.987804878049,0.853658536585,0.721577726218,0.446308724832,0.0526315789474,0.181034482759,0.138728323699,0.412698412698,0.445945945946,0.0146341463415,0.512195121951,0.279069767442,0.416666666667,0.432203389831,0.455696202532,0.469,0.708333333333,0.698412698413,0.381,0.16091954023,0.155172413793,0.8,0.28813559322,0.304761904762,0.529,0.408,0.55
"Tim Perry, F",0.975609756098,0.829268292683,0.677494199536,0.302013422819,0.263157894737,0.310344827586,0.294797687861,0.0952380952381,0.253378378378,0.251219512195,0.243902439024,0.441860465116,0.2,0.28813559322,0.329113924051,0.435,0.375,0.396825396825,0.365,0.149425287356,0.189655172414,0.58,0.21186440678,0.252380952381,0.468,0.383333333333,0.49
"Shawn Bradley, C",0.59756097561,0.548780487805,0.656612529002,0.345637583893,0.350877192982,0.362068965517,0.35838150289,0.15873015873,0.310810810811,0.731707317073,0.731707317073,0.813953488372,0.116666666667,0.347457627119,0.42194092827,0.409,0.0,0.015873015873,0.0,0.241379310345,0.293103448276,0.61,0.347457627119,0.471428571429,0.412,0.342,0.41
"Orlando Woolridge, F",0.90243902439,0.0121951219512,0.61252900232,0.426174496644,0.245614035088,0.224137931034,0.231213872832,0.150793650794,0.185810810811,0.185365853659,0.463414634146,0.581395348837,0.166666666667,0.415254237288,0.438818565401,0.471,0.0,0.031746031746,0.071,0.32183908046,0.353448275862,0.69,0.415254237288,0.485714285714,0.478,0.404,0.47
"Johnny Dawkins, G",0.878048780488,0.146341463415,0.433874709977,0.221476510067,0.0701754385965,0.112068965517,0.0982658959538,0.293650793651,0.297297297297,0.0170731707317,0.365853658537,0.232558139535,0.4,0.21186440678,0.248945147679,0.418,0.208333333333,0.238095238095,0.352,0.137931034483,0.120689655172,0.84,0.169491525424,0.209523809524,0.44,0.374333333333,0.46
"Eric Leckner, C",0.865853658537,0.439024390244,0.380510440835,0.171140939597,0.19298245614,0.25,0.231213872832,0.0952380952381,0.0844594594595,0.117073170732,0.292682926829,0.627906976744,0.166666666667,0.169491525424,0.168776371308,0.486,0.0,0.0,0.0,0.137931034483,0.155172413793,0.65,0.169491525424,0.190476190476,0.489,0.422,0.49
"Bill Edwards, F",0.0365853658537,0.0,0.341067285383,0.0671140939597,0.298245614035,0.258620689655,0.271676300578,0.103174603175,0.337837837838,0.080487804878,0.317073170732,0.46511627907,0.166666666667,0.0593220338983,0.253164556962,0.111,0.0,0.269841269841,0.0,0.0804597701149,0.146551724138,0.4,0.0593220338983,0.204761904762,0.154,0.111,0.11
