Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"John Williams, F",0.90243902439,0.890243902439,0.802247191011,0.430034129693,0.410714285714,0.346153846154,0.383333333333,0.211382113821,0.32,0.347826086957,0.512820512821,0.527272727273,0.325,0.415254237288,0.457983193277,0.452,0.0,0.0131578947368,0.2,0.305882352941,0.354545454545,0.69,0.415254237288,0.493150684932,0.453,0.521363636364,0.45
"Chris Mills, SF",0.975609756098,0.963414634146,0.791011235955,0.419795221843,0.214285714286,0.253846153846,0.255555555556,0.154471544715,0.211428571429,0.112531969309,0.384615384615,0.545454545455,0.325,0.381355932203,0.449579831933,0.42,0.444444444444,0.394736842105,0.392,0.258823529412,0.245454545455,0.82,0.279661016949,0.351598173516,0.431,0.524090909091,0.47
"Tyrone Hill, PF",0.853658536585,0.817073170732,0.768539325843,0.470989761092,0.678571428571,0.546153846154,0.605555555556,0.0650406504065,0.225714285714,0.150895140665,0.564102564103,0.636363636364,0.1,0.423728813559,0.415966386555,0.504,0.0,0.0,0.0,0.447058823529,0.518181818182,0.66,0.423728813559,0.452054794521,0.505,0.630909090909,0.5
"Bobby Phills, F",0.975609756098,0.963414634146,0.703370786517,0.37542662116,0.196428571429,0.169230769231,0.183333333333,0.186991869919,0.411428571429,0.079283887468,0.358974358974,0.472727272727,0.4,0.35593220339,0.428571428571,0.414,0.0740740740741,0.0921052631579,0.345,0.270588235294,0.263636363636,0.78,0.338983050847,0.433789954338,0.419,0.489090909091,0.43
"Terrell Brandon, PG",0.817073170732,0.5,0.658426966292,0.453924914676,0.0892857142857,0.176923076923,0.155555555556,0.439024390244,0.457142857143,0.0537084398977,0.538461538462,0.327272727273,0.625,0.432203389831,0.478991596639,0.448,0.259259259259,0.236842105263,0.397,0.282352941176,0.254545454545,0.85,0.372881355932,0.438356164384,0.457,0.530454545455,0.48
"Mark Price, G",0.585365853659,0.414634146341,0.642696629213,0.539249146758,0.0892857142857,0.138461538462,0.127777777778,0.569105691057,0.208571428571,0.0204603580563,0.769230769231,0.181818181818,0.6,0.449152542373,0.53781512605,0.413,0.777777777778,0.697368421053,0.407,0.364705882353,0.309090909091,0.91,0.271186440678,0.342465753425,0.418,0.562272727273,0.5
"Michael Cage, C",1.0,0.256097560976,0.559550561798,0.170648464164,0.446428571429,0.338461538462,0.383333333333,0.0569105691057,0.211428571429,0.209718670077,0.179487179487,0.327272727273,0.25,0.186440677966,0.172268907563,0.521,0.0,0.0,0.0,0.0705882352941,0.1,0.6,0.186440677966,0.187214611872,0.524,0.544090909091,0.52
"Danny Ferry, F",1.0,0.0731707317073,0.352808988764,0.255972696246,0.0714285714286,0.107692307692,0.0944444444444,0.0975609756098,0.0942857142857,0.0690537084399,0.179487179487,0.290909090909,0.4,0.228813559322,0.256302521008,0.446,0.407407407407,0.368421052632,0.403,0.105882352941,0.0909090909091,0.88,0.135593220339,0.150684931507,0.483,0.558181818182,0.54
"Tony Campbell, G",0.951219512195,0.0,0.325842696629,0.204778156997,0.142857142857,0.0923076923077,0.111111111111,0.0731707317073,0.117142857143,0.0255754475703,0.205128205128,0.290909090909,0.275,0.177966101695,0.210084033613,0.411,0.0740740740741,0.0657894736842,0.357,0.2,0.181818181818,0.83,0.161016949153,0.205479452055,0.417,0.543636363636,0.43
"Steve Colter, G",0.69512195122,0.0853658536585,0.296629213483,0.116040955631,0.0357142857143,0.0615384615385,0.0555555555556,0.146341463415,0.151428571429,0.0281329923274,0.153846153846,0.163636363636,0.7,0.101694915254,0.126050420168,0.396,0.037037037037,0.0789473684211,0.229,0.105882352941,0.109090909091,0.76,0.0932203389831,0.109589041096,0.44,0.527272727273,0.42
