Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Latrell Sprewell, SG",0.841463414634,0.841463414634,0.903370786517,0.703071672355,0.142857142857,0.223076923077,0.205555555556,0.325203252033,0.462857142857,0.171355498721,0.846153846154,0.290909090909,0.3,0.601694915254,0.714285714286,0.418,0.481481481481,0.618421052632,0.276,0.6,0.590909090909,0.78,0.491525423729,0.561643835616,0.473,0.551363636364,0.46
"Tim Hardaway, G",0.756097560976,0.756097560976,0.840449438202,0.686006825939,0.125,0.176923076923,0.172222222222,0.756097560976,0.405714285714,0.0485933503836,0.897435897436,0.454545454545,0.675,0.584745762712,0.680672268908,0.427,1.0,0.947368421053,0.378,0.411764705882,0.418181818182,0.76,0.35593220339,0.41095890411,0.465,0.562727272727,0.51
"Chris Mullin, F",0.30487804878,0.280487804878,0.8,0.648464163823,0.178571428571,0.276923076923,0.255555555556,0.406504065041,0.434285714286,0.194373401535,0.948717948718,0.381818181818,0.325,0.576271186441,0.584033613445,0.489,0.62962962963,0.486842105263,0.452,0.447058823529,0.390909090909,0.88,0.432203389831,0.465753424658,0.502,0.621818181818,0.55
"Tom Gugliotta, PF",0.487804878049,0.487804878049,0.743820224719,0.372013651877,0.446428571429,0.376923076923,0.411111111111,0.252032520325,0.357142857143,0.148337595908,0.589743589744,0.454545454545,0.325,0.372881355932,0.415966386555,0.443,0.259259259259,0.302631578947,0.311,0.164705882353,0.218181818182,0.57,0.313559322034,0.34703196347,0.482,0.498181818182,0.48
"Donyell Marshall, PF",0.390243902439,0.280487804878,0.737078651685,0.505119453925,0.410714285714,0.330769230769,0.361111111111,0.121951219512,0.18,0.304347826087,0.461538461538,0.527272727273,0.2,0.491525423729,0.596638655462,0.413,0.444444444444,0.565789473684,0.27,0.235294117647,0.281818181818,0.64,0.389830508475,0.452054794521,0.475,0.476818181818,0.45
"Rony Seikaly, C",0.439024390244,0.426829268293,0.647191011236,0.412969283276,0.375,0.407692307692,0.411111111111,0.105691056911,0.16,0.263427109974,0.74358974359,0.618181818182,0.1,0.381355932203,0.365546218487,0.516,0.0,0.0,0.0,0.364705882353,0.4,0.69,0.381355932203,0.397260273973,0.516,0.629545454545,0.52
"Chris Gatling, C",0.707317073171,0.268292682927,0.568539325843,0.467576791809,0.446428571429,0.4,0.422222222222,0.0731707317073,0.191428571429,0.230179028133,0.512820512821,0.581818181818,0.1,0.474576271186,0.36974789916,0.633,0.0,0.0,0.0,0.305882352941,0.390909090909,0.59,0.474576271186,0.401826484018,0.634,0.706818181818,0.63
"Ricky Pierce, G",0.329268292683,0.0731707317073,0.559550561798,0.42662116041,0.0714285714286,0.146153846154,0.133333333333,0.121951219512,0.231428571429,0.0179028132992,0.230769230769,0.254545454545,0.425,0.347457627119,0.394957983193,0.437,0.333333333333,0.342105263158,0.329,0.4,0.354545454545,0.88,0.271186440678,0.310502283105,0.478,0.605,0.48
"Victor Alexander, F",0.609756097561,0.353658536585,0.555056179775,0.341296928328,0.303571428571,0.315384615385,0.322222222222,0.0975609756098,0.16,0.148337595908,0.384615384615,0.527272727273,0.2,0.389830508475,0.373949579832,0.515,0.037037037037,0.0657894736842,0.24,0.0823529411765,0.109090909091,0.6,0.381355932203,0.383561643836,0.531,0.510454545455,0.52
"Clifford Rozier, F",0.80487804878,0.414634146341,0.507865168539,0.232081911263,0.535714285714,0.330769230769,0.411111111111,0.0569105691057,0.151428571429,0.150895140665,0.333333333333,0.545454545455,0.125,0.245762711864,0.247899159664,0.485,0.0,0.0131578947368,0.286,0.117647058824,0.209090909091,0.45,0.245762711864,0.264840182648,0.488,0.522272727273,0.49
