Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Grant Hill, SF",0.975609756098,0.975609756098,0.96682464455,0.664473684211,0.285714285714,0.881720430108,0.657718120805,0.616071428571,0.438596491228,0.133630289532,0.825,0.731707317073,0.45652173913,0.633928571429,0.676991150442,0.462,0.030303030303,0.0348837209302,0.192,0.802631578947,0.794117647059,0.75,0.636363636364,0.728155339806,0.468,0.441666666667,0.46
"Allan Houston, SG",1.0,0.914634146341,0.888625592417,0.648026315789,0.125,0.322580645161,0.248322147651,0.267857142857,0.259649122807,0.0445434298441,0.7,0.682926829268,0.239130434783,0.616071428571,0.672566371681,0.453,0.69696969697,0.639534883721,0.427,0.473684210526,0.43137254902,0.82,0.418181818182,0.470873786408,0.468,0.433333333333,0.53
"Otis Thorpe, C",1.0,1.0,0.81990521327,0.467105263158,0.464285714286,0.623655913978,0.563758389262,0.169642857143,0.228070175439,0.106904231626,0.6,0.90243902439,0.173913043478,0.491071428571,0.46017699115,0.53,0.0,0.0,0.0,0.407894736842,0.43137254902,0.71,0.5,0.504854368932,0.532,0.453666666667,0.53
"Joe Dumars, G",0.817073170732,0.487804878049,0.774881516588,0.388157894737,0.0714285714286,0.172043010753,0.140939597315,0.357142857143,0.224561403509,0.00890868596882,0.35,0.390243902439,0.586956521739,0.339285714286,0.393805309735,0.426,0.545454545455,0.511627906977,0.406,0.315789473684,0.28431372549,0.82,0.181818181818,0.218446601942,0.447,0.442,0.53
"Lindsey Hunter, SG",0.975609756098,0.585365853659,0.632701421801,0.279605263158,0.107142857143,0.204301075269,0.161073825503,0.214285714286,0.368421052632,0.0512249443207,0.25,0.560975609756,0.521739130435,0.267857142857,0.349557522124,0.381,0.454545454545,0.418604651163,0.405,0.144736842105,0.147058823529,0.7,0.136363636364,0.208737864078,0.36,0.360333333333,0.47
"Terry Mills, F",1.0,0.0609756097561,0.478672985782,0.309210526316,0.232142857143,0.322580645161,0.288590604027,0.107142857143,0.178947368421,0.0534521158129,0.3,0.585365853659,0.217391304348,0.3125,0.362831858407,0.419,0.30303030303,0.290697674419,0.396,0.197368421053,0.186274509804,0.77,0.227272727273,0.276699029126,0.429,0.379666666667,0.48
"Michael Curry, SF",0.5,0.0121951219512,0.4336492891,0.161184210526,0.107142857143,0.139784946237,0.134228187919,0.0535714285714,0.19649122807,0.011135857461,0.15,0.536585365854,0.239130434783,0.151785714286,0.163716814159,0.464,0.151515151515,0.139534883721,0.4,0.131578947368,0.137254901961,0.71,0.109090909091,0.121359223301,0.495,0.443666666667,0.53
"Theo Ratliff, C",0.914634146341,0.0243902439024,0.412322274882,0.148026315789,0.267857142857,0.268817204301,0.268456375839,0.0178571428571,0.0736842105263,0.345211581292,0.175,0.463414634146,0.0434782608696,0.151785714286,0.137168141593,0.557,0.0,0.0,0.0,0.144736842105,0.156862745098,0.71,0.154545454545,0.150485436893,0.559,0.494333333333,0.56
"Mark West, C",0.573170731707,0.256097560976,0.343601895735,0.105263157895,0.178571428571,0.193548387097,0.187919463087,0.00892857142857,0.0456140350877,0.175946547884,0.175,0.707317073171,0.0434782608696,0.116071428571,0.119469026549,0.484,0.0,0.0,0.0,0.0789473684211,0.0980392156863,0.62,0.118181818182,0.131067961165,0.484,0.396666666667,0.48
"Don Reid, F",0.841463414634,0.560975609756,0.341232227488,0.125,0.196428571429,0.193548387097,0.194630872483,0.0178571428571,0.238596491228,0.129175946548,0.15,0.707317073171,0.0652173913043,0.133928571429,0.119469026549,0.567,0.0,0.0,0.0,0.0921052631579,0.107843137255,0.66,0.136363636364,0.131067961165,0.567,0.468666666667,0.57
