Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Loy Vaught, F",0.975609756098,0.951219512195,0.879146919431,0.532894736842,0.464285714286,0.817204301075,0.677852348993,0.125,0.382456140351,0.11135857461,0.5,0.731707317073,0.152173913043,0.633928571429,0.601769911504,0.525,0.030303030303,0.0232558139535,0.368,0.25,0.254901960784,0.73,0.636363636364,0.650485436893,0.528,0.398,0.53
"Bison Dele, C",0.792682926829,0.792682926829,0.78672985782,0.519736842105,0.410714285714,0.569892473118,0.510067114094,0.169642857143,0.378947368421,0.189309576837,0.725,0.853658536585,0.130434782609,0.571428571429,0.522123893805,0.543,0.0,0.0116279069767,0.167,0.394736842105,0.401960784314,0.73,0.581818181818,0.567961165049,0.546,0.447666666667,0.54
"Pooh Richardson, G",0.768292682927,0.743902439024,0.758293838863,0.384868421053,0.107142857143,0.215053763441,0.167785234899,0.482142857143,0.428070175439,0.0467706013363,0.375,0.512195121951,0.782608695652,0.401785714286,0.464601769912,0.423,0.454545454545,0.453488372093,0.384,0.157894736842,0.166666666667,0.74,0.272727272727,0.320388349515,0.446,0.368333333333,0.49
"Rodney Rogers, SF",0.817073170732,0.621951219512,0.689573459716,0.381578947368,0.303571428571,0.279569892473,0.288590604027,0.223214285714,0.39298245614,0.115812917595,0.525,0.780487804878,0.260869565217,0.410714285714,0.424778761062,0.477,0.212121212121,0.267441860465,0.32,0.223684210526,0.264705882353,0.63,0.354545454545,0.354368932039,0.527,0.402333333333,0.52
"Malik Sealy, G",0.756097560976,0.585365853659,0.611374407583,0.378289473684,0.214285714286,0.279569892473,0.261744966443,0.169642857143,0.473684210526,0.100222717149,0.45,0.585365853659,0.217391304348,0.392857142857,0.469026548673,0.415,0.0909090909091,0.186046511628,0.21,0.315789473684,0.294117647059,0.8,0.372727272727,0.436893203883,0.452,0.362333333333,0.43
"Terry Dehere, G",1.0,0.121951219512,0.582938388626,0.407894736842,0.0892857142857,0.129032258065,0.114093959732,0.383928571429,0.231578947368,0.0445434298441,0.575,0.707317073171,0.391304347826,0.339285714286,0.371681415929,0.459,0.515151515152,0.453488372093,0.44,0.394736842105,0.392156862745,0.76,0.190909090909,0.218446601942,0.476,0.493666666667,0.56
"Brent Barry, SG",0.963414634146,0.536585365854,0.568720379147,0.332236842105,0.0892857142857,0.172043010753,0.140939597315,0.258928571429,0.421052631579,0.0623608017817,0.375,0.609756097561,0.413043478261,0.321428571429,0.336283185841,0.474,0.484848484848,0.43023255814,0.416,0.184210526316,0.166666666667,0.81,0.181818181818,0.18932038835,0.532,0.446666666667,0.58
"Lamond Murray, SF",0.939024390244,0.390243902439,0.559241706161,0.276315789474,0.214285714286,0.215053763441,0.214765100671,0.0982142857143,0.277192982456,0.0712694877506,0.35,0.487804878049,0.173913043478,0.294642857143,0.33185840708,0.447,0.151515151515,0.174418604651,0.319,0.171052631579,0.166666666667,0.75,0.254545454545,0.291262135922,0.479,0.376666666667,0.48
"Stanley Roberts, C",0.621951219512,0.0853658536585,0.369668246445,0.230263157895,0.142857142857,0.258064516129,0.214765100671,0.0714285714286,0.101754385965,0.169265033408,0.225,0.731707317073,0.195652173913,0.25,0.265486725664,0.464,0.0,0.0,0.0,0.197368421053,0.254901960784,0.56,0.254545454545,0.291262135922,0.464,0.390333333333,0.46
"Bo Outlaw, PF",0.975609756098,0.0365853658537,0.291469194313,0.118421052632,0.196428571429,0.150537634409,0.167785234899,0.0535714285714,0.19298245614,0.253897550111,0.15,0.390243902439,0.239130434783,0.116071428571,0.101769911504,0.575,0.0,0.0,0.0,0.118421052632,0.196078431373,0.44,0.118181818182,0.111650485437,0.585,0.512666666667,0.58
