Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Clifford Robinson, PF",0.951219512195,0.926829268293,0.905213270142,0.694078947368,0.285714285714,0.440860215054,0.38255033557,0.214285714286,0.385964912281,0.193763919822,0.625,0.780487804878,0.217391304348,0.633928571429,0.738938053097,0.423,0.69696969697,0.697674418605,0.378,0.605263157895,0.676470588235,0.66,0.436363636364,0.519417475728,0.449,0.419666666667,0.49
"Rod Strickland, PG",0.817073170732,0.768292682927,0.89336492891,0.615131578947,0.232142857143,0.333333333333,0.295302013423,0.857142857143,0.508771929825,0.0534521158129,0.95,0.487804878049,0.54347826087,0.625,0.676991150442,0.46,0.181818181818,0.197674418605,0.342,0.539473684211,0.617647058824,0.65,0.581818181818,0.660194174757,0.475,0.409333333333,0.48
"Harvey Grant, F",0.926829268293,0.914634146341,0.74644549763,0.305921052632,0.267857142857,0.344086021505,0.322147651007,0.133928571429,0.277192982456,0.126948775056,0.275,0.560975609756,0.304347826087,0.366071428571,0.393805309735,0.462,0.0909090909091,0.104651162791,0.313,0.105263157895,0.137254901961,0.55,0.345454545455,0.388349514563,0.479,0.348,0.48
"Aaron McKie, SG",0.987804878049,0.890243902439,0.661137440758,0.351973684211,0.196428571429,0.290322580645,0.255033557047,0.223214285714,0.4,0.0579064587973,0.425,0.609756097561,0.326086956522,0.375,0.393805309735,0.467,0.151515151515,0.162790697674,0.325,0.25,0.245098039216,0.76,0.336363636364,0.364077669903,0.494,0.399,0.49
"Chris Dudley, C",0.975609756098,0.743902439024,0.571090047393,0.167763157895,0.535714285714,0.645161290323,0.604026845638,0.0446428571429,0.178947368421,0.278396436526,0.25,0.756097560976,0.108695652174,0.178571428571,0.199115044248,0.453,0.0,0.0,0.0,0.131578947368,0.196078431373,0.51,0.181818181818,0.218446601942,0.454,0.376,0.45
"Buck Williams, F",0.853658536585,0.121951219512,0.5663507109,0.240131578947,0.410714285714,0.376344086022,0.389261744966,0.0535714285714,0.2,0.149220489978,0.325,0.658536585366,0.108695652174,0.241071428571,0.243362831858,0.5,0.0,0.0,0.667,0.236842105263,0.264705882353,0.67,0.245454545455,0.266990291262,0.499,0.443666666667,0.5
"Arvydas Sabonis, C",0.890243902439,0.256097560976,0.563981042654,0.476973684211,0.357142857143,0.645161290323,0.543624161074,0.160714285714,0.308771929825,0.238307349666,0.525,0.707317073171,0.173913043478,0.482142857143,0.438053097345,0.545,0.151515151515,0.162790697674,0.375,0.421052631579,0.411764705882,0.76,0.445454545455,0.412621359223,0.574,0.487666666667,0.57
"James Robinson, G",0.926829268293,0.0609756097561,0.507109004739,0.279605263158,0.107142857143,0.161290322581,0.140939597315,0.178571428571,0.157894736842,0.0467706013363,0.375,0.463414634146,0.304347826087,0.267857142857,0.336283185841,0.399,0.393939393939,0.43023255814,0.359,0.157894736842,0.176470588235,0.66,0.154545454545,0.18932038835,0.438,0.377,0.49
"Gary Trent, PF",0.841463414634,0.121951219512,0.419431279621,0.246710526316,0.214285714286,0.236559139785,0.228187919463,0.0625,0.126315789474,0.0356347438753,0.325,0.414634146341,0.108695652174,0.285714285714,0.274336283186,0.513,0.0,0.0116279069767,0.0,0.144736842105,0.196078431373,0.55,0.290909090909,0.296116504854,0.524,0.402333333333,0.51
"Rumeal Robinson, G",0.524390243902,0.170731707317,0.39336492891,0.1875,0.0714285714286,0.150537634409,0.120805369128,0.294642857143,0.210526315789,0.0267260579065,0.425,0.439024390244,0.434782608696,0.1875,0.225663716814,0.416,0.212121212121,0.209302325581,0.38,0.105263157895,0.117647058824,0.65,0.127272727273,0.160194174757,0.437,0.372666666667,0.48
