Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Mookie Blaylock, G",0.951219512195,0.951219512195,0.935560859189,0.587837837838,0.254237288136,0.372549019608,0.329192546584,0.479674796748,1.0,0.065,0.545454545455,0.418604651163,0.54347826087,0.571428571429,0.645021645022,0.432,1.0,1.0,0.366,0.265625,0.234042553191,0.75,0.333333333333,0.369230769231,0.505,0.389333333333,0.53
"Steve Smith, SG",0.878048780488,0.878048780488,0.933174224344,0.679054054054,0.220338983051,0.205882352941,0.204968944099,0.341463414634,0.316176470588,0.08,0.545454545455,0.558139534884,0.369565217391,0.607142857143,0.688311688312,0.429,0.642857142857,0.701298701299,0.335,0.71875,0.585106382979,0.85,0.462962962963,0.538461538462,0.477,0.420666666667,0.49
"Christian Laettner, PF",1.0,1.0,0.914081145585,0.611486486486,0.440677966102,0.607843137255,0.546583850932,0.219512195122,0.455882352941,0.195,0.613636363636,0.790697674419,0.217391304348,0.598214285714,0.597402597403,0.486,0.142857142857,0.142857142857,0.352,0.6875,0.574468085106,0.82,0.583333333333,0.651282051282,0.497,0.439,0.5
"Dikembe Mutombo, C",0.975609756098,0.975609756098,0.887828162291,0.449324324324,0.576271186441,0.813725490196,0.72049689441,0.113821138211,0.224264705882,0.825,0.522727272727,0.720930232558,0.130434782609,0.428571428571,0.38961038961,0.527,0.0,0.0,0.0,0.59375,0.574468085106,0.71,0.444444444444,0.461538461538,0.527,0.493,0.53
"Tyrone Corbin, F",0.853658536585,0.792682926829,0.785202863962,0.320945945946,0.186440677966,0.303921568627,0.260869565217,0.146341463415,0.474264705882,0.025,0.272727272727,0.581395348837,0.326086956522,0.321428571429,0.372294372294,0.422,0.392857142857,0.38961038961,0.356,0.1875,0.159574468085,0.8,0.231481481481,0.287179487179,0.457,0.37,0.48
"Henry James, F",0.646341463415,0.182926829268,0.424821002387,0.226351351351,0.0847457627119,0.0980392156863,0.0931677018634,0.0325203252033,0.0772058823529,0.005,0.113636363636,0.418604651163,0.152173913043,0.214285714286,0.251082251082,0.409,0.5,0.441558441558,0.42,0.09375,0.0744680851064,0.83,0.0925925925926,0.123076923077,0.392,0.387666666667,0.53
"Eldridge Recasner, G",0.865853658537,0.0487804878049,0.405727923628,0.192567567568,0.0847457627119,0.107843137255,0.0993788819876,0.105691056911,0.198529411765,0.015,0.204545454545,0.325581395349,0.304347826087,0.1875,0.212121212121,0.423,0.285714285714,0.25974025974,0.414,0.109375,0.0851063829787,0.88,0.12037037037,0.148717948718,0.429,0.385666666667,0.51
"Alan Henderson, PF",0.365853658537,0.0,0.398568019093,0.222972972973,0.271186440678,0.225490196078,0.242236024845,0.0650406504065,0.257352941176,0.05,0.227272727273,0.558139534884,0.173913043478,0.232142857143,0.233766233766,0.475,0.0,0.0,0.0,0.234375,0.265957446809,0.6,0.240740740741,0.276923076923,0.475,0.409333333333,0.48
"Jon Barry, SG",0.707317073171,0.0975609756098,0.396181384248,0.165540540541,0.0677966101695,0.127450980392,0.105590062112,0.162601626016,0.349264705882,0.0125,0.227272727273,0.232558139535,0.413043478261,0.151785714286,0.181818181818,0.407,0.285714285714,0.272727272727,0.387,0.09375,0.0851063829787,0.8,0.0833333333333,0.107692307692,0.426,0.386333333333,0.5
"Willie Burton, G",0.292682926829,0.0243902439024,0.377088305489,0.209459459459,0.0847457627119,0.127450980392,0.105590062112,0.0406504065041,0.121323529412,0.0325,0.25,0.53488372093,0.0869565217391,0.142857142857,0.207792207792,0.336,0.178571428571,0.246753246753,0.283,0.375,0.297872340426,0.84,0.101851851852,0.148717948718,0.371,0.425333333333,0.39
