Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"David Wesley, SG",0.90243902439,0.890243902439,0.964200477327,0.567567567568,0.152542372881,0.264705882353,0.223602484472,0.593495934959,0.805147058824,0.045,0.659090909091,0.697674418605,0.54347826087,0.553571428571,0.571428571429,0.468,0.5,0.506493506494,0.36,0.46875,0.414893617021,0.78,0.444444444444,0.476923076923,0.513,0.424333333333,0.52
"Antoine Walker, PF",1.0,0.829268292683,0.863961813842,0.591216216216,0.593220338983,0.539215686275,0.55900621118,0.260162601626,0.470588235294,0.1625,0.636363636364,0.767441860465,0.239130434783,0.625,0.714285714286,0.425,0.214285714286,0.246753246753,0.327,0.4375,0.478723404255,0.63,0.592592592593,0.748717948718,0.438,0.353333333333,0.44
"Dino Radja, C",0.30487804878,0.30487804878,0.835322195704,0.472972972973,0.305084745763,0.656862745098,0.521739130435,0.154471544715,0.338235294118,0.48,0.636363636364,0.697674418605,0.152173913043,0.535714285714,0.588744588745,0.44,0.0,0.0,0.0,0.3125,0.297872340426,0.72,0.555555555556,0.697435897436,0.441,0.343,0.44
"Rick Fox, SF",0.926829268293,0.914634146341,0.832935560859,0.52027027027,0.254237288136,0.362745098039,0.32298136646,0.308943089431,0.808823529412,0.1325,0.522727272727,0.860465116279,0.347826086957,0.508928571429,0.541125541126,0.456,0.464285714286,0.480519480519,0.363,0.421875,0.372340425532,0.79,0.407407407407,0.451282051282,0.494,0.412,0.51
"Eric Williams, PF",0.878048780488,0.817073170732,0.806682577566,0.506756756757,0.305084745763,0.274509803922,0.285714285714,0.146341463415,0.367647058824,0.045,0.431818181818,0.697674418605,0.195652173913,0.464285714286,0.493506493506,0.456,0.0,0.012987012987,0.25,0.71875,0.648936170213,0.75,0.481481481481,0.579487179487,0.458,0.438333333333,0.46
"Dana Barros, PG",0.292682926829,0.0975609756098,0.704057279236,0.422297297297,0.0338983050847,0.176470588235,0.124223602484,0.276422764228,0.397058823529,0.0625,0.363636363636,0.325581395349,0.45652173913,0.410714285714,0.454545454545,0.435,0.642857142857,0.571428571429,0.41,0.234375,0.191489361702,0.86,0.259259259259,0.312820512821,0.453,0.395333333333,0.52
"Todd Day, G",0.987804878049,0.329268292683,0.670644391408,0.489864864865,0.220338983051,0.264705882353,0.254658385093,0.113821138211,0.488970588235,0.1475,0.363636363636,0.604651162791,0.195652173913,0.4375,0.532467532468,0.398,0.571428571429,0.558441558442,0.362,0.5,0.436170212766,0.77,0.305555555556,0.410256410256,0.418,0.393,0.46
"Dee Brown, G",0.256097560976,0.0243902439024,0.594272076372,0.256756756757,0.0677966101695,0.186274509804,0.142857142857,0.260162601626,0.544117647059,0.0825,0.25,0.488372093023,0.608695652174,0.258928571429,0.341991341991,0.367,0.357142857143,0.402597402597,0.308,0.140625,0.106382978723,0.82,0.175925925926,0.246153846154,0.406,0.321333333333,0.43
"Greg Minor, G",0.280487804878,0.182926829268,0.568019093079,0.324324324324,0.220338983051,0.21568627451,0.217391304348,0.121951219512,0.238970588235,0.0225,0.227272727273,0.46511627907,0.326086956522,0.366071428571,0.367965367965,0.48,0.0,0.038961038961,0.125,0.203125,0.170212765957,0.86,0.37962962963,0.420512820513,0.495,0.374,0.48
"Marty Conlon, F",0.90243902439,0.182926829268,0.520286396181,0.263513513514,0.28813559322,0.254901960784,0.273291925466,0.113821138211,0.227941176471,0.06,0.340909090909,0.488372093023,0.217391304348,0.258928571429,0.264069264069,0.471,0.0,0.012987012987,0.2,0.296875,0.244680851064,0.84,0.268518518519,0.307692307692,0.477,0.421333333333,0.47
