Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Michael Finley, SG",1.0,1.0,0.997590361446,0.749128919861,0.264705882353,0.357142857143,0.353333333333,0.466666666667,0.616858237548,0.101369863014,0.710526315789,0.5,0.391304347826,0.732142857143,0.796536796537,0.449,0.478260869565,0.508474576271,0.357,0.512820512821,0.447368421053,0.78,0.633928571429,0.712962962963,0.466,0.29275,0.48
"Dennis Scott, F",0.634146341463,0.512195121951,0.833734939759,0.473867595819,0.117647058824,0.30612244898,0.253333333333,0.238095238095,0.318007662835,0.169863013699,0.473684210526,0.575,0.304347826087,0.446428571429,0.554112554113,0.387,0.782608695652,0.898305084746,0.344,0.24358974359,0.201754385965,0.82,0.285714285714,0.347222222222,0.417,0.2655,0.46
"A.C. Green, F",1.0,0.829268292683,0.778313253012,0.254355400697,0.397058823529,0.561224489796,0.54,0.142857142857,0.36398467433,0.0904109589041,0.210526315789,0.475,0.391304347826,0.267857142857,0.281385281385,0.453,0.0,0.0,0.0,0.179487179487,0.175438596491,0.72,0.267857142857,0.300925925926,0.457,0.281,0.45
"Cedric Ceballos, F",0.146341463415,0.109756097561,0.730120481928,0.588850174216,0.294117647059,0.408163265306,0.4,0.2,0.352490421456,0.183561643836,0.736842105263,0.6,0.173913043478,0.5625,0.5670995671,0.478,0.217391304348,0.28813559322,0.3,0.5,0.447368421053,0.77,0.517857142857,0.527777777778,0.504,0.32325,0.5
"Hubert Davis, SG",0.987804878049,0.365853658537,0.70843373494,0.386759581882,0.0588235294118,0.173469387755,0.14,0.180952380952,0.2030651341,0.0164383561644,0.289473684211,0.35,0.391304347826,0.383928571429,0.411255411255,0.456,0.521739130435,0.474576271186,0.439,0.153846153846,0.122807017544,0.84,0.276785714286,0.310185185185,0.464,0.29275,0.52
"Shawn Bradley, C",0.780487804878,0.560975609756,0.686746987952,0.397212543554,0.382352941176,0.561224489796,0.54,0.0857142857143,0.306513409962,0.915068493151,0.394736842105,0.825,0.130434782609,0.419642857143,0.480519480519,0.422,0.0,0.0,0.333,0.25641025641,0.245614035088,0.72,0.419642857143,0.513888888889,0.422,0.257,0.42
"Samaki Walker, PF",0.5,0.231707317073,0.602409638554,0.310104529617,0.338235294118,0.510204081633,0.493333333333,0.0571428571429,0.27969348659,0.268493150685,0.394736842105,0.775,0.0869565217391,0.339285714286,0.337662337662,0.486,0.0,0.0,0.0,0.166666666667,0.210526315789,0.55,0.339285714286,0.361111111111,0.488,0.28425,0.49
"Robert Pack, PG",0.146341463415,0.121951219512,0.585542168675,0.271777003484,0.102941176471,0.224489795918,0.186666666667,0.333333333333,0.639846743295,0.0219178082192,0.842105263158,0.35,0.239130434783,0.25,0.354978354978,0.337,0.130434782609,0.0847457627119,0.5,0.269230769231,0.263157894737,0.69,0.223214285714,0.356481481481,0.326,0.23975,0.35
"Khalid Reeves, G",1.0,0.658536585366,0.573493975904,0.303135888502,0.102941176471,0.163265306122,0.153333333333,0.266666666667,0.375478927203,0.0328767123288,0.421052631579,0.6,0.391304347826,0.267857142857,0.311688311688,0.418,0.304347826087,0.322033898305,0.368,0.25641025641,0.228070175439,0.77,0.205357142857,0.24537037037,0.435,0.30225,0.47
"Erick Strickland, PG",0.817073170732,0.231707317073,0.542168674699,0.264808362369,0.0735294117647,0.19387755102,0.16,0.238095238095,0.32183908046,0.0328767123288,0.421052631579,0.525,0.347826086957,0.267857142857,0.359307359307,0.357,0.304347826087,0.406779661017,0.294,0.128205128205,0.114035087719,0.77,0.205357142857,0.273148148148,0.382,0.229,0.4
