Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Eric Williams, PF",0.0487804878049,0.0487804878049,0.874698795181,0.689895470383,0.367647058824,0.285714285714,0.353333333333,0.285714285714,0.383141762452,0.0,0.605263157895,0.575,0.282608695652,0.535714285714,0.662337662338,0.393,0.0,0.0,0.0,1.0,0.991228070175,0.69,0.535714285714,0.708333333333,0.393,0.32375,0.39
"Cory Alexander, PG",0.280487804878,0.231707317073,0.836144578313,0.487804878049,0.0588235294118,0.397959183673,0.286666666667,0.571428571429,0.750957854406,0.0712328767123,0.736842105263,0.5,0.45652173913,0.428571428571,0.480519480519,0.435,0.869565217391,0.830508474576,0.411,0.307692307692,0.245614035088,0.85,0.25,0.287037037037,0.455,0.31675,0.53
"LaPhonso Ellis, F",0.926829268293,0.865853658537,0.81686746988,0.498257839721,0.279411764706,0.530612244898,0.48,0.266666666667,0.329501915709,0.175342465753,0.605263157895,0.75,0.260869565217,0.482142857143,0.575757575758,0.407,0.347826086957,0.440677966102,0.284,0.346153846154,0.298245614035,0.8,0.410714285714,0.49537037037,0.438,0.26875,0.44
"Dean Garrett, C",1.0,1.0,0.773493975904,0.254355400697,0.411764705882,0.520408163265,0.526666666667,0.104761904762,0.268199233716,0.443835616438,0.263157894737,0.6,0.239130434783,0.267857142857,0.298701298701,0.428,0.0,0.0,0.0,0.179487179487,0.184210526316,0.65,0.267857142857,0.319444444444,0.428,0.2645,0.43
"Bobby Jackson, PG",0.829268292683,0.646341463415,0.722891566265,0.404181184669,0.161764705882,0.336734693878,0.293333333333,0.447619047619,0.590038314176,0.0438356164384,0.710526315789,0.6,0.369565217391,0.410714285714,0.502164502165,0.392,0.130434782609,0.203389830508,0.259,0.282051282051,0.236842105263,0.81,0.383928571429,0.481481481481,0.407,0.24975,0.41
"Johnny Newman, F",0.90243902439,0.182926829268,0.70843373494,0.512195121951,0.102941176471,0.122448979592,0.126666666667,0.180952380952,0.39846743295,0.0876712328767,0.526315789474,0.7,0.195652173913,0.410714285714,0.467532467532,0.431,0.217391304348,0.237288135593,0.343,0.628205128205,0.526315789474,0.82,0.366071428571,0.435185185185,0.444,0.34075,0.45
"Anthony Goldwire, PG",1.0,0.390243902439,0.650602409639,0.320557491289,0.0735294117647,0.132653061224,0.12,0.32380952381,0.402298850575,0.0246575342466,0.263157894737,0.45,0.717391304348,0.294642857143,0.337662337662,0.423,0.347826086957,0.338983050847,0.384,0.230769230769,0.201754385965,0.81,0.223214285714,0.268518518519,0.436,0.29525,0.47
"Eric Washington, F",0.80487804878,0.439024390244,0.561445783133,0.268292682927,0.102941176471,0.122448979592,0.126666666667,0.114285714286,0.306513409962,0.104109589041,0.289473684211,0.55,0.239130434783,0.267857142857,0.324675324675,0.404,0.304347826087,0.35593220339,0.321,0.128205128205,0.114035087719,0.78,0.205357142857,0.25,0.435,0.2565,0.45
"Tony Battie, C",0.792682926829,0.59756097561,0.559036144578,0.292682926829,0.308823529412,0.336734693878,0.36,0.0857142857143,0.318007662835,0.290410958904,0.394736842105,0.775,0.130434782609,0.321428571429,0.350649350649,0.446,0.0,0.0338983050847,0.214,0.141025641026,0.140350877193,0.7,0.321428571429,0.365740740741,0.452,0.259,0.45
"Bryant Stith, G",0.378048780488,0.182926829268,0.559036144578,0.264808362369,0.0735294117647,0.163265306122,0.14,0.152380952381,0.260536398467,0.0712328767123,0.289473684211,0.425,0.304347826087,0.214285714286,0.316017316017,0.333,0.130434782609,0.254237288136,0.208,0.307692307692,0.245614035088,0.87,0.1875,0.268518518519,0.367,0.261,0.36
