Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Glenn Robinson, SF",0.682926829268,0.682926829268,0.987951807229,0.815331010453,0.220588235294,0.408163265306,0.366666666667,0.266666666667,0.471264367816,0.167123287671,0.947368421053,0.725,0.173913043478,0.848214285714,0.878787878788,0.47,0.173913043478,0.203389830508,0.385,0.487179487179,0.421052631579,0.81,0.8125,0.884259259259,0.475,0.28775,0.48
"Ray Allen, SG",1.0,1.0,0.966265060241,0.679442508711,0.220588235294,0.34693877551,0.326666666667,0.409523809524,0.51724137931,0.041095890411,0.842105263158,0.75,0.304347826087,0.616071428571,0.692640692641,0.428,0.695652173913,0.762711864407,0.364,0.538461538462,0.421052631579,0.87,0.473214285714,0.532407407407,0.453,0.3045,0.48
"Tyrone Hill, PF",0.69512195122,0.682926829268,0.872289156627,0.348432055749,0.544117647059,0.704081632653,0.713333333333,0.142857142857,0.452107279693,0.145205479452,0.5,1.0,0.173913043478,0.321428571429,0.316017316017,0.498,0.0,0.0,0.0,0.346153846154,0.394736842105,0.61,0.321428571429,0.337962962963,0.499,0.3415,0.5
"Terrell Brandon, PG",0.609756097561,0.585365853659,0.860240963855,0.585365853659,0.0735294117647,0.316326530612,0.233333333333,0.733333333333,0.850574712644,0.0931506849315,0.763157894737,0.6,0.586956521739,0.607142857143,0.632034632035,0.464,0.260869565217,0.322033898305,0.333,0.333333333333,0.271929824561,0.85,0.553571428571,0.587962962963,0.483,0.2875,0.48
"Ervin Johnson, C",0.987804878049,0.987804878049,0.672289156627,0.278745644599,0.441176470588,0.561224489796,0.566666666667,0.0666666666667,0.375478927203,0.534246575342,0.368421052632,1.0,0.108695652174,0.276785714286,0.251082251082,0.537,0.0,0.0,0.0,0.230769230769,0.254385964912,0.6,0.276785714286,0.268518518519,0.537,0.3445,0.54
"Armen Gilliam, F",1.0,0.30487804878,0.621686746988,0.390243902439,0.264705882353,0.367346938776,0.36,0.12380952381,0.302681992337,0.123287671233,0.473684210526,0.55,0.152173913043,0.357142857143,0.354978354978,0.484,0.0,0.0,0.0,0.423076923077,0.359649122807,0.8,0.357142857143,0.37962962963,0.487,0.3405,0.48
"Michael Curry, SF",1.0,0.329268292683,0.580722891566,0.229965156794,0.0441176470588,0.0918367346939,0.08,0.161904761905,0.260536398467,0.0465753424658,0.236842105263,0.675,0.391304347826,0.214285714286,0.220779220779,0.469,0.0,0.0169491525424,0.444,0.230769230769,0.184210526316,0.84,0.214285714286,0.231481481481,0.469,0.32475,0.47
"Elliot Perry, G",0.987804878049,0.40243902439,0.520481927711,0.254355400697,0.0441176470588,0.112244897959,0.0866666666667,0.266666666667,0.425287356322,0.00547945205479,0.421052631579,0.4,0.391304347826,0.267857142857,0.298701298701,0.43,0.0869565217391,0.101694915254,0.34,0.141025641026,0.114035087719,0.84,0.25,0.291666666667,0.438,0.26325,0.44
"Jerald Honeycutt, F",0.463414634146,0.0,0.334939759036,0.222996515679,0.102941176471,0.173469387755,0.16,0.0857142857143,0.2030651341,0.0438356164384,0.342105263158,0.55,0.152173913043,0.214285714286,0.251082251082,0.407,0.347826086957,0.338983050847,0.377,0.115384615385,0.131578947368,0.62,0.142857142857,0.175925925926,0.424,0.27725,0.47
"Andrew Lang, C",0.69512195122,0.0,0.29156626506,0.0940766550523,0.147058823529,0.173469387755,0.18,0.0285714285714,0.122605363985,0.128767123288,0.157894736842,0.45,0.108695652174,0.0803571428571,0.108225108225,0.378,0.0,0.0,0.0,0.102564102564,0.0877192982456,0.77,0.0803571428571,0.115740740741,0.38,0.26575,0.38
