Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Horace Grant, C",0.926829268293,0.926829268293,0.889156626506,0.421602787456,0.441176470588,0.520408163265,0.54,0.219047619048,0.409961685824,0.284931506849,0.315789473684,0.6,0.434782608696,0.464285714286,0.489177489177,0.459,0.0,0.0169491525424,0.0,0.230769230769,0.228070175439,0.68,0.464285714286,0.518518518519,0.462,0.26875,0.46
"Bo Outlaw, PF",1.0,0.926829268293,0.867469879518,0.331010452962,0.455882352941,0.479591836735,0.52,0.247619047619,0.498084291188,0.605479452055,0.552631578947,0.8,0.260869565217,0.330357142857,0.285714285714,0.554,0.0,0.0,0.25,0.282051282051,0.333333333333,0.58,0.330357142857,0.305555555556,0.557,0.3605,0.56
"Penny Hardaway, SF",0.231707317073,0.182926829268,0.792771084337,0.571428571429,0.0588235294118,0.367346938776,0.266666666667,0.342857142857,0.563218390805,0.216438356164,0.631578947368,0.6,0.326086956522,0.482142857143,0.623376623377,0.377,0.347826086957,0.440677966102,0.3,0.602564102564,0.543859649123,0.76,0.410714285714,0.546296296296,0.395,0.28475,0.4
"Rony Seikaly, C",0.573170731707,0.573170731707,0.761445783133,0.522648083624,0.411764705882,0.489795918367,0.506666666667,0.142857142857,0.2030651341,0.227397260274,0.763157894737,0.725,0.108695652174,0.446428571429,0.493506493506,0.441,0.0,0.0,0.0,0.628205128205,0.570175438596,0.75,0.446428571429,0.527777777778,0.442,0.32725,0.44
"Nick Anderson, F",0.707317073171,0.536585365854,0.706024096386,0.533101045296,0.25,0.34693877551,0.34,0.2,0.475095785441,0.109589041096,0.394736842105,0.425,0.304347826087,0.526785714286,0.562770562771,0.455,0.565217391304,0.627118644068,0.36,0.282051282051,0.298245614035,0.64,0.410714285714,0.430555555556,0.493,0.295,0.51
"Derek Strong, F",0.707317073171,0.0975609756098,0.679518072289,0.442508710801,0.382352941176,0.479591836735,0.493333333333,0.0857142857143,0.2030651341,0.112328767123,0.342105263158,0.525,0.152173913043,0.401785714286,0.458874458874,0.42,0.0,0.0169491525424,0.0,0.487179487179,0.421052631579,0.78,0.401785714286,0.486111111111,0.423,0.29825,0.42
"Derek Harper, G",0.80487804878,0.548780487805,0.643373493976,0.299651567944,0.0441176470588,0.122448979592,0.106666666667,0.333333333333,0.417624521073,0.041095890411,0.394736842105,0.525,0.5,0.303571428571,0.354978354978,0.417,0.391304347826,0.423728813559,0.36,0.102564102564,0.105263157895,0.7,0.223214285714,0.263888888889,0.442,0.261,0.47
"Darrell Armstrong, PG",0.585365853659,0.207317073171,0.621686746988,0.320557491289,0.205882352941,0.204081632653,0.22,0.466666666667,0.463601532567,0.027397260274,0.605263157895,0.5,0.45652173913,0.294642857143,0.341991341991,0.411,0.217391304348,0.237288135593,0.368,0.282051282051,0.228070175439,0.85,0.25,0.300925925926,0.42,0.29075,0.44
"Mark Price, G",0.768292682927,0.40243902439,0.546987951807,0.331010452962,0.0588235294118,0.173469387755,0.133333333333,0.447619047619,0.32183908046,0.0219178082192,0.684210526316,0.375,0.391304347826,0.321428571429,0.363636363636,0.431,0.347826086957,0.423728813559,0.335,0.179487179487,0.140350877193,0.84,0.25,0.273148148148,0.471,0.281,0.48
"Gerald Wilkins, G",0.878048780488,0.19512195122,0.419277108434,0.184668989547,0.0294117647059,0.102040816327,0.0866666666667,0.104761904762,0.180076628352,0.0219178082192,0.289473684211,0.275,0.217391304348,0.178571428571,0.25974025974,0.325,0.173913043478,0.254237288136,0.266,0.128205128205,0.122807017544,0.7,0.142857142857,0.208333333333,0.345,0.219,0.36
