Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Tim Duncan, C",1.0,1.0,0.942168674699,0.735191637631,0.485294117647,0.877551020408,0.793333333333,0.257142857143,0.256704980843,0.687671232877,0.894736842105,0.775,0.173913043478,0.767857142857,0.679653679654,0.549,0.0,0.0169491525424,0.0,0.5,0.517543859649,0.66,0.767857142857,0.722222222222,0.553,0.33625,0.55
"Avery Johnson, PG",0.914634146341,0.890243902439,0.860240963855,0.355400696864,0.0588235294118,0.163265306122,0.133333333333,0.752380952381,0.429118773946,0.0657534246575,0.578947368421,0.475,0.782608695652,0.383928571429,0.385281385281,0.478,0.0,0.0338983050847,0.154,0.205128205128,0.19298245614,0.73,0.383928571429,0.402777777778,0.485,0.2855,0.48
"David Robinson, C",0.890243902439,0.890243902439,0.812048192771,0.752613240418,0.485294117647,0.744897959184,0.706666666667,0.257142857143,0.337164750958,0.720547945205,0.736842105263,0.7,0.217391304348,0.669642857143,0.632034632035,0.511,0.0,0.0169491525424,0.25,0.846153846154,0.789473684211,0.73,0.669642857143,0.671296296296,0.512,0.3695,0.51
"Vinny Del Negro, G",0.658536585366,0.463414634146,0.768674698795,0.331010452962,0.0294117647059,0.265306122449,0.186666666667,0.32380952381,0.275862068966,0.0301369863014,0.263157894737,0.525,0.760869565217,0.348214285714,0.385281385281,0.44,0.130434782609,0.118644067797,0.436,0.179487179487,0.149122807018,0.8,0.321428571429,0.37962962963,0.441,0.26775,0.46
"Sean Elliott, F",0.439024390244,0.439024390244,0.677108433735,0.324041811847,0.0588235294118,0.30612244898,0.226666666667,0.161904761905,0.256704980843,0.106849315068,0.421052631579,0.65,0.239130434783,0.303571428571,0.363636363636,0.403,0.391304347826,0.423728813559,0.378,0.205128205128,0.19298245614,0.72,0.223214285714,0.273148148148,0.413,0.2755,0.46
"Jaren Jackson, G",1.0,0.548780487805,0.653012048193,0.306620209059,0.102941176471,0.19387755102,0.173333333333,0.180952380952,0.27969348659,0.027397260274,0.342105263158,0.675,0.326086956522,0.276785714286,0.34632034632,0.395,0.608695652174,0.610169491525,0.377,0.141025641026,0.122807017544,0.8,0.151785714286,0.203703703704,0.409,0.276,0.48
"Chuck Person, F",0.743902439024,0.134146341463,0.575903614458,0.233449477352,0.0441176470588,0.316326530612,0.22,0.133333333333,0.183908045977,0.0438356164384,0.289473684211,0.5,0.282608695652,0.205357142857,0.281385281385,0.359,0.695652173913,0.762711864407,0.344,0.0641025641026,0.0526315789474,0.76,0.0625,0.0925925925926,0.393,0.257,0.48
"Will Perdue, C",0.963414634146,0.365853658537,0.455421686747,0.174216027875,0.323529411765,0.459183673469,0.453333333333,0.0666666666667,0.107279693487,0.172602739726,0.263157894737,0.425,0.152173913043,0.1875,0.160173160173,0.549,0.0,0.0,0.0,0.115384615385,0.149122807018,0.53,0.1875,0.171296296296,0.551,0.334,0.55
"Monty Williams, SF",0.878048780488,0.19512195122,0.440963855422,0.219512195122,0.132352941176,0.163265306122,0.166666666667,0.114285714286,0.180076628352,0.0904109589041,0.289473684211,0.45,0.239130434783,0.205357142857,0.220779220779,0.448,0.0,0.0,0.5,0.217948717949,0.219298245614,0.67,0.205357142857,0.236111111111,0.448,0.30775,0.45
"Cory Alexander, PG",0.451219512195,0.0365853658537,0.325301204819,0.156794425087,0.0294117647059,0.112244897959,0.0866666666667,0.180952380952,0.260536398467,0.0383561643836,0.342105263158,0.35,0.326086956522,0.142857142857,0.168831168831,0.414,0.217391304348,0.28813559322,0.313,0.0897435897436,0.0877192982456,0.68,0.0982142857143,0.101851851852,0.494,0.2845,0.48
