Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Damon Stoudamire, PG",0.59756097561,0.59756097561,1.0,0.675958188153,0.191176470588,0.316326530612,0.293333333333,0.771428571429,0.624521072797,0.027397260274,0.842105263158,0.575,0.54347826087,0.642857142857,0.735930735931,0.425,0.565217391304,0.71186440678,0.317,0.474358974359,0.377192982456,0.84,0.526785714286,0.592592592593,0.46,0.28575,0.46
"Doug Christie, SG",0.951219512195,0.951219512195,0.90843373494,0.574912891986,0.176470588235,0.408163265306,0.346666666667,0.342857142857,0.934865900383,0.2,0.763157894737,0.625,0.260869565217,0.526785714286,0.593073593074,0.428,0.565217391304,0.661016949153,0.326,0.448717948718,0.368421052632,0.83,0.410714285714,0.453703703704,0.469,0.3005,0.47
"Marcus Camby, C",0.768292682927,0.707317073171,0.766265060241,0.421602787456,0.470588235294,0.428571428571,0.493333333333,0.171428571429,0.413793103448,1.0,0.552631578947,0.8,0.173913043478,0.4375,0.515151515152,0.412,0.0,0.0,0.0,0.307692307692,0.342105263158,0.61,0.4375,0.550925925926,0.413,0.256,0.41
"Chauncey Billups, PG",0.353658536585,0.317073170732,0.763855421687,0.393728222997,0.117647058824,0.19387755102,0.18,0.314285714286,0.394636015326,0.0191780821918,0.5,0.475,0.369565217391,0.321428571429,0.441558441558,0.349,0.652173913043,0.796610169492,0.316,0.346153846154,0.263157894737,0.92,0.1875,0.25462962963,0.377,0.278,0.42
"Walt Williams, F",0.341463414634,0.19512195122,0.75421686747,0.432055749129,0.147058823529,0.336734693878,0.28,0.238095238095,0.547892720307,0.224657534247,0.5,0.9,0.282608695652,0.401785714286,0.493506493506,0.392,0.782608695652,0.779661016949,0.38,0.230769230769,0.184210526316,0.82,0.241071428571,0.314814814815,0.4,0.27275,0.47
"Dee Brown, G",0.378048780488,0.0243902439024,0.706024096386,0.425087108014,0.0735294117647,0.255102040816,0.193333333333,0.314285714286,0.471264367816,0.150684931507,0.342105263158,0.375,0.54347826087,0.392857142857,0.428571428571,0.446,0.913043478261,0.864406779661,0.411,0.166666666667,0.122807017544,0.91,0.205357142857,0.222222222222,0.483,0.30775,0.55
"John Wallace, SF",1.0,0.439024390244,0.693975903614,0.487804878049,0.205882352941,0.316326530612,0.3,0.12380952381,0.291187739464,0.33698630137,0.552631578947,0.725,0.130434782609,0.508928571429,0.515151515152,0.478,0.0,0.0,0.5,0.333333333333,0.315789473684,0.72,0.508928571429,0.550925925926,0.478,0.293,0.48
"Gary Trent, PF",0.158536585366,0.0853658536585,0.657831325301,0.425087108014,0.485294117647,0.479591836735,0.533333333333,0.104761904762,0.23754789272,0.169863013699,0.447368421053,0.875,0.130434782609,0.4375,0.484848484848,0.438,0.0,0.0338983050847,0.0,0.307692307692,0.333333333333,0.63,0.4375,0.509259259259,0.448,0.27225,0.44
"Oliver Miller, C",0.780487804878,0.646341463415,0.612048192771,0.219512195122,0.338235294118,0.408163265306,0.42,0.295238095238,0.348659003831,0.309589041096,0.526315789474,0.725,0.326086956522,0.241071428571,0.251082251082,0.461,0.0,0.0169491525424,0.0,0.128205128205,0.140350877193,0.6,0.241071428571,0.263888888889,0.466,0.27175,0.46
"Popeye Jones, PF",0.170731707317,0.0487804878049,0.604819277108,0.299651567944,0.529411764706,0.377551020408,0.486666666667,0.12380952381,0.272030651341,0.0575342465753,0.289473684211,0.7,0.239130434783,0.330357142857,0.393939393939,0.409,0.0434782608696,0.0338983050847,0.667,0.128205128205,0.122807017544,0.74,0.321428571429,0.412037037037,0.403,0.23625,0.42
