Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kobe Bryant, SF",1.0,1.0,0.913253012048,0.742537313433,0.224489795918,0.446808510638,0.407692307692,0.351851851852,0.537313432836,0.255754475703,0.837837837838,0.62,0.171428571429,0.692307692308,0.709090909091,0.465,0.178571428571,0.281690140845,0.267,0.636363636364,0.56862745098,0.84,0.644230769231,0.723404255319,0.494,0.31975,0.32
"Glen Rice, SF",0.54,0.5,0.879518072289,0.652985074627,0.0612244897959,0.351063829787,0.284615384615,0.240740740741,0.235074626866,0.0562659846547,0.459459459459,0.5,0.228571428571,0.605769230769,0.668181818182,0.432,0.714285714286,0.704225352113,0.393,0.376623376623,0.323529411765,0.86,0.413461538462,0.515957446809,0.452,0.298,0.333333333333
"Eddie Jones, SG",0.4,0.4,0.872289156627,0.507462686567,0.204081632653,0.297872340426,0.292307692308,0.287037037037,0.652985074627,0.306905370844,0.297297297297,0.42,0.414285714286,0.461538461538,0.518181818182,0.423,0.357142857143,0.450704225352,0.313,0.38961038961,0.392156862745,0.74,0.365384615385,0.436170212766,0.466,0.2985,0.313333333333
"Shaquille O'Neal, C",0.98,0.98,0.838554216867,0.981343283582,0.775510204082,0.734042553191,0.823076923077,0.212962962963,0.272388059701,0.427109974425,0.675675675676,0.64,0.128571428571,1.0,0.822727272727,0.576,0.0,0.0,0.0,0.714285714286,1.0,0.54,1.0,0.962765957447,0.577,0.364,0.386666666667
"Dennis Rodman, F",0.46,0.22,0.689156626506,0.0783582089552,0.551020408163,0.904255319149,0.861538461538,0.12037037037,0.160447761194,0.132992327366,0.351351351351,0.62,0.142857142857,0.0673076923077,0.0909090909091,0.348,0.0,0.0140845070423,0.0,0.0909090909091,0.166666666667,0.44,0.0673076923077,0.101063829787,0.364,0.26625,0.233333333333
"Derek Harper, G",0.9,0.58,0.6,0.257462686567,0.0612244897959,0.127659574468,0.115384615385,0.388888888889,0.365671641791,0.0230179028133,0.324324324324,0.3,0.514285714286,0.259615384615,0.295454545455,0.412,0.357142857143,0.366197183099,0.368,0.0779220779221,0.0686274509804,0.81,0.163461538462,0.207446808511,0.443,0.2655,0.326666666667
"Derek Fisher, PG",1.0,0.42,0.544578313253,0.220149253731,0.0816326530612,0.148936170213,0.138461538462,0.361111111111,0.455223880597,0.00511508951407,0.405405405405,0.38,0.371428571429,0.192307692308,0.240909090909,0.376,0.285714285714,0.267605633803,0.392,0.155844155844,0.156862745098,0.76,0.115384615385,0.18085106383,0.367,0.28125,0.3
"Rick Fox, SF",0.88,0.02,0.518072289157,0.335820895522,0.122448979592,0.148936170213,0.153846153846,0.185185185185,0.238805970149,0.0588235294118,0.351351351351,0.52,0.228571428571,0.326923076923,0.340909090909,0.448,0.25,0.30985915493,0.337,0.194805194805,0.196078431373,0.74,0.259615384615,0.281914893617,0.494,0.2985,0.333333333333
"Robert Horry, PF",0.76,0.1,0.472289156627,0.182835820896,0.30612244898,0.265957446809,0.307692307692,0.138888888889,0.35447761194,0.263427109974,0.351351351351,0.54,0.157142857143,0.173076923077,0.172727272727,0.459,0.178571428571,0.169014084507,0.444,0.116883116883,0.117647058824,0.74,0.125,0.13829787234,0.465,0.322,0.353333333333
"Elden Campbell, C",0.34,0.02,0.460240963855,0.276119402985,0.448979591837,0.36170212766,0.430769230769,0.0462962962963,0.0223880597015,0.240409207161,0.351351351351,0.6,0.0571428571429,0.25,0.268181818182,0.436,0.0,0.0,0.0,0.285714285714,0.352941176471,0.61,0.25,0.313829787234,0.436,0.312,0.293333333333
