Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Shareef Abdur-Rahim, PF",1.0,1.0,0.973493975904,0.858208955224,0.469387755102,0.553191489362,0.576923076923,0.314814814815,0.514925373134,0.281329923274,1.0,0.54,0.128571428571,0.740384615385,0.813636363636,0.432,0.0714285714286,0.0985915492958,0.306,0.961038961039,0.862745098039,0.84,0.721153846154,0.914893617021,0.438,0.3225,0.293333333333
"Mike Bibby, PG",1.0,1.0,0.848192771084,0.492537313433,0.122448979592,0.223404255319,0.207692307692,0.601851851852,0.582089552239,0.0255754475703,0.783783783784,0.48,0.314285714286,0.5,0.55,0.43,0.107142857143,0.211267605634,0.203,0.324675324675,0.333333333333,0.75,0.471153846154,0.563829787234,0.461,0.2735,0.293333333333
"Sam Mack, G",0.38,0.3,0.732530120482,0.473880597015,0.0816326530612,0.255319148936,0.215384615385,0.111111111111,0.391791044776,0.0127877237852,0.297297297297,0.56,0.171428571429,0.432692307692,0.509090909091,0.406,0.785714285714,0.802816901408,0.389,0.194805194805,0.156862745098,0.93,0.221153846154,0.292553191489,0.423,0.2855,0.333333333333
"Bryant Reeves, C",0.5,0.28,0.677108433735,0.402985074627,0.408163265306,0.372340425532,0.423076923077,0.138888888889,0.194029850746,0.0818414322251,0.513513513514,0.82,0.114285714286,0.394230769231,0.454545454545,0.406,0.0,0.0,0.0,0.350649350649,0.450980392157,0.58,0.394230769231,0.531914893617,0.408,0.27,0.273333333333
"Tony Massenburg, PF",0.86,0.7,0.640963855422,0.417910447761,0.387755102041,0.425531914894,0.461538461538,0.0462962962963,0.223880597015,0.23273657289,0.405405405405,0.5,0.0571428571429,0.423076923077,0.409090909091,0.487,0.0,0.0,0.0,0.311688311688,0.352941176471,0.66,0.423076923077,0.478723404255,0.49,0.31,0.326666666667
"Felipe Lopez, G",0.94,0.64,0.624096385542,0.347014925373,0.30612244898,0.223404255319,0.269230769231,0.12037037037,0.388059701493,0.076726342711,0.459459459459,0.54,0.114285714286,0.346153846154,0.368181818182,0.446,0.107142857143,0.12676056338,0.273,0.246753246753,0.28431372549,0.64,0.317307692308,0.382978723404,0.469,0.28825,0.306666666667
"Cherokee Parks, PF",0.96,0.82,0.561445783133,0.205223880597,0.326530612245,0.372340425532,0.392307692308,0.0740740740741,0.216417910448,0.148337595908,0.27027027027,0.48,0.1,0.240384615385,0.259090909091,0.429,0.0,0.0,0.0,0.0779220779221,0.107843137255,0.55,0.240384615385,0.303191489362,0.431,0.24175,0.286666666667
"Michael Smith, F",0.96,0.2,0.551807228916,0.179104477612,0.571428571429,0.478723404255,0.561538461538,0.0925925925926,0.358208955224,0.0971867007673,0.351351351351,0.44,0.114285714286,0.153846153846,0.136363636364,0.535,0.0,0.0,0.0,0.207792207792,0.264705882353,0.59,0.153846153846,0.159574468085,0.538,0.39925,0.353333333333
"Doug West, F",0.28,0.04,0.506024096386,0.216417910448,0.0816326530612,0.148936170213,0.138461538462,0.12962962963,0.425373134328,0.127877237852,0.243243243243,0.54,0.228571428571,0.211538461538,0.209090909091,0.477,0.0,0.0140845070423,0.0,0.181818181818,0.176470588235,0.76,0.211538461538,0.239361702128,0.492,0.3115,0.32
"Pete Chilcutt, F",0.92,0.0,0.366265060241,0.134328358209,0.122448979592,0.202127659574,0.192307692308,0.0648148148148,0.179104477612,0.0664961636829,0.162162162162,0.22,0.157142857143,0.134615384615,0.168181818182,0.366,0.214285714286,0.211267605634,0.382,0.038961038961,0.0392156862745,0.82,0.0769230769231,0.117021276596,0.356,0.24125,0.293333333333
