Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Jalen Rose, SG",0.975609756098,0.975609756098,0.881516587678,0.612794612795,0.116279069767,0.413461538462,0.335664335664,0.39603960396,0.504807692308,0.163978494624,0.6,0.644444444444,0.2125,0.578512396694,0.604838709677,0.471,0.454545454545,0.396825396825,0.393,0.426666666667,0.365384615385,0.83,0.495867768595,0.592417061611,0.486,0.406,0.5
"Reggie Miller, SG",0.987804878049,0.987804878049,0.874407582938,0.609427609428,0.139534883721,0.221153846154,0.20979020979,0.227722772277,0.504807692308,0.0833333333333,0.4,0.355555555556,0.175,0.479338842975,0.520161290323,0.448,0.909090909091,0.793650793651,0.408,0.613333333333,0.480769230769,0.92,0.314049586777,0.374407582938,0.473,0.470666666667,0.53
"Dale Davis, PF",0.90243902439,0.878048780488,0.68009478673,0.3367003367,0.813953488372,0.615384615385,0.692307692308,0.0891089108911,0.336538461538,0.341397849462,0.3,0.6,0.0875,0.338842975207,0.326612903226,0.502,0.0,0.0,0.0,0.253333333333,0.259615384615,0.68,0.338842975207,0.383886255924,0.502,0.411333333333,0.5
"Mark Jackson, PG",0.987804878049,0.987804878049,0.63981042654,0.272727272727,0.186046511628,0.278846153846,0.258741258741,0.792079207921,0.451923076923,0.0322580645161,0.525,0.311111111111,0.4625,0.247933884298,0.282258064516,0.432,0.5,0.428571428571,0.403,0.133333333333,0.115384615385,0.81,0.157024793388,0.203791469194,0.45,0.386,0.51
"Rik Smits, C",0.963414634146,0.963414634146,0.554502369668,0.434343434343,0.279069767442,0.375,0.356643356643,0.108910891089,0.120192307692,0.341397849462,0.35,0.711111111111,0.1,0.454545454545,0.45564516129,0.484,0.0,0.0,0.0,0.266666666667,0.259615384615,0.74,0.454545454545,0.535545023697,0.485,0.381333333333,0.48
"Austin Croshere, PF",0.987804878049,0.170731707317,0.552132701422,0.346801346801,0.395348837209,0.451923076923,0.447552447552,0.108910891089,0.259615384615,0.198924731183,0.375,0.555555555556,0.0875,0.297520661157,0.326612903226,0.441,0.363636363636,0.333333333333,0.362,0.32,0.278846153846,0.85,0.231404958678,0.284360189573,0.47,0.426333333333,0.49
"Travis Best, PG",1.0,0.0,0.488151658768,0.299663299663,0.046511627907,0.144230769231,0.118881118881,0.326732673267,0.447115384615,0.0161290322581,0.325,0.555555555556,0.3125,0.272727272727,0.274193548387,0.483,0.181818181818,0.174603174603,0.376,0.253333333333,0.221153846154,0.82,0.239669421488,0.270142180095,0.504,0.435666666667,0.51
"Sam Perkins, C",0.987804878049,0.0,0.473933649289,0.222222222222,0.186046511628,0.269230769231,0.251748251748,0.0792079207921,0.182692307692,0.110215053763,0.2,0.377777777778,0.1375,0.190082644628,0.217741935484,0.417,0.5,0.428571428571,0.408,0.133333333333,0.115384615385,0.82,0.099173553719,0.127962085308,0.426,0.406,0.52
"Derrick McKey, F",0.390243902439,0.0,0.469194312796,0.144781144781,0.209302325581,0.317307692308,0.293706293706,0.108910891089,0.4375,0.110215053763,0.15,0.555555555556,0.225,0.107438016529,0.137096774194,0.398,0.136363636364,0.111111111111,0.435,0.173333333333,0.173076923077,0.77,0.0826446280992,0.127962085308,0.388,0.429,0.44
"Al Harrington, PF",0.609756097561,0.0,0.405213270142,0.222222222222,0.209302325581,0.211538461538,0.223776223776,0.0792079207921,0.240384615385,0.0483870967742,0.325,0.577777777778,0.075,0.198347107438,0.213709677419,0.458,0.0909090909091,0.111111111111,0.235,0.213333333333,0.211538461538,0.7,0.181818181818,0.218009478673,0.491,0.414,0.47
