Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Jamal Mashburn, SF",0.926829268293,0.926829268293,0.881516587678,0.589225589226,0.186046511628,0.403846153846,0.34965034965,0.386138613861,0.5,0.0483870967742,0.6,0.622222222222,0.2125,0.561983471074,0.612903225806,0.445,0.681818181818,0.587301587302,0.403,0.32,0.298076923077,0.78,0.438016528926,0.545023696682,0.458,0.382333333333,0.49
"Alonzo Mourning, C",0.963414634146,0.951219512195,0.824644549763,0.73063973064,0.627906976744,0.653846153846,0.664335664336,0.158415841584,0.245192307692,1.0,0.675,0.866666666667,0.075,0.685950413223,0.604838709677,0.551,0.0,0.015873015873,0.0,0.693333333333,0.711538461538,0.71,0.685950413223,0.706161137441,0.553,0.483666666667,0.55
"Dan Majerle, G",0.841463414634,0.841463414634,0.791469194313,0.245791245791,0.093023255814,0.423076923077,0.335664335664,0.29702970297,0.620192307692,0.0672043010753,0.225,0.511111111111,0.4125,0.206611570248,0.245967741935,0.403,0.727272727273,0.698412698413,0.362,0.106666666667,0.0961538461538,0.81,0.0743801652893,0.0805687203791,0.508,0.399666666667,0.53
"Tim Hardaway, G",0.634146341463,0.634146341463,0.763033175355,0.451178451178,0.116279069767,0.230769230769,0.202797202797,0.732673267327,0.451923076923,0.0215053763441,0.575,0.488888888889,0.4,0.388429752066,0.495967741935,0.386,0.818181818182,0.777777777778,0.367,0.28,0.25,0.83,0.239669421488,0.350710900474,0.398,0.363666666667,0.46
"P.J. Brown, PF",0.975609756098,0.975609756098,0.682464454976,0.323232323232,0.627906976744,0.461538461538,0.524475524476,0.178217821782,0.389423076923,0.204301075269,0.325,0.733333333333,0.1875,0.330578512397,0.338709677419,0.48,0.0,0.0,0.0,0.2,0.192307692308,0.75,0.330578512397,0.398104265403,0.481,0.379666666667,0.48
"Voshon Lenard, SG",0.646341463415,0.158536585366,0.642180094787,0.400673400673,0.162790697674,0.211538461538,0.202797202797,0.257425742574,0.370192307692,0.0752688172043,0.375,0.533333333333,0.2125,0.355371900826,0.427419354839,0.407,0.772727272727,0.68253968254,0.39,0.213333333333,0.192307692308,0.79,0.214876033058,0.298578199052,0.419,0.374333333333,0.49
"Anthony Carter, PG",0.963414634146,0.365853658537,0.556872037915,0.212121212121,0.139534883721,0.182692307692,0.174825174825,0.475247524752,0.567307692308,0.0161290322581,0.55,0.466666666667,0.275,0.206611570248,0.258064516129,0.395,0.0,0.047619047619,0.13,0.16,0.153846153846,0.75,0.206611570248,0.289099526066,0.407,0.326,0.4
"Bruce Bowen, SF",0.329268292683,0.0243902439024,0.497630331754,0.171717171717,0.116279069767,0.163461538462,0.153846153846,0.0693069306931,0.25,0.0994623655914,0.125,0.666666666667,0.1625,0.140495867769,0.181451612903,0.38,0.454545454545,0.333333333333,0.464,0.0933333333333,0.105769230769,0.61,0.0578512396694,0.113744075829,0.308,0.377333333333,0.49
"Clarence Weatherspoon, PF",0.951219512195,0.0243902439024,0.490521327014,0.242424242424,0.372093023256,0.394230769231,0.405594405594,0.118811881188,0.3125,0.16935483871,0.325,0.466666666667,0.1125,0.231404958678,0.217741935484,0.513,0.0,0.0,0.0,0.226666666667,0.221153846154,0.74,0.231404958678,0.255924170616,0.513,0.449333333333,0.51
"Otis Thorpe, C",0.621951219512,0.0121951219512,0.36018957346,0.185185185185,0.255813953488,0.211538461538,0.230769230769,0.0594059405941,0.245192307692,0.0483870967742,0.3,0.6,0.075,0.206611570248,0.193548387097,0.514,0.0,0.015873015873,0.0,0.08,0.0865384615385,0.6,0.206611570248,0.222748815166,0.521,0.382666666667,0.51
