Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Stephon Marbury, PG",0.817073170732,0.817073170732,0.909523809524,0.768488745981,0.166666666667,0.2,0.19018404908,0.775510204082,0.470119521912,0.0187165775401,0.707317073171,0.536585365854,0.216666666667,0.75,0.749019607843,0.441,0.592592592593,0.675675675676,0.328,0.650602409639,0.519083969466,0.79,0.607142857143,0.613043478261,0.481,0.6255,0.48
"Keith Van Horn, PF",0.59756097561,0.573170731707,0.842857142857,0.546623794212,0.333333333333,0.478260869565,0.435582822086,0.173469387755,0.326693227092,0.109625668449,0.512195121951,0.756097560976,0.0666666666667,0.5625,0.564705882353,0.435,0.481481481481,0.472972972973,0.382,0.373493975904,0.290076335878,0.81,0.446428571429,0.473913043478,0.452,0.587,0.48
"Kenyon Martin, PF",0.829268292683,0.829268292683,0.795238095238,0.385852090032,0.416666666667,0.469565217391,0.453987730061,0.19387755102,0.458167330677,0.44385026738,0.487804878049,1.0,0.075,0.455357142857,0.447058823529,0.445,0.0,0.027027027027,0.091,0.21686746988,0.213740458015,0.63,0.455357142857,0.486956521739,0.45,0.524,0.45
"Kendall Gill, SF",0.378048780488,0.317073170732,0.685714285714,0.292604501608,0.208333333333,0.278260869565,0.257668711656,0.285714285714,0.605577689243,0.0614973262032,0.365853658537,0.512195121951,0.15,0.3125,0.407843137255,0.331,0.037037037037,0.0675675675676,0.286,0.253012048193,0.221374045802,0.72,0.303571428571,0.430434782609,0.333,0.438,0.34
"Aaron Williams, C",1.0,0.30487804878,0.678571428571,0.327974276527,0.541666666667,0.4,0.441717791411,0.112244897959,0.286852589641,0.368983957219,0.390243902439,0.951219512195,0.0583333333333,0.321428571429,0.309803921569,0.457,0.0,0.0,0.0,0.361445783133,0.290076335878,0.79,0.321428571429,0.34347826087,0.458,0.6445,0.46
"Lucious Harris, SG",0.890243902439,0.609756097561,0.67619047619,0.302250803859,0.208333333333,0.260869565217,0.239263803681,0.183673469388,0.402390438247,0.0588235294118,0.219512195122,0.414634146341,0.175,0.321428571429,0.333333333333,0.425,0.222222222222,0.243243243243,0.348,0.180722891566,0.145038167939,0.77,0.267857142857,0.291304347826,0.445,0.5475,0.46
"Doug Overton, PG",0.146341463415,0.109756097561,0.62619047619,0.221864951768,0.0208333333333,0.165217391304,0.122699386503,0.448979591837,0.0996015936255,0.0,0.317073170732,0.414634146341,0.291666666667,0.258928571429,0.305882352941,0.376,0.296296296296,0.364864864865,0.313,0.0361445783133,0.030534351145,0.6,0.1875,0.221739130435,0.41,0.446,0.43
"Johnny Newman, F",1.0,0.207317073171,0.595238095238,0.350482315113,0.0833333333333,0.147826086957,0.128834355828,0.142857142857,0.306772908367,0.0320855614973,0.317073170732,0.682926829268,0.0916666666667,0.3125,0.333333333333,0.419,0.259259259259,0.283783783784,0.335,0.373493975904,0.274809160305,0.86,0.25,0.278260869565,0.447,0.644,0.46
"Jamie Feick, F",0.0731707317073,0.0,0.590476190476,0.118971061093,0.416666666667,0.634782608696,0.570552147239,0.0816326530612,0.529880478088,0.133689839572,0.292682926829,0.609756097561,0.0583333333333,0.116071428571,0.149019607843,0.348,0.0,0.0,0.0,0.120481927711,0.152671755725,0.5,0.116071428571,0.165217391304,0.348,0.4785,0.35
"Mark Strickland, F",0.109756097561,0.0,0.533333333333,0.183279742765,0.25,0.286956521739,0.282208588957,0.0816326530612,0.175298804781,0.0882352941176,0.268292682927,0.390243902439,0.0583333333333,0.205357142857,0.235294117647,0.389,0.037037037037,0.0135135135135,1.0,0.10843373494,0.0916030534351,0.73,0.196428571429,0.25652173913,0.377,0.472,0.4
