Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Steve Francis, PG",0.975609756098,0.963414634146,0.95,0.639871382637,0.5,0.391304347826,0.423312883436,0.663265306122,0.701195219124,0.104278074866,0.80487804878,0.829268292683,0.166666666667,0.616071428571,0.596078431373,0.451,0.62962962963,0.567567567568,0.396,0.542168674699,0.419847328244,0.82,0.464285714286,0.478260869565,0.472,0.6525,0.51
"Cuttino Mobley, SG",0.963414634146,0.59756097561,0.904761904762,0.627009646302,0.229166666667,0.347826086957,0.306748466258,0.255102040816,0.422310756972,0.0882352941176,0.512195121951,0.512195121951,0.1,0.598214285714,0.603921568627,0.434,0.407407407407,0.432432432432,0.357,0.602409638554,0.458015267176,0.83,0.5,0.530434782609,0.454,0.6335,0.47
"Shandon Anderson, SF",1.0,1.0,0.695238095238,0.279742765273,0.1875,0.278260869565,0.251533742331,0.234693877551,0.398406374502,0.131016042781,0.390243902439,0.609756097561,0.116666666667,0.285714285714,0.282352941176,0.446,0.222222222222,0.283783783784,0.271,0.204819277108,0.175572519084,0.73,0.232142857143,0.221739130435,0.517,0.6015,0.48
"Maurice Taylor, PF",0.841463414634,0.841463414634,0.680952380952,0.418006430868,0.333333333333,0.339130434783,0.337423312883,0.15306122449,0.163346613546,0.147058823529,0.439024390244,0.731707317073,0.0666666666667,0.508928571429,0.454901960784,0.489,0.0,0.0135135135135,0.0,0.204819277108,0.175572519084,0.73,0.508928571429,0.5,0.492,0.564,0.49
"Hakeem Olajuwon, C",0.707317073171,0.670731707317,0.633333333333,0.382636655949,0.4375,0.460869565217,0.453987730061,0.122448979592,0.482071713147,0.406417112299,0.341463414634,0.585365853659,0.075,0.4375,0.38431372549,0.498,0.0,0.0,0.0,0.253012048193,0.259541984733,0.62,0.4375,0.426086956522,0.499,0.6065,0.5
"Kenny Thomas, PF",0.90243902439,0.256097560976,0.585714285714,0.228295819936,0.333333333333,0.347826086957,0.343558282209,0.102040816327,0.215139442231,0.155080213904,0.390243902439,0.585365853659,0.0583333333333,0.25,0.247058823529,0.443,0.111111111111,0.162162162162,0.272,0.144578313253,0.129770992366,0.72,0.223214285714,0.221739130435,0.485,0.5675,0.47
"Walt Williams, F",0.878048780488,0.378048780488,0.52380952381,0.266881028939,0.0833333333333,0.260869565217,0.208588957055,0.132653061224,0.167330677291,0.104278074866,0.243902439024,0.512195121951,0.108333333333,0.25,0.278431372549,0.394,0.518518518519,0.459459459459,0.395,0.156626506024,0.137404580153,0.77,0.125,0.160869565217,0.392,0.584,0.49
"Moochie Norris, PG",1.0,0.0731707317073,0.480952380952,0.212218649518,0.104166666667,0.165217391304,0.147239263804,0.357142857143,0.334661354582,0.00534759358289,0.317073170732,0.243902439024,0.216666666667,0.196428571429,0.196078431373,0.446,0.111111111111,0.148648648649,0.281,0.21686746988,0.18320610687,0.78,0.169642857143,0.169565217391,0.491,0.6585,0.48
"Kelvin Cato, C",0.426829268293,0.158536585366,0.42380952381,0.151125401929,0.270833333333,0.234782608696,0.245398773006,0.030612244898,0.147410358566,0.237967914439,0.170731707317,0.609756097561,0.0333333333333,0.160714285714,0.125490196078,0.577,0.0,0.0,0.0,0.132530120482,0.12213740458,0.65,0.160714285714,0.139130434783,0.577,0.743,0.58
"Matt Bullard, F",0.743902439024,0.0609756097561,0.390476190476,0.186495176849,0.0833333333333,0.15652173913,0.128834355828,0.0714285714286,0.0637450199203,0.0401069518717,0.0487804878049,0.292682926829,0.291666666667,0.1875,0.196078431373,0.423,0.518518518519,0.472972972973,0.404,0.0240963855422,0.0152671755725,0.71,0.0625,0.0652173913043,0.467,0.5805,0.56
