Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Gary Payton, PG",0.963414634146,0.963414634146,0.978571428571,0.742765273312,0.1875,0.313043478261,0.282208588957,0.826530612245,0.641434262948,0.0882352941176,0.634146341463,0.560975609756,0.258333333333,0.821428571429,0.788235294118,0.456,0.481481481481,0.459459459459,0.375,0.409638554217,0.343511450382,0.77,0.705357142857,0.726086956522,0.472,0.573,0.49
"Rashard Lewis, PF",0.951219512195,0.951219512195,0.830952380952,0.475884244373,0.375,0.44347826087,0.423312883436,0.163265306122,0.466135458167,0.155080213904,0.414634146341,0.585365853659,0.0833333333333,0.491071428571,0.447058823529,0.48,0.592592592593,0.5,0.432,0.277108433735,0.206106870229,0.83,0.348214285714,0.334782608696,0.503,0.649,0.55
"Vin Baker, PF",0.926829268293,0.329268292683,0.666666666667,0.392282958199,0.5,0.286956521739,0.349693251534,0.122448979592,0.199203187251,0.256684491979,0.512195121951,0.853658536585,0.05,0.410714285714,0.423529411765,0.422,0.0,0.027027027027,0.063,0.373493975904,0.320610687023,0.72,0.410714285714,0.460869565217,0.429,0.564,0.42
"Ruben Patterson, PF",0.926829268293,0.268292682927,0.645238095238,0.418006430868,0.5,0.226086956522,0.306748466258,0.214285714286,0.541832669323,0.157754010695,0.487804878049,0.560975609756,0.0833333333333,0.4375,0.388235294118,0.494,0.0,0.0675675675676,0.056,0.385542168675,0.36641221374,0.68,0.4375,0.408695652174,0.516,0.6595,0.5
"Patrick Ewing, C",0.963414634146,0.963414634146,0.635714285714,0.308681672026,0.333333333333,0.504347826087,0.453987730061,0.122448979592,0.266932270916,0.307486631016,0.463414634146,0.707317073171,0.05,0.330357142857,0.341176470588,0.43,0.0,0.0,0.0,0.265060240964,0.24427480916,0.69,0.330357142857,0.378260869565,0.431,0.5555,0.43
"Brent Barry, SG",0.817073170732,0.243902439024,0.630952380952,0.282958199357,0.104166666667,0.234782608696,0.19018404908,0.34693877551,0.474103585657,0.0561497326203,0.317073170732,0.463414634146,0.216666666667,0.267857142857,0.235294117647,0.494,0.592592592593,0.459459459459,0.476,0.156626506024,0.114503816794,0.82,0.125,0.113043478261,0.517,0.7345,0.63
"Emanual Davis, G",0.756097560976,0.475609756098,0.495238095238,0.186495176849,0.104166666667,0.173913043478,0.153374233129,0.224489795918,0.410358565737,0.0508021390374,0.292682926829,0.390243902439,0.15,0.1875,0.2,0.418,0.296296296296,0.27027027027,0.394,0.0843373493976,0.0687022900763,0.82,0.116071428571,0.134782608696,0.435,0.5675,0.5
"Desmond Mason, SF",0.951219512195,0.170731707317,0.464285714286,0.189710610932,0.1875,0.2,0.196319018405,0.0816326530612,0.199203187251,0.0695187165775,0.170731707317,0.463414634146,0.1,0.214285714286,0.219607843137,0.431,0.0740740740741,0.121621621622,0.269,0.10843373494,0.0916030534351,0.74,0.196428571429,0.204347826087,0.46,0.5275,0.45
"Shammond Williams, PG",0.841463414634,0.0731707317073,0.42619047619,0.218649517685,0.104166666667,0.121739130435,0.116564417178,0.285714285714,0.179282868526,0.0160427807487,0.292682926829,0.292682926829,0.191666666667,0.205357142857,0.207843137255,0.438,0.333333333333,0.256756756757,0.459,0.144578313253,0.106870229008,0.88,0.125,0.147826086957,0.426,0.6345,0.52
"Jelani McCoy, PF",0.853658536585,0.536585365854,0.388095238095,0.144694533762,0.270833333333,0.2,0.220858895706,0.0816326530612,0.103585657371,0.187165775401,0.268292682927,0.487804878049,0.0666666666667,0.178571428571,0.149019607843,0.523,0.0,0.0,0.0,0.0722891566265,0.0992366412214,0.44,0.178571428571,0.165217391304,0.523,0.6005,0.52
