Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Jalen Rose, SG",0.365853658537,0.365853658537,0.926773455378,0.757961783439,0.1,0.393617021277,0.315384615385,0.48623853211,0.392857142857,0.152298850575,0.8,0.809523809524,0.123076923077,0.828828828829,0.705035971223,0.47,0.363636363636,0.4125,0.37,0.53164556962,0.467289719626,0.84,0.754716981132,0.699570815451,0.491,0.4864,0.5
"Ron Mercer, SG",0.487804878049,0.487804878049,0.860411899314,0.535031847134,0.22,0.297872340426,0.3,0.275229357798,0.267857142857,0.0718390804598,0.5,0.52380952381,0.115384615385,0.648648648649,0.643884892086,0.399,0.121212121212,0.175,0.298,0.26582278481,0.252336448598,0.78,0.641509433962,0.708154506438,0.408,0.3756,0.41
"Metta World Peace, SF",0.329268292683,0.317073170732,0.697940503432,0.496815286624,0.3,0.36170212766,0.376923076923,0.266055045872,0.992857142857,0.244252873563,0.65,0.952380952381,0.0846153846154,0.504504504505,0.467625899281,0.433,0.393939393939,0.425,0.396,0.379746835443,0.448598130841,0.63,0.405660377358,0.412017167382,0.446,0.4796,0.48
"Brad Miller, C",0.585365853659,0.573170731707,0.663615560641,0.404458598726,0.74,0.5,0.646153846154,0.192660550459,0.385714285714,0.172413793103,0.375,0.785714285714,0.107692307692,0.387387387387,0.338129496403,0.46,0.0,0.0125,0.5,0.506329113924,0.495327102804,0.75,0.405660377358,0.399141630901,0.46,0.538,0.46
"Trenton Hassell, SF",0.951219512195,0.573170731707,0.656750572082,0.277070063694,0.16,0.255319148936,0.253846153846,0.201834862385,0.253571428571,0.16091954023,0.325,0.571428571429,0.130769230769,0.306306306306,0.291366906475,0.425,0.242424242424,0.2625,0.364,0.139240506329,0.140186915888,0.76,0.245283018868,0.257510729614,0.447,0.4336,0.47
"Greg Anthony, G",0.439024390244,0.426829268293,0.610983981693,0.267515923567,0.08,0.212765957447,0.184615384615,0.51376146789,0.485714285714,0.0316091954023,0.4,0.47619047619,0.269230769231,0.279279279279,0.287769784173,0.394,0.242424242424,0.3125,0.322,0.164556962025,0.177570093458,0.67,0.216981132075,0.236051502146,0.426,0.4208,0.44
"Travis Best, PG",0.365853658537,0.219512195122,0.604118993135,0.296178343949,0.06,0.255319148936,0.207692307692,0.45871559633,0.382142857143,0.00862068965517,0.325,0.571428571429,0.284615384615,0.333333333333,0.305755395683,0.441,0.0909090909091,0.1,0.32,0.20253164557,0.158878504673,0.92,0.320754716981,0.330472103004,0.454,0.4392,0.46
"Marcus Fizer, F",0.926829268293,0.243902439024,0.590389016018,0.391719745223,0.34,0.414893617021,0.430769230769,0.146788990826,0.228571428571,0.0919540229885,0.425,0.571428571429,0.0692307692308,0.441441441441,0.402877697842,0.438,0.030303030303,0.0625,0.171,0.316455696203,0.345794392523,0.67,0.452830188679,0.459227467811,0.451,0.4424,0.44
"Charles Oakley, PF",0.69512195122,0.439024390244,0.556064073227,0.12101910828,0.26,0.510638297872,0.461538461538,0.183486238532,0.307142857143,0.0545977011494,0.375,0.738095238095,0.1,0.153153153153,0.165467625899,0.369,0.0,0.0125,0.167,0.0506329113924,0.0467289719626,0.75,0.160377358491,0.19313304721,0.374,0.3284,0.37
"Eddie Robinson, SF",0.353658536585,0.146341463415,0.514874141876,0.286624203822,0.16,0.202127659574,0.207692307692,0.119266055046,0.282142857143,0.109195402299,0.3,0.285714285714,0.0769230769231,0.351351351351,0.305755395683,0.453,0.030303030303,0.025,0.4,0.151898734177,0.158878504673,0.75,0.358490566038,0.356223175966,0.455,0.4244,0.46
