Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Stephon Marbury, PG",1.0,0.975609756098,0.890160183066,0.649681528662,0.18,0.244680851064,0.246153846154,0.743119266055,0.335714285714,0.0459770114943,0.875,0.547619047619,0.176923076923,0.684684684685,0.618705035971,0.442,0.272727272727,0.375,0.286,0.544303797468,0.514018691589,0.78,0.632075471698,0.609442060086,0.476,0.474,0.47
"Shawn Marion, SG",0.987804878049,0.987804878049,0.878718535469,0.608280254777,0.52,0.776595744681,0.761538461538,0.183486238532,0.657142857143,0.304597701149,0.45,0.619047619048,0.0846153846154,0.72972972973,0.618705035971,0.469,0.181818181818,0.1875,0.393,0.303797468354,0.261682242991,0.85,0.707547169811,0.673819742489,0.476,0.4436,0.49
"Joe Johnson, SF",0.353658536585,0.329268292683,0.720823798627,0.305732484076,0.24,0.308510638298,0.315384615385,0.330275229358,0.321428571429,0.109195402299,0.375,0.452380952381,0.184615384615,0.378378378378,0.356115107914,0.42,0.151515151515,0.175,0.333,0.0886075949367,0.0841121495327,0.78,0.349056603774,0.364806866953,0.435,0.3848,0.44
"Penny Hardaway, SF",0.975609756098,0.670731707317,0.704805491991,0.382165605096,0.24,0.340425531915,0.338461538462,0.376146788991,0.546428571429,0.114942528736,0.6,0.547619047619,0.130769230769,0.441441441441,0.41726618705,0.418,0.0909090909091,0.125,0.277,0.253164556962,0.224299065421,0.81,0.433962264151,0.454935622318,0.432,0.412,0.43
"Tom Gugliotta, PF",0.536585365854,0.487804878049,0.588100686499,0.207006369427,0.26,0.393617021277,0.384615384615,0.165137614679,0.317857142857,0.195402298851,0.35,0.619047619048,0.1,0.261261261261,0.244604316547,0.422,0.030303030303,0.025,0.333,0.0759493670886,0.0747663551402,0.76,0.264150943396,0.283261802575,0.425,0.3788,0.43
"Rodney Rogers, SF",0.609756097561,0.0853658536585,0.574370709382,0.40127388535,0.38,0.308510638298,0.369230769231,0.128440366972,0.357142857143,0.0977011494253,0.325,0.714285714286,0.0846153846154,0.45045045045,0.384892086331,0.466,0.30303030303,0.35,0.35,0.20253164557,0.18691588785,0.83,0.377358490566,0.339055793991,0.508,0.4712,0.51
"Bo Outlaw, PF",0.890243902439,0.439024390244,0.553775743707,0.149681528662,0.36,0.297872340426,0.353846153846,0.155963302752,0.3,0.327586206897,0.3,0.595238095238,0.107692307692,0.189189189189,0.136690647482,0.55,0.0,0.0,0.5,0.0632911392405,0.11214953271,0.42,0.198113207547,0.163090128755,0.551,0.492,0.55
"Jake Tsakalidis, C",0.817073170732,0.573170731707,0.54004576659,0.232484076433,0.38,0.382978723404,0.430769230769,0.0275229357798,0.121428571429,0.295977011494,0.3,0.690476190476,0.0230769230769,0.252252252252,0.215827338129,0.475,0.0,0.0,0.0,0.215189873418,0.224299065421,0.7,0.264150943396,0.257510729614,0.476,0.4912,0.48
"Tony Delk, PG",0.5,0.0121951219512,0.489702517162,0.337579617834,0.18,0.223404255319,0.230769230769,0.183486238532,0.271428571429,0.0287356321839,0.25,0.357142857143,0.153846153846,0.36036036036,0.363309352518,0.399,0.333333333333,0.45,0.32,0.177215189873,0.14953271028,0.84,0.27358490566,0.278969957082,0.442,0.4184,0.46
"Dan Majerle, G",0.792682926829,0.0121951219512,0.41647597254,0.146496815287,0.08,0.244680851064,0.207692307692,0.128440366972,0.264285714286,0.066091954023,0.125,0.380952380952,0.2,0.135135135135,0.158273381295,0.343,0.363636363636,0.45,0.336,0.0506329113924,0.0560747663551,0.59,0.0283018867925,0.0343347639485,0.37,0.4152,0.48
