Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Jerry Stackhouse, SF",0.853658536585,0.853658536585,0.922352941176,0.669781931464,0.195652173913,0.245614035088,0.24025974026,0.505617977528,0.339416058394,0.123839009288,0.756756756757,0.452380952381,0.228571428571,0.638709677419,0.630630630631,0.710743801653,0.613193403298,0.37037037037,0.454545454545,0.29,0.844155844156,0.685185185185,0.88,0.576923076923,0.649289099526,0.627142857143,0.676359719978,0.65671641791
"Michael Jordan, G",1.0,0.817073170732,0.870588235294,0.623052959502,0.195652173913,0.456140350877,0.396103896104,0.426966292135,0.547445255474,0.148606811146,0.567567567568,0.5,0.257142857143,0.648387096774,0.747747747748,0.768595041322,0.667166416792,0.0740740740741,0.0909090909091,0.291,0.415584415584,0.37037037037,0.82,0.778846153846,0.848341232227,0.642857142857,0.578352180937,0.671641791045
"Larry Hughes, SG",0.817073170732,0.682926829268,0.750588235294,0.398753894081,0.217391304348,0.315789473684,0.298701298701,0.348314606742,0.467153284672,0.111455108359,0.540540540541,0.52380952381,0.214285714286,0.509677419355,0.468468468468,0.45867768595,0.700149925037,0.148148148148,0.155844155844,0.367,0.25974025974,0.259259259259,0.73,0.461538461538,0.469194312796,0.684285714286,0.623047926764,0.731343283582
"Christian Laettner, PF",0.926829268293,0.80487804878,0.684705882353,0.258566978193,0.326086956522,0.447368421053,0.428571428571,0.348314606742,0.394160583942,0.164086687307,0.297297297297,0.642857142857,0.385714285714,0.5,0.306306306306,0.280991735537,0.740629685157,0.0,0.025974025974,0.125,0.207792207792,0.175925925926,0.83,0.326923076923,0.312796208531,0.722857142857,0.659666128164,0.746268656716
"Tyronn Lue, PG",0.914634146341,0.292682926829,0.623529411765,0.267912772586,0.0652173913043,0.149122807018,0.12987012987,0.393258426966,0.229927007299,0.0030959752322,0.27027027027,0.47619047619,0.485714285714,0.429032258065,0.297297297297,0.314049586777,0.649175412294,0.296296296296,0.298701298701,0.341,0.155844155844,0.12962962963,0.88,0.240384615385,0.251184834123,0.677142857143,0.607969843834,0.731343283582
"Brendan Haywood, C",0.987804878049,0.841463414634,0.56,0.193146417445,0.521739130435,0.228070175439,0.324675324675,0.0449438202247,0.14598540146,0.455108359133,0.216216216216,0.666666666667,0.0571428571429,0.403225806452,0.189189189189,0.173553719008,0.764617691154,0.0,0.0,0.0,0.246753246753,0.277777777778,0.63,0.201923076923,0.199052132701,0.728571428571,0.795907377491,0.761194029851
"Kwame Brown, C",0.975609756098,0.243902439024,0.522352941176,0.230529595016,0.347826086957,0.324561403509,0.344155844156,0.0786516853933,0.229927007299,0.30959752322,0.378378378378,0.47619047619,0.0714285714286,0.432258064516,0.252252252252,0.260330578512,0.668665667166,0.0,0.0,0.0,0.233766233766,0.25,0.67,0.269230769231,0.298578199052,0.641428571429,0.635971997846,0.671641791045
"Bryon Russell, SF",0.853658536585,0.280487804878,0.465882352941,0.140186915888,0.130434782609,0.210526315789,0.194805194805,0.112359550562,0.36496350365,0.030959752322,0.216216216216,0.452380952381,0.185714285714,0.287096774194,0.135135135135,0.181818181818,0.529235382309,0.259259259259,0.25974025974,0.329,0.103896103896,0.0925925925926,0.77,0.0769230769231,0.113744075829,0.532857142857,0.554119547658,0.641791044776
"Juan Dixon, SG",0.512195121951,0.0365853658537,0.362352941176,0.19937694704,0.0652173913043,0.122807017544,0.11038961039,0.112359550562,0.226277372263,0.0216718266254,0.27027027027,0.309523809524,0.142857142857,0.383870967742,0.225225225225,0.268595041322,0.575712143928,0.222222222222,0.25974025974,0.298,0.116883116883,0.101851851852,0.8,0.182692307692,0.21327014218,0.602857142857,0.536348949919,0.641791044776
"Jared Jeffries, PF",0.243902439024,0.0121951219512,0.343529411765,0.1246105919,0.282608695652,0.140350877193,0.188311688312,0.0898876404494,0.14598540146,0.077399380805,0.297297297297,0.333333333333,0.114285714286,0.351612903226,0.135135135135,0.132231404959,0.713643178411,0.0740740740741,0.038961038961,0.5,0.103896103896,0.138888888889,0.55,0.125,0.137440758294,0.677142857143,0.675282714055,0.746268656716
