Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Paul Pierce, SF",0.975609756098,0.975609756098,0.910588235294,0.821428571429,0.195652173913,0.522935779817,0.467625899281,0.548387096774,0.683333333333,0.13,0.863636363636,0.725,0.28,0.657627118644,0.765306122449,0.779166666667,0.402,0.466666666667,0.623376623377,0.299,0.902777777778,0.782178217822,0.82,0.628865979381,0.720207253886,0.438,0.3065,0.44
"Chucky Atkins, PG",0.292682926829,0.292682926829,0.776470588235,0.428571428571,0.0217391304348,0.165137614679,0.136690647482,0.569892473118,0.45,0.008,0.409090909091,0.45,0.58,0.410169491525,0.438775510204,0.433333333333,0.418,0.533333333333,0.597402597403,0.351,0.25,0.227722772277,0.78,0.278350515464,0.300518134715,0.471,0.29025,0.5
"Mike James, PG",0.670731707317,0.670731707317,0.72,0.382142857143,0.0869565217391,0.256880733945,0.230215827338,0.47311827957,0.529166666667,0.008,0.340909090909,0.525,0.58,0.48813559322,0.397959183673,0.3875,0.418,0.533333333333,0.532467532468,0.381,0.194444444444,0.168316831683,0.8,0.237113402062,0.269430051813,0.447,0.28825,0.5
"Ricky Davis, SG",0.69512195122,0.0609756097561,0.691764705882,0.503571428571,0.217391304348,0.284403669725,0.302158273381,0.279569892473,0.520833333333,0.05,0.477272727273,0.525,0.24,0.545762711864,0.561224489796,0.466666666667,0.488,0.2,0.207792207792,0.38,0.347222222222,0.346534653465,0.73,0.505154639175,0.497409326425,0.506,0.3145,0.52
"Mark Blount, C",1.0,0.890243902439,0.689411764706,0.367857142857,0.54347826087,0.43119266055,0.517985611511,0.0967741935484,0.408333333333,0.258,0.409090909091,0.775,0.1,0.545762711864,0.428571428571,0.308333333333,0.566,0.0,0.0,0.0,0.263888888889,0.267326732673,0.72,0.432989690722,0.383419689119,0.566,0.349,0.57
"Vin Baker, PF",0.451219512195,0.40243902439,0.635294117647,0.403571428571,0.45652173913,0.330275229358,0.410071942446,0.161290322581,0.245833333333,0.124,0.318181818182,0.65,0.2,0.501694915254,0.459183673469,0.375,0.505,0.0,0.0,0.0,0.305555555556,0.29702970297,0.73,0.463917525773,0.466321243523,0.506,0.31375,0.5
"Jiri Welsch, GF",0.987804878049,0.829268292683,0.632941176471,0.328571428571,0.152173913043,0.266055045872,0.26618705036,0.247311827957,0.520833333333,0.018,0.363636363636,0.55,0.28,0.430508474576,0.326530612245,0.316666666667,0.428,0.3,0.285714285714,0.381,0.263888888889,0.247524752475,0.74,0.237113402062,0.279792746114,0.448,0.30475,0.48
"Walter McCarty, PF",0.939024390244,0.280487804878,0.581176470588,0.282142857143,0.0869565217391,0.247706422018,0.223021582734,0.172043010753,0.391666666667,0.058,0.272727272727,0.575,0.28,0.369491525424,0.265306122449,0.283333333333,0.388,0.6,0.623376623377,0.374,0.111111111111,0.108910891089,0.76,0.0824742268041,0.103626943005,0.42,0.28925,0.52
"Eric Williams, PF",0.256097560976,0.0,0.574117647059,0.414285714286,0.217391304348,0.321100917431,0.323741007194,0.129032258065,0.4375,0.01,0.340909090909,0.625,0.16,0.423728813559,0.377551020408,0.35,0.435,0.166666666667,0.194805194805,0.344,0.513888888889,0.514851485149,0.72,0.329896907216,0.357512953368,0.455,0.34325,0.47
"Tony Battie, C",0.280487804878,0.0731707317073,0.512941176471,0.210714285714,0.369565217391,0.311926605505,0.36690647482,0.0967741935484,0.145833333333,0.174,0.227272727273,0.6,0.18,0.406779661017,0.244897959184,0.2125,0.479,0.0,0.0,1.0,0.138888888889,0.138613861386,0.7,0.247422680412,0.264248704663,0.474,0.2905,0.48
