Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Jim Jackson, SF",0.292682926829,0.292682926829,0.974056603774,0.4332247557,0.102564102564,0.419047619048,0.355555555556,0.313043478261,0.332179930796,0.0120481927711,0.5,0.651162790698,0.267857142857,0.12044198895,0.47572815534,0.487603305785,0.417,0.793103448276,0.7625,0.367,0.149425287356,0.133333333333,0.91,0.279569892473,0.289340101523,0.471,0.28275,0.51
"Tracy McGrady, SG",0.951219512195,0.951219512195,0.962264150943,0.837133550489,0.230769230769,0.504761904762,0.459259259259,0.495652173913,0.598615916955,0.201807228916,0.565217391304,0.488372093023,0.392857142857,0.254143646409,0.893203883495,0.880165289256,0.431,0.620689655172,0.7,0.326,0.632183908046,0.67619047619,0.77,0.795698924731,0.796954314721,0.468,0.30175,0.47
"David Wesley, SG",0.658536585366,0.646341463415,0.804245283019,0.355048859935,0.128205128205,0.209523809524,0.192592592593,0.252173913043,0.391003460208,0.0451807228916,0.239130434783,0.651162790698,0.464285714286,0.130386740331,0.359223300971,0.380165289256,0.404,0.586206896552,0.55,0.383,0.206896551724,0.2,0.84,0.215053763441,0.243654822335,0.422,0.29475,0.49
"Bob Sura, PG",0.743902439024,0.719512195122,0.742924528302,0.335504885993,0.333333333333,0.4,0.407407407407,0.452173913043,0.370242214533,0.0331325301205,0.521739130435,0.651162790698,0.392857142857,0.160220994475,0.339805825243,0.342975206612,0.427,0.310344827586,0.3125,0.355,0.264367816092,0.295238095238,0.75,0.279569892473,0.294416243655,0.458,0.3105,0.48
"Yao Ming, C",0.975609756098,0.975609756098,0.721698113208,0.596091205212,0.666666666667,0.552380952381,0.622222222222,0.0695652173913,0.148788927336,0.602409638554,0.54347826087,0.860465116279,0.0535714285714,0.25635359116,0.650485436893,0.504132231405,0.552,0.0,0.0,0.0,0.563218390805,0.590476190476,0.78,0.720430107527,0.619289340102,0.552,0.37575,0.55
"Juwan Howard, PF",0.743902439024,0.573170731707,0.627358490566,0.312703583062,0.538461538462,0.342857142857,0.422222222222,0.130434782609,0.179930795848,0.0240963855422,0.282608695652,0.53488372093,0.214285714286,0.14364640884,0.388349514563,0.367768595041,0.451,0.0,0.0,0.0,0.183908045977,0.180952380952,0.84,0.430107526882,0.451776649746,0.452,0.27025,0.45
"Charlie Ward, PG",0.170731707317,0.158536585366,0.606132075472,0.175895765472,0.102564102564,0.228571428571,0.207407407407,0.269565217391,0.370242214533,0.0,0.282608695652,0.372093023256,0.428571428571,0.0961325966851,0.165048543689,0.227272727273,0.312,0.379310344828,0.45,0.314,0.0919540229885,0.0857142857143,0.85,0.0645161290323,0.0964467005076,0.308,0.2435,0.42
"Mike James, PG",0.329268292683,0.0609756097561,0.603773584906,0.403908794788,0.102564102564,0.257142857143,0.237037037037,0.252173913043,0.321799307958,0.0210843373494,0.217391304348,0.511627906977,0.535714285714,0.183425414365,0.456310679612,0.446280991736,0.433,0.551724137931,0.5,0.393,0.183908045977,0.190476190476,0.76,0.333333333333,0.345177664975,0.457,0.28875,0.51
"Maurice Taylor, PF",0.463414634146,0.19512195122,0.561320754717,0.254071661238,0.282051282051,0.304761904762,0.318518518519,0.121739130435,0.145328719723,0.0963855421687,0.369565217391,0.744186046512,0.142857142857,0.104972375691,0.320388349515,0.318181818182,0.435,0.0344827586207,0.025,0.375,0.114942528736,0.152380952381,0.65,0.344086021505,0.380710659898,0.437,0.2535,0.44
"Jon Barry, SG",0.646341463415,0.0243902439024,0.547169811321,0.228013029316,0.102564102564,0.209523809524,0.192592592593,0.226086956522,0.301038062284,0.039156626506,0.217391304348,0.302325581395,0.464285714286,0.148066298343,0.242718446602,0.227272727273,0.447,0.379310344828,0.3125,0.451,0.114942528736,0.104761904762,0.9,0.150537634409,0.152284263959,0.443,0.3195,0.55
