Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Zach Randolph, PF",0.560975609756,0.451219512195,0.820754716981,0.615635179153,0.794871794872,0.619047619048,0.711111111111,0.165217391304,0.256055363322,0.111445783133,0.521739130435,0.558139534884,0.142857142857,0.206629834254,0.699029126214,0.665289256198,0.448,0.0,0.0125,0.0,0.51724137931,0.52380952381,0.82,0.774193548387,0.812182741117,0.452,0.29375,0.45
"Shareef Abdur-Rahim, PF",0.658536585366,0.59756097561,0.816037735849,0.547231270358,0.589743589744,0.47619047619,0.540740740741,0.182608695652,0.314878892734,0.144578313253,0.478260869565,0.651162790698,0.160714285714,0.206629834254,0.601941747573,0.512396694215,0.503,0.103448275862,0.0875,0.385,0.471264367816,0.447619047619,0.87,0.634408602151,0.593908629442,0.51,0.33925,0.51
"Damon Stoudamire, PG",0.987804878049,0.853658536585,0.804245283019,0.514657980456,0.179487179487,0.295238095238,0.281481481481,0.495652173913,0.36678200692,0.00602409638554,0.434782608696,0.46511627907,0.5,0.18453038674,0.543689320388,0.595041322314,0.392,0.758620689655,0.75,0.369,0.252873563218,0.238095238095,0.91,0.365591397849,0.426395939086,0.409,0.274,0.47
"Nick Van Exel, PG",0.646341463415,0.414634146341,0.719339622642,0.361563517915,0.102564102564,0.257142857143,0.222222222222,0.373913043478,0.287197231834,0.0,0.369565217391,0.302325581395,0.446428571429,0.138121546961,0.388349514563,0.438016528926,0.381,0.655172413793,0.6,0.389,0.126436781609,0.133333333333,0.78,0.225806451613,0.294416243655,0.375,0.26125,0.47
"Ruben Patterson, PF",0.853658536585,0.439024390244,0.660377358491,0.377850162866,0.461538461538,0.2,0.288888888889,0.173913043478,0.522491349481,0.0903614457831,0.434782608696,0.53488372093,0.178571428571,0.174585635359,0.446601941748,0.355371900826,0.531,0.0,0.05,0.08,0.275862068966,0.380952380952,0.6,0.494623655914,0.416243654822,0.55,0.3365,0.53
"Theo Ratliff, C",0.768292682927,0.548780487805,0.64858490566,0.156351791531,0.461538461538,0.333333333333,0.392592592593,0.0434782608696,0.128027681661,0.756024096386,0.195652173913,0.674418604651,0.107142857143,0.111602209945,0.174757281553,0.169421487603,0.447,0.0,0.0,0.0,0.137931034483,0.161904761905,0.69,0.193548387097,0.208121827411,0.447,0.29575,0.45
"Darius Miles, SF",0.768292682927,0.268292682927,0.63679245283,0.416938110749,0.282051282051,0.342857142857,0.348148148148,0.173913043478,0.411764705882,0.373493975904,0.54347826087,0.697674418605,0.142857142857,0.171270718232,0.514563106796,0.45867768595,0.482,0.0344827586207,0.05,0.348,0.229885057471,0.32380952381,0.6,0.559139784946,0.543147208122,0.487,0.29025,0.49
"Derek Anderson, SG",0.573170731707,0.390243902439,0.622641509434,0.299674267101,0.128205128205,0.209523809524,0.2,0.260869565217,0.266435986159,0.0271084337349,0.326086956522,0.441860465116,0.357142857143,0.129281767956,0.31067961165,0.342975206612,0.389,0.413793103448,0.4,0.384,0.172413793103,0.180952380952,0.8,0.215053763441,0.258883248731,0.392,0.27625,0.46
"Joel Przybilla, C",0.926829268293,0.609756097561,0.575471698113,0.208469055375,0.589743589744,0.514285714286,0.57037037037,0.0869565217391,0.110726643599,0.644578313253,0.282608695652,0.720930232558,0.142857142857,0.172375690608,0.252427184466,0.181818181818,0.598,0.0,0.0,0.0,0.137931034483,0.219047619048,0.52,0.279569892473,0.223350253807,0.598,0.36625,0.6
"Sebastian Telfair, PG",0.829268292683,0.317073170732,0.462264150943,0.221498371336,0.025641025641,0.133333333333,0.111111111111,0.286956521739,0.176470588235,0.0180722891566,0.391304347826,0.418604651163,0.321428571429,0.107182320442,0.242718446602,0.260330578512,0.393,0.103448275862,0.125,0.246,0.172413793103,0.190476190476,0.79,0.236559139785,0.269035532995,0.421,0.2675,0.41
