Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Richard Jefferson, SF",0.951219512195,0.951219512195,0.909512761021,0.550847457627,0.324324324324,0.565656565657,0.535433070866,0.361904761905,0.28897338403,0.0668693009119,0.594594594595,0.625,0.204819277108,0.673758865248,0.516393442623,0.474264705882,0.493,0.235294117647,0.285714285714,0.319,0.63829787234,0.64347826087,0.81,0.533980582524,0.472972972973,0.532,0.7565,0.52
"Jason Kidd, PG",0.975609756098,0.975609756098,0.863109048724,0.375706214689,0.297297297297,0.626262626263,0.574803149606,0.8,0.714828897338,0.109422492401,0.648648648649,0.5,0.421686746988,0.68085106383,0.377049180328,0.415441176471,0.404,0.5,0.583333333333,0.352,0.255319148936,0.269565217391,0.8,0.281553398058,0.288288288288,0.445,0.5885,0.48
"Vince Carter, SG",0.963414634146,0.963414634146,0.853828306265,0.683615819209,0.459459459459,0.414141414141,0.456692913386,0.409523809524,0.45247148289,0.203647416413,0.72972972973,0.75,0.192771084337,0.769503546099,0.680327868852,0.705882352941,0.43,0.470588235294,0.547619047619,0.341,0.648936170213,0.660869565217,0.8,0.650485436893,0.657657657658,0.459,0.6295,0.47
"Nenad Krstic, C",0.975609756098,0.975609756098,0.716937354988,0.381355932203,0.621621621622,0.414141414141,0.503937007874,0.104761904762,0.152091254753,0.240121580547,0.459459459459,0.925,0.0843373493976,0.514184397163,0.459016393443,0.404411764706,0.507,0.0,0.0119047619048,0.25,0.244680851064,0.286956521739,0.7,0.543689320388,0.490990990991,0.509,0.613,0.51
"Jason Collins, C",0.865853658537,0.853658536585,0.619489559165,0.101694915254,0.351351351351,0.353535353535,0.377952755906,0.0952380952381,0.247148288973,0.170212765957,0.243243243243,0.875,0.132530120482,0.195035460993,0.122950819672,0.136029411765,0.397,0.0,0.0238095238095,0.25,0.063829787234,0.104347826087,0.51,0.145631067961,0.157657657658,0.404,0.4865,0.4
"Clifford Robinson, PF",0.975609756098,0.158536585366,0.54060324826,0.194915254237,0.189189189189,0.272727272727,0.259842519685,0.104761904762,0.209125475285,0.151975683891,0.216216216216,0.65,0.168674698795,0.340425531915,0.22131147541,0.235294117647,0.427,0.235294117647,0.261904761905,0.343,0.0744680851064,0.0869565217391,0.66,0.184466019417,0.189189189189,0.47,0.536,0.49
"John Thomas, C",0.0243902439024,0.0,0.417633410673,0.0282485875706,0.945945945946,0.151515151515,0.393700787402,0.0,0.190114068441,0.151975683891,0.27027027027,0.5,0.0,0.117021276596,0.0409836065574,0.110294117647,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0485436893204,0.135135135135,0.167,0.1665,0.17
"Jeff McInnis, PG",0.341463414634,0.0121951219512,0.403712296984,0.149717514124,0.108108108108,0.141414141414,0.141732283465,0.180952380952,0.148288973384,0.0212765957447,0.27027027027,0.325,0.21686746988,0.326241134752,0.188524590164,0.1875,0.441,0.0294117647059,0.0714285714286,0.188,0.0744680851064,0.0869565217391,0.69,0.21359223301,0.202702702703,0.472,0.521,0.45
"Derrick Zimmerman, SG",0.0243902439024,0.0,0.371229698376,0.0564971751412,0.135135135135,0.151515151515,0.157480314961,0.333333333333,0.0,0.0,0.540540540541,0.5,0.21686746988,0.195035460993,0.0819672131148,0.0551470588235,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0970873786408,0.0675675675676,0.667,0.6665,0.67
"Jacque Vaughn, PG",0.975609756098,0.0731707317073,0.357308584687,0.0960451977401,0.0540540540541,0.0909090909091,0.0866141732283,0.142857142857,0.201520912548,0.00303951367781,0.189189189189,0.45,0.289156626506,0.269503546099,0.106557377049,0.113970588235,0.437,0.0,0.0119047619048,0.167,0.0744680851064,0.0869565217391,0.73,0.126213592233,0.135135135135,0.444,0.559,0.44
