Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Carmelo Anthony, SF",0.975609756098,0.975609756098,0.853828306265,0.748587570621,0.405405405405,0.343434343434,0.385826771654,0.257142857143,0.41825095057,0.161094224924,0.72972972973,0.725,0.120481927711,0.783687943262,0.77868852459,0.724264705882,0.481,0.147058823529,0.22619047619,0.243,0.765957446809,0.773913043478,0.81,0.873786407767,0.801801801802,0.506,0.675,0.49
"Andre Miller, PG",1.0,1.0,0.830626450116,0.387005649718,0.297297297297,0.323232323232,0.338582677165,0.780952380952,0.490494296578,0.0668693009119,0.837837837838,0.65,0.313253012048,0.581560283688,0.401639344262,0.389705882353,0.463,0.0294117647059,0.0357142857143,0.185,0.404255319149,0.452173913043,0.74,0.466019417476,0.463963963964,0.472,0.6455,0.47
"Marcus Camby, C",0.682926829268,0.658536585366,0.77030162413,0.361581920904,0.648648648649,0.969696969697,0.937007874016,0.2,0.536121673004,1.0,0.432432432432,0.7,0.156626506024,0.709219858156,0.44262295082,0.426470588235,0.465,0.0,0.0238095238095,0.091,0.212765957447,0.24347826087,0.71,0.52427184466,0.513513513514,0.472,0.5515,0.47
"Ruben Patterson, PF",0.317073170732,0.243902439024,0.656612529002,0.372881355932,0.459459459459,0.171717171717,0.275590551181,0.247619047619,0.498098859316,0.106382978723,0.702702702703,0.675,0.120481927711,0.581560283688,0.434426229508,0.360294117647,0.543,0.0,0.0238095238095,0.167,0.265957446809,0.373913043478,0.58,0.514563106796,0.432432432432,0.552,0.672,0.54
"Kenyon Martin, PF",0.682926829268,0.59756097561,0.640371229698,0.364406779661,0.459459459459,0.464646464646,0.496062992126,0.133333333333,0.292775665399,0.282674772036,0.351351351351,0.775,0.132530120482,0.59219858156,0.434426229508,0.393382352941,0.495,0.0294117647059,0.047619047619,0.227,0.234042553191,0.260869565217,0.71,0.504854368932,0.463963963964,0.505,0.6,0.5
"Earl Boykins, PG",0.731707317073,0.0,0.596287703016,0.35593220339,0.108108108108,0.10101010101,0.110236220472,0.361904761905,0.304182509506,0.0212765957447,0.378378378378,0.3,0.33734939759,0.556737588652,0.368852459016,0.404411764706,0.41,0.294117647059,0.357142857143,0.346,0.265957446809,0.252173913043,0.87,0.339805825243,0.36036036036,0.434,0.572,0.46
"Greg Buckner, SG",0.890243902439,0.329268292683,0.559164733179,0.189265536723,0.108108108108,0.242424242424,0.228346456693,0.161904761905,0.45247148289,0.0820668693009,0.189189189189,0.625,0.289156626506,0.404255319149,0.204918032787,0.209558823529,0.434,0.352941176471,0.392857142857,0.354,0.063829787234,0.0695652173913,0.78,0.126213592233,0.108108108108,0.546,0.5885,0.54
"Reggie Evans, C",0.317073170732,0.0243902439024,0.54060324826,0.146892655367,0.594594594595,0.656565656566,0.685039370079,0.0571428571429,0.235741444867,0.0577507598784,0.459459459459,0.675,0.0361445783133,0.446808510638,0.139344262295,0.136029411765,0.453,0.0,0.0,0.0,0.202127659574,0.321739130435,0.51,0.165048543689,0.166666666667,0.453,0.7105,0.45
"Eduardo Najera, PF",0.780487804878,0.0365853658537,0.524361948956,0.152542372881,0.540540540541,0.313131313131,0.40157480315,0.0761904761905,0.315589353612,0.161094224924,0.216216216216,0.65,0.120481927711,0.390070921986,0.16393442623,0.172794117647,0.422,0.0294117647059,0.0238095238095,0.333,0.148936170213,0.15652173913,0.78,0.184466019417,0.202702702703,0.426,0.5765,0.43
"Francisco Elson, C",0.878048780488,0.658536585366,0.508120649652,0.138418079096,0.378378378378,0.333333333333,0.370078740157,0.0666666666667,0.285171102662,0.191489361702,0.243243243243,0.725,0.0843373493976,0.358156028369,0.172131147541,0.143382352941,0.532,0.0,0.0119047619048,0.2,0.0744680851064,0.0869565217391,0.66,0.203883495146,0.171171171171,0.538,0.6195,0.53
