Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Chauncey Billups, PG",0.987804878049,0.987804878049,0.837587006961,0.522598870056,0.135135135135,0.262626262626,0.244094488189,0.819047619048,0.334600760456,0.0303951367781,0.567567567568,0.5,0.493975903614,0.829787234043,0.426229508197,0.459558823529,0.418,0.676470588235,0.619047619048,0.433,0.606382978723,0.55652173913,0.89,0.281553398058,0.328828828829,0.407,0.7385,0.51
"Tayshaun Prince, SF",1.0,1.0,0.819025522042,0.398305084746,0.351351351351,0.30303030303,0.330708661417,0.219047619048,0.28897338403,0.145896656535,0.297297297297,0.3,0.240963855422,0.528368794326,0.450819672131,0.448529411765,0.455,0.235294117647,0.261904761905,0.35,0.234042553191,0.252173913043,0.76,0.456310679612,0.45045045045,0.479,0.5785,0.49
"Richard Hamilton, SG",0.975609756098,0.975609756098,0.819025522042,0.567796610169,0.297297297297,0.222222222222,0.251968503937,0.32380952381,0.247148288973,0.0607902735562,0.594594594595,0.65,0.192771084337,0.648936170213,0.66393442623,0.606617647059,0.491,0.205882352941,0.178571428571,0.458,0.340425531915,0.330434782609,0.84,0.718446601942,0.675675675676,0.494,0.6085,0.51
"Ben Wallace, PF",1.0,1.0,0.816705336427,0.206214689266,1.0,0.767676767677,0.889763779528,0.180952380952,0.67680608365,0.671732522796,0.297297297297,0.5,0.21686746988,0.620567375887,0.237704918033,0.209558823529,0.51,0.0,0.0,0.0,0.159574468085,0.313043478261,0.42,0.281553398058,0.256756756757,0.514,0.642,0.51
"Rasheed Wallace, PF",0.975609756098,0.975609756098,0.807424593968,0.426553672316,0.297297297297,0.575757575758,0.535433070866,0.219047619048,0.391634980989,0.495440729483,0.297297297297,0.725,0.253012048193,0.627659574468,0.467213114754,0.488970588235,0.43,0.558823529412,0.642857142857,0.357,0.18085106383,0.2,0.74,0.368932038835,0.355855855856,0.48,0.5665,0.5
"Antonio McDyess, PF",1.0,0.0,0.489559164733,0.220338983051,0.513513513514,0.343434343434,0.417322834646,0.104761904762,0.212927756654,0.179331306991,0.243243243243,0.675,0.144578313253,0.549645390071,0.286885245902,0.25,0.509,0.0,0.0,0.0,0.0851063829787,0.130434782609,0.56,0.339805825243,0.306306306306,0.511,0.5695,0.51
"Tony Delk, PG",0.280487804878,0.0,0.380510440835,0.220338983051,0.162162162162,0.171717171717,0.173228346457,0.133333333333,0.216730038023,0.0121580547112,0.216216216216,0.3,0.204819277108,0.574468085106,0.254098360656,0.257352941176,0.444,0.264705882353,0.238095238095,0.426,0.0851063829787,0.095652173913,0.72,0.21359223301,0.225225225225,0.451,0.5625,0.51
"Maurice Evans, SG",0.975609756098,0.0121951219512,0.329466357309,0.141242937853,0.27027027027,0.111111111111,0.157480314961,0.0761904761905,0.19391634981,0.0577507598784,0.135135135135,0.375,0.180722891566,0.5,0.155737704918,0.158088235294,0.452,0.147058823529,0.178571428571,0.371,0.0744680851064,0.0695652173913,0.8,0.135922330097,0.126126126126,0.493,0.591,0.51
"Amir Johnson, PF",0.0365853658537,0.0,0.30162412993,0.189265536723,0.27027027027,0.030303030303,0.102362204724,0.0952380952381,0.0,0.203647416413,0.351351351351,0.575,0.0963855421687,0.723404255319,0.188524590164,0.121323529412,0.7,0.205882352941,0.119047619048,0.667,0.13829787234,0.113043478261,1.0,0.155339805825,0.103603603604,0.714,1.0,0.8
"Carlos Arroyo, PG",0.609756097561,0.0,0.278422273782,0.090395480226,0.135135135135,0.0909090909091,0.110236220472,0.295238095238,0.144486692015,0.0182370820669,0.243243243243,0.375,0.409638554217,0.556737588652,0.0901639344262,0.113970588235,0.363,0.0,0.0119047619048,0.333,0.0851063829787,0.104347826087,0.72,0.106796116505,0.135135135135,0.364,0.503,0.37
