Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Elton Brand, PF",0.963414634146,0.963414634146,0.909512761021,0.697740112994,0.810810810811,0.707070707071,0.787401574803,0.247619047619,0.391634980989,0.772036474164,0.594594594595,0.725,0.144578313253,0.946808510638,0.786885245902,0.669117647059,0.527,0.0,0.0,0.333,0.595744680851,0.626086956522,0.77,0.932038834951,0.81981981982,0.527,0.6805,0.53
"Cuttino Mobley, SG",0.963414634146,0.90243902439,0.874709976798,0.418079096045,0.162162162162,0.373737373737,0.338582677165,0.285714285714,0.448669201521,0.139817629179,0.486486486486,0.65,0.192771084337,0.464539007092,0.44262295082,0.470588235294,0.426,0.323529411765,0.369047619048,0.339,0.308510638298,0.304347826087,0.84,0.417475728155,0.436936936937,0.453,0.5805,0.47
"Sam Cassell, PG",0.951219512195,0.914634146341,0.788863109049,0.485875706215,0.135135135135,0.323232323232,0.291338582677,0.6,0.361216730038,0.0425531914894,0.594594594595,0.725,0.33734939759,0.659574468085,0.516393442623,0.525735294118,0.443,0.264705882353,0.285714285714,0.368,0.393617021277,0.373913043478,0.86,0.52427184466,0.536036036036,0.459,0.605,0.47
"Chris Kaman, C",0.951219512195,0.951219512195,0.761020881671,0.33615819209,0.648648648649,0.727272727273,0.755905511811,0.0952380952381,0.220532319392,0.419452887538,0.621621621622,0.85,0.0481927710843,0.531914893617,0.385245901639,0.334558823529,0.523,0.0,0.0,0.0,0.265957446809,0.278260869565,0.77,0.456310679612,0.40990990991,0.524,0.66,0.52
"Vladimir Radmanovic, SF",0.365853658537,0.134146341463,0.684454756381,0.302259887006,0.216216216216,0.494949494949,0.448818897638,0.2,0.368821292776,0.142857142857,0.351351351351,0.675,0.192771084337,0.482269503546,0.295081967213,0.316176470588,0.417,0.647058823529,0.630952380952,0.418,0.13829787234,0.147826086957,0.73,0.135922330097,0.148648648649,0.416,0.618,0.54
"Corey Maggette, SF",0.390243902439,0.158536585366,0.684454756381,0.502824858757,0.243243243243,0.444444444444,0.417322834646,0.2,0.22433460076,0.0395136778116,0.648648648649,0.75,0.0963855421687,0.670212765957,0.426229508197,0.430147058824,0.445,0.235294117647,0.261904761905,0.338,0.702127659574,0.695652173913,0.83,0.427184466019,0.427927927928,0.47,0.76,0.48
"Shaun Livingston, PG",0.743902439024,0.170731707317,0.580046403712,0.16384180791,0.189189189189,0.232323232323,0.236220472441,0.428571428571,0.285171102662,0.158054711246,0.486486486486,0.65,0.301204819277,0.36524822695,0.196721311475,0.209558823529,0.427,0.0,0.0119047619048,0.125,0.0957446808511,0.113043478261,0.69,0.233009708738,0.252252252252,0.434,0.5045,0.43
"Quinton Ross, SF",0.817073170732,0.548780487805,0.524361948956,0.132768361582,0.162162162162,0.20202020202,0.196850393701,0.114285714286,0.28897338403,0.0729483282675,0.189189189189,0.575,0.204819277108,0.262411347518,0.155737704918,0.169117647059,0.422,0.0,0.0119047619048,0.0,0.0957446808511,0.095652173913,0.76,0.184466019417,0.202702702703,0.432,0.5145,0.42
"Daniel Ewing, PG",0.80487804878,0.0609756097561,0.341067285383,0.107344632768,0.0810810810811,0.0909090909091,0.102362204724,0.12380952381,0.212927756654,0.0273556231003,0.243243243243,0.325,0.180722891566,0.269503546099,0.122950819672,0.143382352941,0.38,0.0882352941176,0.142857142857,0.282,0.0531914893617,0.0608695652174,0.78,0.116504854369,0.121621621622,0.424,0.494,0.42
"Zeljko Rebraca, C",0.353658536585,0.0243902439024,0.329466357309,0.132768361582,0.108108108108,0.181818181818,0.173228346457,0.0285714285714,0.06463878327,0.200607902736,0.216216216216,0.5,0.0481927710843,0.379432624113,0.147540983607,0.121323529412,0.542,0.0,0.0,0.0,0.117021276596,0.121739130435,0.76,0.174757281553,0.148648648649,0.542,0.703,0.54
