Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Ricky Davis, SG",0.439024390244,0.439024390244,0.941995359629,0.539548022599,0.189189189189,0.393939393939,0.362204724409,0.457142857143,0.444866920152,0.0668693009119,0.72972972973,0.7,0.21686746988,0.553191489362,0.581967213115,0.606617647059,0.429,0.264705882353,0.392857142857,0.282,0.436170212766,0.434782608696,0.81,0.601941747573,0.594594594595,0.464,0.579,0.46
"Kevin Garnett, PF",0.926829268293,0.926829268293,0.902552204176,0.61581920904,0.756756756757,1.0,1.0,0.390476190476,0.520912547529,0.428571428571,0.648648648649,0.675,0.204819277108,0.95390070922,0.672131147541,0.577205882353,0.526,0.0294117647059,0.047619047619,0.267,0.553191489362,0.55652173913,0.81,0.78640776699,0.689189189189,0.532,0.695,0.53
"Wally Szczerbiak, SG",0.487804878049,0.487804878049,0.902552204176,0.567796610169,0.243243243243,0.393939393939,0.377952755906,0.266666666667,0.201520912548,0.115501519757,0.594594594595,0.575,0.156626506024,0.627659574468,0.598360655738,0.544117647059,0.495,0.441176470588,0.428571428571,0.406,0.436170212766,0.4,0.9,0.563106796117,0.504504504505,0.523,0.682,0.54
"Trenton Hassell, SF",0.939024390244,0.817073170732,0.756380510441,0.25988700565,0.297297297297,0.171717171717,0.220472440945,0.247619047619,0.212927756654,0.115501519757,0.432432432432,0.65,0.192771084337,0.340425531915,0.303278688525,0.294117647059,0.464,0.0294117647059,0.0357142857143,0.304,0.18085106383,0.2,0.74,0.349514563107,0.346846846847,0.47,0.5765,0.47
"Marcus Banks, PG",0.487804878049,0.341463414634,0.712296983759,0.338983050847,0.135135135135,0.242424242424,0.228346456693,0.447619047619,0.448669201521,0.0851063829787,0.648648648649,0.775,0.240963855422,0.485815602837,0.385245901639,0.356617647059,0.479,0.117647058824,0.130952380952,0.364,0.244680851064,0.252173913043,0.78,0.417475728155,0.387387387387,0.494,0.6175,0.5
"Marko Jaric, PG",0.914634146341,0.59756097561,0.649651972158,0.220338983051,0.216216216216,0.232323232323,0.244094488189,0.371428571429,0.54752851711,0.0851063829787,0.459459459459,0.625,0.277108433735,0.414893617021,0.245901639344,0.275735294118,0.399,0.147058823529,0.214285714286,0.301,0.13829787234,0.15652173913,0.69,0.242718446602,0.256756756757,0.43,0.5185,0.43
"Mark Blount, C",0.512195121951,0.365853658537,0.638051044084,0.28813559322,0.378378378378,0.343434343434,0.377952755906,0.0761904761905,0.228136882129,0.288753799392,0.486486486486,0.875,0.0481927710843,0.429078014184,0.352459016393,0.308823529412,0.506,0.0,0.0,0.0,0.18085106383,0.2,0.75,0.417475728155,0.378378378378,0.506,0.606,0.51
"Michael Olowokandi, C",0.390243902439,0.292682926829,0.54524361949,0.169491525424,0.378378378378,0.424242424242,0.44094488189,0.047619047619,0.22433460076,0.255319148936,0.351351351351,0.775,0.0481927710843,0.294326241135,0.22131147541,0.224264705882,0.446,0.0,0.0,0.0,0.063829787234,0.104347826087,0.49,0.26213592233,0.274774774775,0.446,0.495,0.45
"Troy Hudson, PG",0.439024390244,0.0,0.515081206497,0.268361581921,0.0540540540541,0.10101010101,0.0944881889764,0.27619047619,0.125475285171,0.0334346504559,0.297297297297,0.375,0.325301204819,0.439716312057,0.286885245902,0.341911764706,0.381,0.323529411765,0.333333333333,0.396,0.13829787234,0.121739130435,0.92,0.233009708738,0.292792792793,0.375,0.5135,0.44
"Eddie Griffin, PF",0.853658536585,0.329268292683,0.450116009281,0.129943502825,0.405405405405,0.40404040404,0.44094488189,0.0571428571429,0.0722433460076,0.641337386018,0.162162162162,0.45,0.10843373494,0.432624113475,0.155737704918,0.194852941176,0.351,0.0588235294118,0.142857142857,0.195,0.063829787234,0.095652173913,0.59,0.165048543689,0.184684684685,0.396,0.4325,0.37
