Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Tim Duncan, C",0.975609756098,0.975609756098,0.807424593968,0.525423728814,0.783783783784,0.818181818182,0.866141732283,0.304761904762,0.334600760456,0.617021276596,0.675675675676,0.675,0.156626506024,0.81914893617,0.590163934426,0.544117647059,0.484,0.0,0.0119047619048,0.4,0.446808510638,0.582608695652,0.63,0.699029126214,0.662162162162,0.485,0.6265,0.49
"Tony Parker, PG",0.975609756098,0.975609756098,0.786542923434,0.533898305085,0.135135135135,0.282828282828,0.259842519685,0.552380952381,0.395437262357,0.0151975683891,0.837837837838,0.5,0.21686746988,0.741134751773,0.639344262295,0.522058823529,0.548,0.0294117647059,0.0595238095238,0.306,0.340425531915,0.391304347826,0.71,0.747572815534,0.617117117117,0.556,0.6645,0.55
"Bruce Bowen, SF",1.0,1.0,0.779582366589,0.21186440678,0.108108108108,0.353535353535,0.307086614173,0.142857142857,0.365019011407,0.112462006079,0.216216216216,0.575,0.228915662651,0.326241134752,0.229508196721,0.238970588235,0.433,0.382352941176,0.357142857143,0.424,0.063829787234,0.0869565217391,0.61,0.145631067961,0.157657657658,0.44,0.5775,0.53
"Manu Ginobili, SG",0.792682926829,0.682926829268,0.647331786543,0.426553672316,0.162162162162,0.292929292929,0.275590551181,0.342857142857,0.589353612167,0.121580547112,0.513513513514,0.6,0.228915662651,0.794326241135,0.393442622951,0.378676470588,0.462,0.382352941176,0.392857142857,0.382,0.457446808511,0.478260869565,0.78,0.339805825243,0.315315315315,0.5,0.733,0.52
"Michael Finley, SG",0.939024390244,0.219512195122,0.614849187935,0.285310734463,0.108108108108,0.282828282828,0.251968503937,0.142857142857,0.182509505703,0.0273556231003,0.216216216216,0.325,0.228915662651,0.450354609929,0.303278688525,0.330882352941,0.412,0.411764705882,0.428571428571,0.394,0.13829787234,0.130434782609,0.85,0.223300970874,0.243243243243,0.423,0.561,0.49
"Rasho Nesterovic, C",0.975609756098,0.621951219512,0.438515081206,0.127118644068,0.378378378378,0.242424242424,0.307086614173,0.0380952380952,0.0988593155894,0.334346504559,0.189189189189,0.65,0.0722891566265,0.390070921986,0.180327868852,0.154411764706,0.515,0.0,0.0,0.0,0.0212765957447,0.0347826086957,0.6,0.21359223301,0.189189189189,0.518,0.542,0.51
"Robert Horry, PF",0.768292682927,0.0365853658537,0.436194895592,0.14406779661,0.297297297297,0.272727272727,0.299212598425,0.12380952381,0.25855513308,0.246200607903,0.189189189189,0.45,0.228915662651,0.482269503546,0.147540983607,0.169117647059,0.384,0.235294117647,0.27380952381,0.368,0.0744680851064,0.095652173913,0.65,0.0970873786408,0.103603603604,0.399,0.5495,0.47
"Nazr Mohammed, C",0.975609756098,0.365853658537,0.403712296984,0.175141242938,0.540540540541,0.323232323232,0.409448818898,0.047619047619,0.0988593155894,0.185410334347,0.297297297297,0.7,0.0481927710843,0.531914893617,0.196721311475,0.172794117647,0.504,0.0,0.0,0.0,0.148936170213,0.15652173913,0.78,0.233009708738,0.211711711712,0.504,0.654,0.5
"Brent Barry, SG",0.90243902439,0.0609756097561,0.394431554524,0.16384180791,0.108108108108,0.181818181818,0.165354330709,0.161904761905,0.201520912548,0.109422492401,0.189189189189,0.325,0.289156626506,0.528368794326,0.172131147541,0.172794117647,0.452,0.323529411765,0.321428571429,0.396,0.0531914893617,0.0695652173913,0.66,0.0970873786408,0.0900900900901,0.531,0.6245,0.57
"Nick Van Exel, PG",0.792682926829,0.0243902439024,0.352668213457,0.155367231638,0.027027027027,0.131313131313,0.110236220472,0.180952380952,0.0950570342205,0.0151975683891,0.243243243243,0.225,0.265060240964,0.390070921986,0.172131147541,0.194852941176,0.396,0.235294117647,0.285714285714,0.357,0.0425531914894,0.0521739130435,0.68,0.126213592233,0.130630630631,0.429,0.5175,0.48
