Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"LeBron James, SF",0.951219512195,0.951219512195,0.957845433255,0.863924050633,0.282051282051,0.548076923077,0.5234375,0.51724137931,0.727272727273,0.215151515152,0.727272727273,0.44,0.19,0.848275862069,0.933962264151,0.852459016393,0.476,0.433333333333,0.493827160494,0.319,0.611650485437,0.775862068966,0.7,0.86,0.803827751196,0.741329479769,0.32875,0.34
"Larry Hughes, SG",0.853658536585,0.829268292683,0.868852459016,0.471518987342,0.153846153846,0.307692307692,0.296875,0.318965517241,0.577272727273,0.112121212121,0.5,0.46,0.17,0.420689655172,0.509433962264,0.55737704918,0.4,0.366666666667,0.395061728395,0.333,0.291262135922,0.379310344828,0.68,0.43,0.497607655502,0.606936416185,0.27425,0.293333333333
"Drew Gooden, PF",0.975609756098,0.975609756098,0.655737704918,0.351265822785,0.846153846154,0.5,0.6640625,0.0948275862069,0.4,0.106060606061,0.318181818182,0.52,0.08,0.572413793103,0.433962264151,0.401639344262,0.473,0.0,0.0123456790123,0.167,0.174757281553,0.215517241379,0.71,0.46,0.464114832536,0.687861271676,0.28225,0.313333333333
"Zydrunas Ilgauskas, C",0.951219512195,0.951219512195,0.639344262295,0.376582278481,0.794871794872,0.442307692308,0.6015625,0.137931034483,0.281818181818,0.381818181818,0.409090909091,0.66,0.09,0.620689655172,0.462264150943,0.418032786885,0.486,0.0,0.0,0.0,0.194174757282,0.215517241379,0.81,0.49,0.488038277512,0.702312138728,0.2915,0.326666666667
"Anderson Varejao, PF",0.987804878049,0.0731707317073,0.559718969555,0.215189873418,0.615384615385,0.423076923077,0.5234375,0.0775862068966,0.427272727273,0.193939393939,0.181818181818,0.66,0.11,0.5,0.22641509434,0.204918032787,0.476,0.0,0.0123456790123,0.0,0.194174757282,0.284482758621,0.62,0.24,0.234449760766,0.703757225434,0.341,0.32
"Eric Snow, PG",1.0,0.548780487805,0.550351288056,0.132911392405,0.102564102564,0.182692307692,0.1796875,0.344827586207,0.304545454545,0.0606060606061,0.318181818182,0.46,0.3,0.3,0.150943396226,0.16393442623,0.417,0.0,0.0,0.0,0.0873786407767,0.120689655172,0.64,0.16,0.191387559809,0.609826589595,0.264,0.28
"Sasha Pavlovic, SG",0.817073170732,0.341463414634,0.536299765808,0.284810126582,0.0769230769231,0.192307692308,0.1875,0.137931034483,0.372727272727,0.0757575757576,0.340909090909,0.44,0.1,0.420689655172,0.311320754717,0.299180327869,0.453,0.3,0.271604938272,0.405,0.145631067961,0.163793103448,0.79,0.24,0.244019138756,0.684971098266,0.30825,0.34
"Damon Jones, PG",0.731707317073,0.0,0.459016393443,0.208860759494,0.0512820512821,0.0961538461538,0.0859375,0.137931034483,0.122727272727,0.00909090909091,0.136363636364,0.18,0.26,0.351724137931,0.216981132075,0.241803278689,0.386,0.5,0.481481481481,0.385,0.0485436893204,0.0603448275862,0.68,0.08,0.0956937799043,0.559248554913,0.27675,0.34
"Donyell Marshall, PF",0.987804878049,0.0,0.393442622951,0.221518987342,0.282051282051,0.278846153846,0.3125,0.051724137931,0.218181818182,0.160606060606,0.181818181818,0.32,0.07,0.527586206897,0.245283018868,0.25,0.424,0.4,0.407407407407,0.351,0.0679611650485,0.0862068965517,0.66,0.14,0.133971291866,0.742774566474,0.287,0.346666666667
"Daniel Gibson, SG",0.731707317073,0.19512195122,0.386416861827,0.145569620253,0.128205128205,0.105769230769,0.1171875,0.103448275862,0.172727272727,0.0393939393939,0.159090909091,0.32,0.16,0.324137931034,0.150943396226,0.159836065574,0.424,0.3,0.259259259259,0.419,0.0485436893204,0.0603448275862,0.72,0.07,0.0861244019139,0.621387283237,0.29875,0.36
