Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Dwight Howard, C",1.0,1.0,0.864168618267,0.556962025316,0.897435897436,0.846153846154,0.9609375,0.163793103448,0.386363636364,0.575757575758,0.886363636364,0.6,0.05,0.731034482759,0.603773584906,0.434426229508,0.603,0.0,0.0,0.5,0.466019417476,0.698275862069,0.59,0.64,0.507177033493,0.871387283237,0.41325,0.4
"Hedo Turkoglu, SF",0.890243902439,0.890243902439,0.728337236534,0.420886075949,0.205128205128,0.307692307692,0.3125,0.275862068966,0.436363636364,0.0666666666667,0.454545454545,0.6,0.16,0.493103448276,0.443396226415,0.463114754098,0.419,0.5,0.469135802469,0.388,0.223300970874,0.258620689655,0.78,0.32,0.358851674641,0.628612716763,0.29475,0.326666666667
"Grant Hill, SF",0.792682926829,0.780487804878,0.723653395785,0.455696202532,0.205128205128,0.269230769231,0.28125,0.181034482759,0.427272727273,0.115151515152,0.5,0.44,0.1,0.562068965517,0.5,0.418032786885,0.518,0.0,0.0246913580247,0.167,0.368932038835,0.431034482759,0.77,0.53,0.478468899522,0.758670520231,0.35375,0.346666666667
"Jameer Nelson, PG",0.939024390244,0.939024390244,0.709601873536,0.411392405063,0.153846153846,0.230769230769,0.2421875,0.370689655172,0.431818181818,0.0181818181818,0.545454545455,0.58,0.18,0.479310344828,0.462264150943,0.467213114754,0.43,0.266666666667,0.308641975309,0.335,0.233009708738,0.25,0.83,0.41,0.425837320574,0.660404624277,0.28575,0.313333333333
"Darko Milicic, C",0.975609756098,0.19512195122,0.559718969555,0.253164556962,0.461538461538,0.355769230769,0.4296875,0.0948275862069,0.25,0.530303030303,0.363636363636,0.54,0.07,0.479310344828,0.292452830189,0.282786885246,0.454,0.0,0.0,0.0,0.174757281553,0.25,0.61,0.31,0.33014354067,0.657514450867,0.2915,0.3
"Tony Battie, C",0.80487804878,0.80487804878,0.559718969555,0.193037974684,0.358974358974,0.365384615385,0.40625,0.0431034482759,0.2,0.136363636364,0.204545454545,0.56,0.06,0.341379310345,0.254716981132,0.225409836066,0.489,0.0,0.0,0.0,0.0776699029126,0.103448275862,0.68,0.27,0.263157894737,0.708092485549,0.2805,0.326666666667
"Trevor Ariza, SF",0.69512195122,0.0853658536585,0.524590163934,0.28164556962,0.435897435897,0.25,0.34375,0.0948275862069,0.472727272727,0.1,0.340909090909,0.48,0.08,0.562068965517,0.330188679245,0.266393442623,0.539,0.0,0.0123456790123,0.0,0.184466019417,0.258620689655,0.62,0.35,0.306220095694,0.793352601156,0.341,0.36
"Keyon Dooling, PG",0.80487804878,0.0243902439024,0.508196721311,0.25,0.0769230769231,0.0961538461538,0.1015625,0.146551724138,0.359090909091,0.069696969697,0.25,0.38,0.16,0.386206896552,0.264150943396,0.282786885246,0.41,0.166666666667,0.185185185185,0.323,0.165048543689,0.181034482759,0.81,0.23,0.258373205742,0.627167630058,0.2845,0.293333333333
"Carlos Arroyo, PG",0.878048780488,0.0609756097561,0.423887587822,0.243670886076,0.102564102564,0.134615384615,0.1484375,0.241379310345,0.245454545455,0.00909090909091,0.295454545455,0.36,0.22,0.5,0.264150943396,0.270491803279,0.425,0.0666666666667,0.0864197530864,0.275,0.174757281553,0.198275862069,0.8,0.26,0.282296650718,0.640173410405,0.28875,0.293333333333
"Keith Bogans, SG",0.719512195122,0.219512195122,0.393442622951,0.161392405063,0.0769230769231,0.125,0.125,0.0862068965517,0.213636363636,0.00909090909091,0.181818181818,0.34,0.13,0.320689655172,0.160377358491,0.172131147541,0.404,0.3,0.283950617284,0.387,0.0776699029126,0.0948275862069,0.75,0.08,0.0909090909091,0.615606936416,0.304,0.34
