Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Josh Howard, SF",0.926829268293,0.926829268293,0.868421052632,0.663333333333,0.421052631579,0.5,0.492957746479,0.198198198198,0.334763948498,0.116343490305,0.340909090909,0.658536585366,0.0666666666667,0.403930131004,0.707547169811,0.748858447489,0.455,0.3,0.383561643836,0.319,0.5,0.467889908257,0.81,0.725274725275,0.777142857143,0.482,0.30325,0.48
"Dirk Nowitzki, PF",0.939024390244,0.939024390244,0.861244019139,0.786666666667,0.315789473684,0.675925925926,0.605633802817,0.315315315315,0.283261802575,0.254847645429,0.477272727273,0.634146341463,0.0809523809524,0.541484716157,0.77358490566,0.780821917808,0.479,0.333333333333,0.397260273973,0.359,0.756097560976,0.651376146789,0.88,0.791208791209,0.811428571429,0.504,0.34575,0.51
"Jason Kidd, PG",0.353658536585,0.353658536585,0.834928229665,0.33,0.315789473684,0.481481481481,0.457746478873,0.855855855856,0.918454935622,0.105263157895,0.636363636364,0.634146341463,0.161904761905,0.366812227074,0.339622641509,0.383561643836,0.426,0.4,0.356164383562,0.461,0.182926829268,0.174311926606,0.81,0.263736263736,0.331428571429,0.411,0.294,0.5
"Jason Terry, SG",1.0,0.414634146341,0.753588516746,0.516666666667,0.105263157895,0.203703703704,0.176056338028,0.288288288288,0.459227467811,0.0609418282548,0.25,0.512195121951,0.138095238095,0.390829694323,0.537735849057,0.561643835616,0.467,0.566666666667,0.602739726027,0.375,0.280487804878,0.247706422018,0.86,0.43956043956,0.451428571429,0.519,0.31475,0.53
"Devin Harris, PG",0.475609756098,0.475609756098,0.727272727273,0.48,0.105263157895,0.175925925926,0.161971830986,0.477477477477,0.618025751073,0.0138504155125,0.545454545455,0.80487804878,0.104761904762,0.384279475983,0.452830188679,0.452054794521,0.483,0.2,0.246575342466,0.357,0.5,0.45871559633,0.82,0.461538461538,0.462857142857,0.511,0.36175,0.52
"Erick Dampier, C",0.878048780488,0.780487804878,0.583732057416,0.203333333333,0.763157894737,0.425925925926,0.528169014085,0.0810810810811,0.141630901288,0.407202216066,0.25,0.756097560976,0.0380952380952,0.334061135371,0.235849056604,0.173515981735,0.643,0.0,0.0,0.0,0.146341463415,0.183486238532,0.58,0.274725274725,0.217142857143,0.643,0.397,0.64
"Jerry Stackhouse, SF",0.707317073171,0.158536585366,0.581339712919,0.356666666667,0.157894736842,0.157407407407,0.161971830986,0.225225225225,0.206008583691,0.0470914127424,0.340909090909,0.341463414634,0.0809523809524,0.294759825328,0.349056603774,0.415525114155,0.405,0.333333333333,0.438356164384,0.326,0.280487804878,0.238532110092,0.89,0.296703296703,0.337142857143,0.447,0.29375,0.46
"Brandon Bass, PF",0.963414634146,0.0121951219512,0.471291866029,0.276666666667,0.394736842105,0.268518518519,0.30985915493,0.0630630630631,0.12017167382,0.168975069252,0.227272727273,0.463414634146,0.0333333333333,0.349344978166,0.292452830189,0.283105022831,0.499,0.0,0.013698630137,0.0,0.256097560976,0.229357798165,0.82,0.340659340659,0.348571428571,0.503,0.33175,0.5
"Eddie Jones, SG",0.573170731707,0.40243902439,0.468899521531,0.123333333333,0.105263157895,0.222222222222,0.197183098592,0.135135135135,0.236051502146,0.0470914127424,0.136363636364,0.365853658537,0.114285714286,0.168122270742,0.132075471698,0.173515981735,0.367,0.233333333333,0.342465753425,0.293,0.0243902439024,0.0275229357798,0.71,0.0769230769231,0.0742857142857,0.5,0.2445,0.46
"DeSagana Diop, C",0.634146341463,0.219512195122,0.411483253589,0.1,0.552631578947,0.287037037037,0.366197183099,0.045045045045,0.163090128755,0.335180055402,0.181818181818,0.463414634146,0.0285714285714,0.270742358079,0.122641509434,0.100456621005,0.583,0.0,0.0,0.0,0.0609756097561,0.0733944954128,0.6,0.142857142857,0.125714285714,0.583,0.3435,0.58
