Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Deron Williams, PG",1.0,1.0,0.892344497608,0.626666666667,0.105263157895,0.231481481481,0.211267605634,0.945945945946,0.472103004292,0.0775623268698,0.772727272727,0.585365853659,0.147619047619,0.451965065502,0.650943396226,0.62100456621,0.507,0.333333333333,0.356164383562,0.395,0.487804878049,0.45871559633,0.8,0.648351648352,0.628571428571,0.533,0.34575,0.54
"Carlos Boozer, PF",0.987804878049,0.987804878049,0.834928229665,0.703333333333,0.631578947368,0.740740740741,0.732394366197,0.261261261261,0.527896995708,0.141274238227,0.590909090909,0.878048780488,0.052380952381,0.475982532751,0.830188679245,0.730593607306,0.547,0.0,0.0,0.0,0.439024390244,0.449541284404,0.74,0.967032967033,0.914285714286,0.547,0.32925,0.55
"Mehmet Okur, C",0.878048780488,0.878048780488,0.794258373206,0.483333333333,0.473684210526,0.546296296296,0.542253521127,0.18018018018,0.326180257511,0.1108033241,0.318181818182,0.80487804878,0.0666666666667,0.331877729258,0.490566037736,0.534246575342,0.445,0.533333333333,0.561643835616,0.388,0.317073170732,0.293577981651,0.8,0.395604395604,0.434285714286,0.475,0.31125,0.51
"Andrei Kirilenko, SF",0.878048780488,0.878048780488,0.736842105263,0.366666666667,0.447368421053,0.277777777778,0.330985915493,0.36036036036,0.510729613734,0.418282548476,0.431818181818,0.560975609756,0.0952380952381,0.373362445415,0.358490566038,0.34703196347,0.506,0.2,0.219178082192,0.379,0.341463414634,0.330275229358,0.77,0.351648351648,0.342857142857,0.54,0.364,0.55
"Ronnie Brewer, SF",0.926829268293,0.926829268293,0.657894736842,0.4,0.342105263158,0.148148148148,0.204225352113,0.162162162162,0.729613733906,0.0692520775623,0.204545454545,0.341463414634,0.0904761904762,0.399563318777,0.443396226415,0.37899543379,0.558,0.0333333333333,0.0958904109589,0.22,0.317073170732,0.311926605505,0.76,0.505494505495,0.434285714286,0.587,0.3605,0.57
"Kyle Korver, SG",0.609756097561,0.0,0.514354066986,0.326666666667,0.0526315789474,0.166666666667,0.140845070423,0.126126126126,0.188841201717,0.127423822715,0.204545454545,0.609756097561,0.0666666666667,0.279475982533,0.311320754717,0.319634703196,0.474,0.5,0.520547945205,0.388,0.219512195122,0.174311926606,0.92,0.197802197802,0.182857142857,0.575,0.35275,0.58
"Paul Millsap, PF",1.0,0.0243902439024,0.497607655502,0.27,0.526315789474,0.333333333333,0.394366197183,0.0900900900901,0.377682403433,0.246537396122,0.25,0.80487804878,0.0428571428571,0.349344978166,0.292452830189,0.278538812785,0.504,0.0,0.0,0.0,0.231707317073,0.256880733945,0.68,0.340659340659,0.348571428571,0.508,0.32925,0.5
"Matt Harpring, SF",0.926829268293,0.0,0.433014354067,0.273333333333,0.342105263158,0.175925925926,0.225352112676,0.0990990990991,0.25321888412,0.0498614958449,0.295454545455,0.512195121951,0.0428571428571,0.307860262009,0.292452830189,0.283105022831,0.5,0.0,0.013698630137,0.2,0.231707317073,0.247706422018,0.71,0.340659340659,0.348571428571,0.506,0.328,0.5
"Gordan Giricek, SG",0.268292682927,0.0,0.303827751196,0.143333333333,0.0789473684211,0.101851851852,0.0985915492958,0.0630630630631,0.25321888412,0.0138504155125,0.227272727273,0.268292682927,0.0380952380952,0.213973799127,0.179245283019,0.2100456621,0.402,0.166666666667,0.205479452055,0.353,0.0,0.0,1.0,0.153846153846,0.177142857143,0.426,0.23275,0.46
"C.J. Miles, SF",0.731707317073,0.158536585366,0.275119617225,0.166666666667,0.0789473684211,0.0925925925926,0.0915492957746,0.0810810810811,0.227467811159,0.0360110803324,0.113636363636,0.390243902439,0.0952380952381,0.310043668122,0.179245283019,0.178082191781,0.479,0.166666666667,0.178082191781,0.39,0.0853658536585,0.0825688073394,0.79,0.153846153846,0.148571428571,0.522,0.3145,0.54
