Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Michael Redd, SG",0.40243902439,0.390243902439,0.890243902439,0.701986754967,0.162790697674,0.25,0.231884057971,0.252336448598,0.48401826484,0.0205479452055,0.410256410256,0.35,0.085,0.203389830508,0.694444444444,0.754545454545,0.455,0.65625,0.828571428571,0.366,0.444444444444,0.457943925234,0.81,0.556701030928,0.556701030928,0.503,0.5112,0.52
"Richard Jefferson, SF",1.0,0.987804878049,0.873170731707,0.649006622517,0.162790697674,0.39,0.333333333333,0.224299065421,0.365296803653,0.0582191780822,0.512820512821,0.775,0.06,0.175141242938,0.601851851852,0.677272727273,0.439,0.4375,0.514285714286,0.397,0.566666666667,0.588785046729,0.81,0.525773195876,0.582474226804,0.453,0.526,0.49
"Andrew Bogut, C",0.439024390244,0.40243902439,0.760975609756,0.387417218543,0.767441860465,0.7,0.746376811594,0.18691588785,0.292237442922,0.352739726027,0.615384615385,0.9,0.04,0.183050847458,0.472222222222,0.4,0.577,0.0,0.0,0.0,0.177777777778,0.252336448598,0.57,0.525773195876,0.453608247423,0.577,0.5324,0.58
"Luke Ridnour, PG",0.878048780488,0.609756097561,0.687804878049,0.317880794702,0.116279069767,0.26,0.217391304348,0.476635514019,0.584474885845,0.0753424657534,0.461538461538,0.7,0.145,0.146892655367,0.324074074074,0.390909090909,0.403,0.25,0.314285714286,0.35,0.2,0.196261682243,0.87,0.278350515464,0.329896907216,0.42,0.4432,0.45
"Ramon Sessions, PG",0.963414634146,0.463414634146,0.670731707317,0.41059602649,0.186046511628,0.26,0.246376811594,0.532710280374,0.479452054795,0.0308219178082,0.487179487179,0.5,0.15,0.198870056497,0.407407407407,0.445454545455,0.445,0.03125,0.0571428571429,0.176,0.4,0.420560747664,0.79,0.443298969072,0.484536082474,0.457,0.5044,0.45
"Charlie Villanueva, PF",0.951219512195,0.573170731707,0.656097560976,0.53642384106,0.46511627907,0.47,0.485507246377,0.168224299065,0.292237442922,0.246575342466,0.461538461538,0.825,0.05,0.210169491525,0.574074074074,0.636363636364,0.447,0.34375,0.471428571429,0.345,0.288888888889,0.289719626168,0.84,0.525773195876,0.551546391753,0.479,0.4644,0.49
"Luc Richard Mbah a Moute, PF",1.0,0.621951219512,0.629268292683,0.238410596026,0.53488372093,0.36,0.427536231884,0.102803738318,0.48401826484,0.188356164384,0.307692307692,0.625,0.045,0.138983050847,0.259259259259,0.272727272727,0.462,0.0,0.0,0.0,0.188888888889,0.214953271028,0.73,0.288659793814,0.309278350515,0.466,0.484,0.46
"Charlie Bell, SG",0.853658536585,0.268292682927,0.621951219512,0.278145695364,0.116279069767,0.15,0.13768115942,0.205607476636,0.324200913242,0.0342465753425,0.282051282051,0.5,0.1,0.110734463277,0.287037037037,0.340909090909,0.414,0.375,0.485714285714,0.363,0.1,0.102803738318,0.83,0.19587628866,0.211340206186,0.458,0.448,0.5
"Keith Bogans, SG",0.353658536585,0.0,0.407317073171,0.198675496689,0.139534883721,0.26,0.224637681159,0.102803738318,0.315068493151,0.0239726027397,0.205128205128,0.375,0.075,0.141242937853,0.175925925926,0.231818181818,0.376,0.34375,0.457142857143,0.348,0.122222222222,0.102803738318,0.94,0.0824742268041,0.0979381443299,0.421,0.4696,0.48
"Francisco Elson, C",0.719512195122,0.280487804878,0.40487804878,0.112582781457,0.395348837209,0.22,0.282608695652,0.0467289719626,0.278538812785,0.208904109589,0.205128205128,0.6,0.035,0.116384180791,0.12962962963,0.131818181818,0.491,0.0,0.0142857142857,0.25,0.0666666666667,0.0654205607477,0.85,0.144329896907,0.144329896907,0.497,0.4732,0.49
