Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kevin Durant, SF",0.90243902439,0.90243902439,0.951219512195,0.837748344371,0.232558139535,0.55,0.471014492754,0.261682242991,0.593607305936,0.246575342466,0.769230769231,0.45,0.045,0.23615819209,0.824074074074,0.854545454545,0.476,0.40625,0.442857142857,0.422,0.677777777778,0.663551401869,0.86,0.783505154639,0.809278350515,0.486,0.5384,0.51
"Jeff Green, SF",0.951219512195,0.939024390244,0.89756097561,0.546357615894,0.348837209302,0.51,0.485507246377,0.18691588785,0.474885844749,0.143835616438,0.564102564103,0.65,0.045,0.158192090395,0.564814814815,0.622727272727,0.446,0.375,0.457142857143,0.389,0.344444444444,0.364485981308,0.79,0.505154639175,0.541237113402,0.463,0.4832,0.49
"Russell Westbrook, PG",1.0,0.780487804878,0.792682926829,0.506622516556,0.511627906977,0.27,0.355072463768,0.495327102804,0.611872146119,0.0684931506849,0.846153846154,0.575,0.08,0.171751412429,0.490740740741,0.609090909091,0.398,0.125,0.228571428571,0.271,0.477777777778,0.485981308411,0.82,0.505154639175,0.60824742268,0.415,0.4588,0.41
"Thabo Sefolosha, SF",0.280487804878,0.268292682927,0.758536585366,0.281456953642,0.279069767442,0.4,0.376811594203,0.18691588785,0.794520547945,0.38698630137,0.307692307692,0.575,0.085,0.142372881356,0.296296296296,0.345454545455,0.417,0.125,0.228571428571,0.243,0.188888888889,0.196261682243,0.83,0.288659793814,0.309278350515,0.464,0.4456,0.44
"Desmond Mason, SF",0.475609756098,0.231707317073,0.665853658537,0.248344370861,0.255813953488,0.3,0.289855072464,0.11214953271,0.173515981735,0.263698630137,0.358974358974,0.625,0.04,0.0802259887006,0.296296296296,0.331818181818,0.435,0.0,0.0142857142857,0.0,0.133333333333,0.205607476636,0.54,0.329896907216,0.371134020619,0.44,0.4128,0.44
"Earl Watson, PG",0.829268292683,0.219512195122,0.636585365854,0.218543046358,0.116279069767,0.22,0.195652173913,0.542056074766,0.337899543379,0.0547945205479,0.589743589744,0.5,0.125,0.108474576271,0.240740740741,0.304545454545,0.384,0.09375,0.185714285714,0.235,0.133333333333,0.14953271028,0.75,0.237113402062,0.278350515464,0.418,0.3956,0.41
"Nick Collison, PF",0.865853658537,0.487804878049,0.629268292683,0.271523178808,0.581395348837,0.43,0.5,0.0841121495327,0.328767123288,0.239726027397,0.25641025641,0.85,0.045,0.168361581921,0.314814814815,0.272727272727,0.568,0.0,0.0,0.0,0.155555555556,0.177570093458,0.72,0.350515463918,0.309278350515,0.57,0.5456,0.57
"Nenad Krstic, C",0.560975609756,0.341463414634,0.60487804878,0.32119205298,0.418604651163,0.37,0.398550724638,0.0560747663551,0.2100456621,0.366438356164,0.25641025641,0.625,0.03,0.153672316384,0.388888888889,0.4,0.469,0.0,0.0,0.0,0.155555555556,0.158878504673,0.8,0.432989690722,0.453608247423,0.469,0.4372,0.47
"Shaun Livingston, PG",0.0975609756098,0.0121951219512,0.580487804878,0.258278145695,0.093023255814,0.29,0.239130434783,0.18691588785,0.287671232877,0.0856164383562,0.205128205128,0.25,0.135,0.152542372881,0.324074074074,0.295454545455,0.538,0.0,0.0,0.0,0.0888888888889,0.0747663551402,1.0,0.360824742268,0.335051546392,0.538,0.4768,0.54
"Kyle Weaver, SG",0.682926829268,0.231707317073,0.507317073171,0.175496688742,0.139534883721,0.18,0.166666666667,0.168224299065,0.383561643836,0.154109589041,0.307692307692,0.35,0.075,0.115254237288,0.185185185185,0.2,0.459,0.1875,0.242857142857,0.344,0.0777777777778,0.0934579439252,0.71,0.144329896907,0.139175257732,0.529,0.486,0.52
