Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Amar'e Stoudemire, PF",0.646341463415,0.646341463415,0.89756097561,0.708609271523,0.511627906977,0.59,0.586956521739,0.18691588785,0.420091324201,0.369863013699,0.717948717949,0.775,0.035,0.230508474576,0.703703703704,0.640909090909,0.539,0.03125,0.0142857142857,0.429,0.677777777778,0.682242990654,0.83,0.773195876289,0.721649484536,0.54,0.6056,0.54
"Steve Nash, PG",0.90243902439,0.890243902439,0.819512195122,0.519867549669,0.0697674418605,0.28,0.217391304348,0.906542056075,0.337899543379,0.0479452054795,0.871794871795,0.375,0.145,0.220338983051,0.537037037037,0.522727272727,0.503,0.46875,0.471428571429,0.439,0.288888888889,0.261682242991,0.93,0.443298969072,0.422680412371,0.529,0.5452,0.57
"Jason Richardson, SG",0.707317073171,0.682926829268,0.807317073171,0.543046357616,0.255813953488,0.34,0.326086956522,0.177570093458,0.488584474886,0.147260273973,0.307692307692,0.45,0.075,0.190960451977,0.583333333333,0.590909090909,0.488,0.5625,0.657142857143,0.383,0.211111111111,0.233644859813,0.78,0.463917525773,0.432989690722,0.545,0.504,0.56
"Raja Bell, SG",0.268292682927,0.268292682927,0.790243902439,0.317880794702,0.093023255814,0.25,0.210144927536,0.121495327103,0.269406392694,0.0308219178082,0.205128205128,0.65,0.08,0.0960451977401,0.324074074074,0.363636363636,0.429,0.625,0.614285714286,0.468,0.0777777777778,0.0934579439252,0.76,0.154639175258,0.190721649485,0.386,0.4792,0.55
"Shaquille O'Neal, C",0.914634146341,0.914634146341,0.731707317073,0.58940397351,0.581395348837,0.59,0.608695652174,0.158878504673,0.296803652968,0.493150684932,0.564102564103,0.85,0.04,0.25197740113,0.62962962963,0.509090909091,0.609,0.0,0.0,0.0,0.455555555556,0.644859813084,0.6,0.701030927835,0.577319587629,0.61,0.634,0.61
"Grant Hill, SF",1.0,0.817073170732,0.726829268293,0.397350993377,0.186046511628,0.42,0.355072463768,0.214953271028,0.502283105023,0.22602739726,0.384615384615,0.55,0.075,0.172881355932,0.444444444444,0.413636363636,0.523,0.09375,0.128571428571,0.316,0.244444444444,0.252336448598,0.81,0.463917525773,0.422680412371,0.547,0.5288,0.54
"Matt Barnes, SF",0.939024390244,0.475609756098,0.658536585366,0.337748344371,0.232558139535,0.44,0.398550724638,0.261682242991,0.310502283105,0.116438356164,0.435897435897,0.675,0.08,0.142372881356,0.342592592593,0.4,0.423,0.46875,0.628571428571,0.343,0.144444444444,0.168224299065,0.74,0.226804123711,0.226804123711,0.505,0.4676,0.51
"Boris Diaw, C",0.268292682927,0.0,0.59756097561,0.274834437086,0.255813953488,0.27,0.275362318841,0.196261682243,0.228310502283,0.140410958904,0.435897435897,0.45,0.06,0.141242937853,0.333333333333,0.290909090909,0.567,0.0625,0.0857142857143,0.357,0.0888888888889,0.11214953271,0.69,0.350515463918,0.298969072165,0.591,0.5192,0.59
"Leandro Barbosa, SG",0.853658536585,0.134146341463,0.59512195122,0.470198675497,0.116279069767,0.21,0.188405797101,0.214953271028,0.534246575342,0.0342465753425,0.333333333333,0.4,0.085,0.219209039548,0.481481481481,0.490909090909,0.482,0.40625,0.485714285714,0.375,0.266666666667,0.261682242991,0.88,0.40206185567,0.381443298969,0.532,0.5232,0.54
"Jared Dudley, SF",0.585365853659,0.0,0.370731707317,0.182119205298,0.279069767442,0.19,0.217391304348,0.0747663551402,0.369863013699,0.0445205479452,0.179487179487,0.35,0.055,0.171751412429,0.175925925926,0.177272727273,0.481,0.15625,0.2,0.394,0.133333333333,0.158878504673,0.69,0.144329896907,0.128865979381,0.528,0.5588,0.55
