Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Luol Deng, SF",0.853658536585,0.841463414634,0.915458937198,0.584717607973,0.431818181818,0.556701030928,0.55303030303,0.181818181818,0.403433476395,0.312949640288,0.5,0.45,0.183333333333,0.483483483483,0.673267326733,0.659090909091,0.466,0.166666666667,0.169014084507,0.386,0.391304347826,0.460784313725,0.76,0.692307692308,0.696335078534,0.474,0.30325,0.48
"Derrick Rose, PG",0.951219512195,0.951219512195,0.888888888889,0.691029900332,0.181818181818,0.298969072165,0.287878787879,0.545454545455,0.31330472103,0.125899280576,0.736842105263,0.3,0.366666666667,0.561561561562,0.851485148515,0.8,0.489,0.0666666666667,0.112676056338,0.267,0.358695652174,0.421568627451,0.77,0.923076923077,0.879581151832,0.5,0.29475,0.5
"Kirk Hinrich, SG",0.90243902439,0.646341463415,0.809178743961,0.362126245847,0.0681818181818,0.329896907216,0.265151515152,0.409090909091,0.49356223176,0.115107913669,0.394736842105,0.7,0.483333333333,0.348348348348,0.415841584158,0.463636363636,0.409,0.466666666667,0.535211267606,0.371,0.119565217391,0.147058823529,0.75,0.307692307692,0.335078534031,0.431,0.26725,0.48
"John Salmons, SF",0.621951219512,0.341463414634,0.80193236715,0.421926910299,0.0909090909091,0.319587628866,0.257575757576,0.227272727273,0.545064377682,0.154676258993,0.368421052632,0.5,0.3,0.381381381381,0.445544554455,0.486363636364,0.42,0.466666666667,0.535211267606,0.38,0.25,0.28431372549,0.79,0.340659340659,0.361256544503,0.441,0.296,0.49
"Joakim Noah, C",0.780487804878,0.658536585366,0.727053140097,0.355481727575,0.772727272727,0.783505154639,0.833333333333,0.190909090909,0.214592274678,0.561151079137,0.473684210526,0.775,0.183333333333,0.540540540541,0.405940594059,0.368181818182,0.504,0.0,0.0,0.0,0.271739130435,0.333333333333,0.74,0.450549450549,0.424083769634,0.504,0.33025,0.5
"Taj Gibson, PF",1.0,0.853658536585,0.649758454106,0.299003322259,0.636363636364,0.484536082474,0.568181818182,0.0818181818182,0.261802575107,0.456834532374,0.368421052632,0.85,0.1,0.414414414414,0.376237623762,0.35,0.494,0.0,0.0,0.0,0.152173913043,0.205882352941,0.65,0.417582417582,0.403141361257,0.494,0.29225,0.49
"Brad Miller, C",1.0,0.451219512195,0.574879227053,0.292358803987,0.227272727273,0.40206185567,0.371212121212,0.172727272727,0.231759656652,0.125899280576,0.342105263158,0.575,0.233333333333,0.39039039039,0.29702970297,0.322727272727,0.43,0.166666666667,0.225352112676,0.28,0.239130434783,0.264705882353,0.83,0.274725274725,0.287958115183,0.474,0.3095,0.46
"Ronald Murray, SG",0.353658536585,0.0121951219512,0.565217391304,0.335548172757,0.0909090909091,0.257731958763,0.219696969697,0.163636363636,0.266094420601,0.0503597122302,0.236842105263,0.425,0.333333333333,0.363363363363,0.366336633663,0.427272727273,0.397,0.333333333333,0.43661971831,0.311,0.184782608696,0.21568627451,0.76,0.296703296703,0.329842931937,0.44,0.2685,0.45
"Tyrus Thomas, PF",0.353658536585,0.0365853658537,0.565217391304,0.292358803987,0.318181818182,0.505154639175,0.477272727273,0.1,0.592274678112,0.597122302158,0.473684210526,0.55,0.1,0.498498498498,0.336633663366,0.322727272727,0.483,0.0,0.0,0.0,0.217391304348,0.303921568627,0.64,0.373626373626,0.371727748691,0.485,0.31225,0.48
"Hakim Warrick, PF",0.341463414634,0.0,0.458937198068,0.28903654485,0.318181818182,0.226804123711,0.272727272727,0.0545454545455,0.107296137339,0.104316546763,0.210526315789,0.375,0.116666666667,0.471471471471,0.29702970297,0.277272727273,0.483,0.0,0.0,0.0,0.304347826087,0.352941176471,0.75,0.32967032967,0.319371727749,0.485,0.35325,0.48
