Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Monta Ellis, SG",0.780487804878,0.780487804878,1.0,0.847176079734,0.159090909091,0.340206185567,0.30303030303,0.481818181818,0.957081545064,0.140287769784,1.0,0.75,0.233333333333,0.501501501502,0.980198019802,1.0,0.449,0.4,0.507042253521,0.338,0.5,0.598039215686,0.75,0.956043956044,0.96335078534,0.47,0.29,0.48
"Stephen Curry, PG",0.975609756098,0.939024390244,0.874396135266,0.581395348837,0.136363636364,0.40206185567,0.340909090909,0.536363636364,0.815450643777,0.0863309352518,0.815789473684,0.8,0.316666666667,0.489489489489,0.653465346535,0.65,0.462,0.7,0.676056338028,0.437,0.239130434783,0.245098039216,0.89,0.494505494505,0.497382198953,0.474,0.306,0.53
"Stephen Jackson, SF",0.109756097561,0.109756097561,0.804347826087,0.551495016611,0.159090909091,0.329896907216,0.295454545455,0.427272727273,0.669527896996,0.241007194245,0.763157894737,0.45,0.266666666667,0.435435435435,0.613861386139,0.672727272727,0.421,0.4,0.619718309859,0.275,0.315217391304,0.401960784314,0.7,0.549450549451,0.544502617801,0.484,0.28,0.46
"Reggie Williams, SF",0.292682926829,0.121951219512,0.787439613527,0.504983388704,0.181818181818,0.39175257732,0.348484848485,0.254545454545,0.394849785408,0.089928057554,0.315789473684,0.5,0.383333333333,0.48048048048,0.574257425743,0.536363636364,0.495,0.466666666667,0.535211267606,0.359,0.239130434783,0.254901960784,0.84,0.483516483516,0.418848167539,0.56,0.3225,0.55
"Anthony Tolliver, PF",0.536585365854,0.353658536585,0.780193236715,0.408637873754,0.431818181818,0.546391752577,0.55303030303,0.181818181818,0.31330472103,0.269784172662,0.263157894737,0.725,0.316666666667,0.414414414414,0.435643564356,0.463636363636,0.431,0.366666666667,0.478873239437,0.331,0.25,0.294117647059,0.77,0.362637362637,0.356020942408,0.481,0.30075,0.49
"Corey Maggette, SF",0.853658536585,0.59756097561,0.717391304348,0.65780730897,0.295454545455,0.412371134021,0.401515151515,0.227272727273,0.317596566524,0.0215827338129,0.631578947368,0.825,0.166666666667,0.612612612613,0.643564356436,0.577272727273,0.516,0.0666666666667,0.0985915492958,0.26,0.717391304348,0.774509803922,0.83,0.692307692308,0.628272251309,0.531,0.39125,0.52
"Anthony Morrow, SG",0.841463414634,0.451219512195,0.705314009662,0.431893687708,0.204545454545,0.298969072165,0.287878787879,0.136363636364,0.403433476395,0.0827338129496,0.315789473684,0.575,0.2,0.423423423423,0.475247524752,0.463636363636,0.468,0.666666666667,0.619718309859,0.456,0.163043478261,0.166666666667,0.89,0.307692307692,0.303664921466,0.477,0.31975,0.57
"Cartier Martin, PF",0.121951219512,0.0243902439024,0.666666666667,0.299003322259,0.386363636364,0.309278350515,0.356060606061,0.0818181818182,0.343347639485,0.0,0.342105263158,0.9,0.116666666667,0.219219219219,0.316831683168,0.4,0.364,0.333333333333,0.43661971831,0.323,0.173913043478,0.205882352941,0.76,0.241758241758,0.298429319372,0.386,0.25575,0.42
"C.J. Watson, PG",0.792682926829,0.182926829268,0.664251207729,0.34219269103,0.0909090909091,0.226804123711,0.19696969697,0.254545454545,0.678111587983,0.0431654676259,0.289473684211,0.475,0.433333333333,0.417417417417,0.376237623762,0.368181818182,0.468,0.233333333333,0.30985915493,0.31,0.217391304348,0.254901960784,0.77,0.340659340659,0.30890052356,0.527,0.31575,0.51
"Coby Karl, PG",0.0487804878049,0.0121951219512,0.652173913043,0.232558139535,0.227272727273,0.309278350515,0.30303030303,0.345454545455,0.321888412017,0.089928057554,0.394736842105,0.875,0.416666666667,0.213213213213,0.277227722772,0.363636363636,0.344,0.166666666667,0.394366197183,0.182,0.108695652174,0.147058823529,0.67,0.252747252747,0.272251308901,0.429,0.21875,0.38
