Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Dwyane Wade, SG",0.939024390244,0.939024390244,0.876811594203,0.883720930233,0.318181818182,0.360824742268,0.363636363636,0.590909090909,0.789699570815,0.381294964029,0.868421052632,0.6,0.333333333333,0.843843843844,0.920792079208,0.890909090909,0.476,0.3,0.450704225352,0.3,0.75,0.892156862745,0.76,0.923076923077,0.858638743455,0.509,0.33825,0.5
"Michael Beasley, SF",0.951219512195,0.951219512195,0.719806763285,0.491694352159,0.363636363636,0.494845360825,0.484848484848,0.118181818182,0.442060085837,0.226618705036,0.447368421053,0.7,0.133333333333,0.486486486486,0.594059405941,0.604545454545,0.45,0.133333333333,0.183098591549,0.275,0.271739130435,0.303921568627,0.8,0.615384615385,0.628272251309,0.469,0.278,0.46
"Jermaine O'Neal, C",0.853658536585,0.853658536585,0.685990338164,0.451827242525,0.409090909091,0.536082474227,0.522727272727,0.118181818182,0.154506437768,0.489208633094,0.473684210526,0.75,0.116666666667,0.537537537538,0.554455445545,0.481818181818,0.529,0.0,0.0,0.0,0.25,0.313725490196,0.72,0.615384615385,0.55497382199,0.53,0.31875,0.53
"Udonis Haslem, PF",0.951219512195,0.0,0.673913043478,0.328903654485,0.477272727273,0.60824742268,0.613636363636,0.0636363636364,0.163090128755,0.104316546763,0.263157894737,0.55,0.116666666667,0.438438438438,0.39603960396,0.368181818182,0.494,0.0,0.0,0.0,0.20652173913,0.245098039216,0.76,0.43956043956,0.424083769634,0.494,0.305,0.49
"Quentin Richardson, SF",0.926829268293,0.914634146341,0.661835748792,0.295681063123,0.181818181818,0.422680412371,0.371212121212,0.109090909091,0.394849785408,0.0863309352518,0.210526315789,0.55,0.25,0.387387387387,0.316831683168,0.336363636364,0.431,0.633333333333,0.661971830986,0.397,0.0760869565217,0.0882352941176,0.73,0.142857142857,0.141361256545,0.493,0.30225,0.56
"Rafer Alston, PG",0.30487804878,0.30487804878,0.632850241546,0.21926910299,0.0454545454545,0.20618556701,0.166666666667,0.263636363636,0.394849785408,0.0719424460432,0.368421052632,0.525,0.35,0.231231231231,0.237623762376,0.309090909091,0.355,0.4,0.450704225352,0.37,0.0652173913043,0.107843137255,0.56,0.131868131868,0.188481675393,0.341,0.244,0.44
"Mario Chalmers, PG",0.890243902439,0.268292682927,0.599033816425,0.235880398671,0.0681818181818,0.154639175258,0.136363636364,0.309090909091,0.536480686695,0.0575539568345,0.447368421053,0.6,0.333333333333,0.321321321321,0.247524752475,0.281818181818,0.401,0.333333333333,0.450704225352,0.318,0.119565217391,0.147058823529,0.75,0.164835164835,0.157068062827,0.491,0.287,0.48
"Carlos Arroyo, PG",0.878048780488,0.426829268293,0.531400966184,0.202657807309,0.0909090909091,0.144329896907,0.136363636364,0.281818181818,0.214592274678,0.0287769784173,0.210526315789,0.35,0.7,0.372372372372,0.247524752475,0.236363636364,0.475,0.0333333333333,0.0422535211268,0.28,0.119565217391,0.127450980392,0.84,0.263736263736,0.256544502618,0.489,0.29275,0.48
"Dorell Wright, SF",0.878048780488,0.0121951219512,0.502415458937,0.235880398671,0.159090909091,0.268041237113,0.25,0.118181818182,0.309012875536,0.158273381295,0.184210526316,0.325,0.283333333333,0.438438438438,0.267326732673,0.263636363636,0.463,0.266666666667,0.30985915493,0.389,0.0869565217391,0.0980392156863,0.88,0.208791208791,0.188481675393,0.508,0.30425,0.54
"Joel Anthony, C",0.975609756098,0.19512195122,0.398550724638,0.0897009966777,0.340909090909,0.164948453608,0.234848484848,0.0181818181818,0.107296137339,0.489208633094,0.157894736842,0.5,0.05,0.309309309309,0.0990099009901,0.0909090909091,0.478,0.0,0.0,0.0,0.0869565217391,0.117647058824,0.72,0.10989010989,0.104712041885,0.478,0.34275,0.48
