Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Joe Johnson, SF",0.909090909091,0.909090909091,0.901015228426,0.671428571429,0.204545454545,0.259259259259,0.255172413793,0.333333333333,0.316205533597,0.0602739726027,0.475,0.325,0.222222222222,0.600649350649,0.71,0.673913043478,0.454,0.777777777778,0.782608695652,0.388,0.376811594203,0.292452830189,0.85,0.549450549451,0.558011049724,0.489,0.6065,0.52
"Josh Smith, C",1.0,1.0,0.895939086294,0.671428571429,0.477272727273,0.694444444444,0.662068965517,0.333333333333,0.557312252964,0.476712328767,0.625,0.65,0.177777777778,0.685064935065,0.76,0.726086956522,0.458,0.148148148148,0.246376811594,0.257,0.449275362319,0.462264150943,0.63,0.791208791209,0.828729281768,0.48,0.5625,0.47
"Jeff Teague, PG",1.0,1.0,0.840101522843,0.45,0.0681818181818,0.194444444444,0.165517241379,0.418803418803,0.636363636364,0.153424657534,0.5,0.55,0.266666666667,0.512987012987,0.48,0.44347826087,0.476,0.296296296296,0.333333333333,0.342,0.304347826087,0.264150943396,0.76,0.43956043956,0.436464088398,0.514,0.6185,0.51
"Al Horford, C",0.166666666667,0.166666666667,0.802030456853,0.442857142857,0.545454545455,0.425925925926,0.48275862069,0.188034188034,0.359683794466,0.347945205479,0.375,0.475,0.166666666667,0.616883116883,0.52,0.408695652174,0.553,0.0,0.0144927536232,0.0,0.289855072464,0.254716981132,0.73,0.571428571429,0.513812154696,0.559,0.66,0.55
"Zaza Pachulia, C",0.878787878788,0.666666666667,0.718274111675,0.278571428571,0.613636363636,0.481481481481,0.544827586207,0.119658119658,0.375494071146,0.13698630137,0.35,0.75,0.111111111111,0.454545454545,0.29,0.252173913043,0.499,0.0,0.0,0.0,0.289855072464,0.254716981132,0.74,0.318681318681,0.32044198895,0.499,0.671,0.5
"Marvin Williams, PF",0.863636363636,0.560606060606,0.667512690355,0.364285714286,0.295454545455,0.351851851852,0.358620689655,0.102564102564,0.324110671937,0.0876712328767,0.175,0.375,0.2,0.516233766234,0.36,0.35652173913,0.432,0.37037037037,0.376811594203,0.389,0.289855072464,0.245283018868,0.79,0.285714285714,0.309392265193,0.452,0.616,0.49
"Kirk Hinrich, SG",0.727272727273,0.469696969697,0.654822335025,0.235714285714,0.0454545454545,0.175925925926,0.144827586207,0.239316239316,0.312252964427,0.0630136986301,0.3,0.525,0.255555555556,0.301948051948,0.25,0.265217391304,0.414,0.37037037037,0.405797101449,0.346,0.0724637681159,0.0660377358491,0.78,0.164835164835,0.182320441989,0.472,0.5355,0.49
"Willie Green, SG",0.80303030303,0.030303030303,0.441624365482,0.271428571429,0.0681818181818,0.111111111111,0.103448275862,0.0683760683761,0.169960474308,0.0301369863014,0.15,0.35,0.133333333333,0.451298701299,0.29,0.265217391304,0.471,0.333333333333,0.304347826087,0.442,0.130434782609,0.103773584906,0.86,0.21978021978,0.220994475138,0.486,0.6215,0.55
"Ivan Johnson, PF",0.848484848485,0.0,0.42385786802,0.228571428571,0.272727272727,0.268518518519,0.275862068966,0.0512820512821,0.304347826087,0.0876712328767,0.3,0.525,0.0555555555556,0.467532467532,0.25,0.213043478261,0.513,0.0,0.0144927536232,0.333,0.188405797101,0.169811320755,0.72,0.274725274725,0.265193370166,0.517,0.6475,0.52
"Tracy McGrady, SG",0.787878787879,0.0,0.408629441624,0.189285714286,0.0909090909091,0.231481481481,0.206896551724,0.179487179487,0.122529644269,0.0794520547945,0.25,0.175,0.233333333333,0.444805194805,0.19,0.191304347826,0.437,0.111111111111,0.0869565217391,0.455,0.159420289855,0.150943396226,0.67,0.175824175824,0.209944751381,0.434,0.591,0.47
