Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Andre Iguodala, SF",0.939393939394,0.939393939394,0.903553299492,0.442857142857,0.204545454545,0.481481481481,0.420689655172,0.470085470085,0.683794466403,0.131506849315,0.475,0.375,0.322222222222,0.571428571429,0.46,0.44347826087,0.454,0.444444444444,0.449275362319,0.394,0.289855072464,0.301886792453,0.62,0.373626373626,0.39226519337,0.481,0.61,0.51
"Jrue Holiday, PG",0.984848484848,0.984848484848,0.857868020305,0.482142857143,0.204545454545,0.222222222222,0.227586206897,0.384615384615,0.624505928854,0.0767123287671,0.525,0.525,0.233333333333,0.477272727273,0.55,0.55652173913,0.432,0.37037037037,0.376811594203,0.38,0.202898550725,0.169811320755,0.78,0.494505494505,0.563535911602,0.445,0.527,0.47
"Elton Brand, PF",0.909090909091,0.909090909091,0.733502538071,0.392857142857,0.545454545455,0.435185185185,0.496551724138,0.136752136752,0.383399209486,0.443835616438,0.275,0.725,0.166666666667,0.587662337662,0.48,0.421739130435,0.494,0.0,0.0,0.0,0.202898550725,0.179245283019,0.73,0.527472527473,0.53591160221,0.495,0.567,0.49
"Thaddeus Young, PF",0.954545454545,0.0151515151515,0.708121827411,0.457142857143,0.5,0.277777777778,0.358620689655,0.102564102564,0.403162055336,0.178082191781,0.225,0.5,0.144444444444,0.613636363636,0.55,0.473913043478,0.507,0.0,0.0144927536232,0.25,0.260869565217,0.216981132075,0.77,0.604395604396,0.596685082873,0.508,0.588,0.51
"Evan Turner, SG",0.984848484848,0.30303030303,0.670050761421,0.335714285714,0.0909090909091,0.5,0.4,0.239316239316,0.245059288538,0.0849315068493,0.4,0.45,0.188888888889,0.412337662338,0.4,0.395652173913,0.446,0.0740740740741,0.115942028986,0.224,0.159420289855,0.160377358491,0.68,0.417582417582,0.458563535912,0.466,0.517,0.46
"Louis Williams, SG",0.969696969697,0.0,0.667512690355,0.532142857143,0.113636363636,0.185185185185,0.165517241379,0.299145299145,0.328063241107,0.0767123287671,0.275,0.35,0.344444444444,0.655844155844,0.5,0.530434782609,0.407,0.481481481481,0.521739130435,0.362,0.536231884058,0.433962264151,0.81,0.406593406593,0.475138121547,0.425,0.6115,0.46
"Jodie Meeks, SG",1.0,0.757575757576,0.631979695431,0.3,0.0681818181818,0.203703703704,0.165517241379,0.0683760683761,0.241106719368,0.013698630137,0.1,0.3,0.211111111111,0.373376623377,0.29,0.308695652174,0.409,0.555555555556,0.579710144928,0.365,0.173913043478,0.122641509434,0.91,0.153846153846,0.171270718232,0.468,0.5955,0.51
"Spencer Hawes, PF",0.560606060606,0.439393939394,0.631979695431,0.342857142857,0.477272727273,0.481481481481,0.503448275862,0.222222222222,0.169960474308,0.356164383562,0.375,0.675,0.2,0.590909090909,0.42,0.373913043478,0.489,0.037037037037,0.0434782608696,0.25,0.159420289855,0.141509433962,0.73,0.450549450549,0.458563535912,0.498,0.5565,0.49
"Xavier Silas, SG",0.030303030303,0.0,0.494923857868,0.196428571429,0.227272727273,0.0925925925926,0.137931034483,0.128205128205,0.0,0.0,0.375,0.625,0.111111111111,0.00324675324675,0.2,0.326086956522,0.267,0.185185185185,0.434782608696,0.167,0.144927536232,0.141509433962,0.67,0.164835164835,0.24861878453,0.333,0.3665,0.3
"Nikola Vucevic, C",0.772727272727,0.227272727273,0.403553299492,0.196428571429,0.386363636364,0.287037037037,0.331034482759,0.0512820512821,0.154150197628,0.183561643836,0.15,0.55,0.1,0.464285714286,0.26,0.247826086957,0.45,0.037037037037,0.0289855072464,0.375,0.0579710144928,0.0660377358491,0.53,0.274725274725,0.303867403315,0.452,0.4865,0.46
