Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"DeMar DeRozan, SG",0.954545454545,0.954545454545,0.888324873096,0.596428571429,0.136363636364,0.25,0.227586206897,0.17094017094,0.300395256917,0.0739726027397,0.5,0.65,0.111111111111,0.418831168831,0.6,0.621739130435,0.422,0.148148148148,0.217391304348,0.261,0.623188405797,0.5,0.81,0.615384615385,0.707182320442,0.44,0.5835,0.44
"Jose Calderon, PG",0.80303030303,0.80303030303,0.860406091371,0.375,0.0909090909091,0.25,0.206896551724,0.752136752137,0.351778656126,0.0164383561644,0.5,0.45,0.5,0.542207792208,0.41,0.391304347826,0.457,0.407407407407,0.434782608696,0.371,0.159420289855,0.122641509434,0.88,0.32967032967,0.331491712707,0.5,0.582,0.52
"Andrea Bargnani, C",0.469696969697,0.469696969697,0.845177664975,0.696428571429,0.181818181818,0.444444444444,0.379310344828,0.17094017094,0.229249011858,0.131506849315,0.55,0.425,0.1,0.584415584416,0.67,0.678260869565,0.432,0.407407407407,0.536231884058,0.296,0.710144927536,0.528301886792,0.87,0.615384615385,0.657458563536,0.474,0.623,0.47
"Alan Anderson, SG",0.257575757576,0.181818181818,0.687817258883,0.342857142857,0.113636363636,0.138888888889,0.137931034483,0.128205128205,0.114624505929,0.0493150684932,0.375,0.525,0.111111111111,0.282467532468,0.32,0.365217391304,0.387,0.518518518519,0.521739130435,0.393,0.246376811594,0.188679245283,0.85,0.197802197802,0.265193370166,0.383,0.574,0.47
"James Johnson, PF",0.939393939394,0.606060606061,0.639593908629,0.325,0.272727272727,0.324074074074,0.324137931034,0.17094017094,0.454545454545,0.369863013699,0.4,0.725,0.133333333333,0.470779220779,0.38,0.365217391304,0.45,0.111111111111,0.144927536232,0.317,0.188405797101,0.179245283019,0.7,0.384615384615,0.408839779006,0.467,0.5465,0.47
"Amir Johnson, PF",0.969696969697,0.651515151515,0.616751269036,0.253571428571,0.522727272727,0.37037037037,0.441379310345,0.102564102564,0.205533596838,0.295890410959,0.375,0.825,0.0888888888889,0.467532467532,0.31,0.230434782609,0.576,0.0,0.0144927536232,0.4,0.130434782609,0.122641509434,0.69,0.340659340659,0.28729281768,0.579,0.6645,0.58
"Ed Davis, C",1.0,0.136363636364,0.58883248731,0.225,0.454545454545,0.425925925926,0.455172413793,0.0769230769231,0.241106719368,0.260273972603,0.25,0.6,0.1,0.461038961039,0.26,0.221739130435,0.513,0.0,0.0,0.0,0.159420289855,0.150943396226,0.67,0.285714285714,0.281767955801,0.515,0.6195,0.51
"Jerryd Bayless, PG",0.469696969697,0.166666666667,0.57614213198,0.407142857143,0.0681818181818,0.175925925926,0.144827586207,0.324786324786,0.304347826087,0.0356164383562,0.425,0.575,0.244444444444,0.577922077922,0.38,0.386956521739,0.424,0.518518518519,0.492753623188,0.423,0.347826086957,0.264150943396,0.85,0.263736263736,0.303867403315,0.424,0.6395,0.5
"Leandro Barbosa, SG",0.636363636364,0.0,0.571065989848,0.435714285714,0.113636363636,0.12962962963,0.131034482759,0.128205128205,0.339920948617,0.0465753424658,0.4,0.6,0.1,0.464285714286,0.47,0.469565217391,0.436,0.37037037037,0.376811594203,0.36,0.260869565217,0.207547169811,0.84,0.406593406593,0.453038674033,0.461,0.564,0.48
"Ben Uzoh, PG",0.242424242424,0.121212121212,0.565989847716,0.171428571429,0.25,0.268518518519,0.268965517241,0.316239316239,0.395256916996,0.0520547945205,0.3,0.475,0.344444444444,0.340909090909,0.21,0.25652173913,0.351,0.0,0.0144927536232,0.0,0.101449275362,0.11320754717,0.58,0.230769230769,0.32044198895,0.355,0.4095,0.35
