Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kemba Walker, PG",1.0,1.0,0.90180878553,0.616724738676,0.116666666667,0.225,0.194444444444,0.513513513514,0.809128630705,0.125412541254,0.615384615385,0.5,0.3,0.596214511041,0.633663366337,0.684684684685,0.423,0.371428571429,0.519480519481,0.322,0.418604651163,0.441176470588,0.8,0.586206896552,0.636363636364,0.459,0.334285714286,0.47
"Gerald Henderson, SG",0.829268292683,0.707317073171,0.811369509044,0.540069686411,0.133333333333,0.241666666667,0.205555555556,0.234234234234,0.414937759336,0.16501650165,0.410256410256,0.578947368421,0.2,0.520504731861,0.554455445545,0.567567567568,0.447,0.142857142857,0.194805194805,0.33,0.441860465116,0.450980392157,0.82,0.586206896552,0.630681818182,0.462,0.352571428571,0.47
"Josh McRoberts, PF",0.317073170732,0.231707317073,0.795865633075,0.324041811847,0.333333333333,0.433333333333,0.4,0.243243243243,0.352697095436,0.191419141914,0.384615384615,0.657894736842,0.2375,0.466876971609,0.366336633663,0.328828828829,0.505,0.0857142857143,0.142857142857,0.241,0.197674418605,0.205882352941,0.78,0.390804597701,0.352272727273,0.553,0.364,0.52
"Bismack Biyombo, C",0.975609756098,0.792682926829,0.705426356589,0.16724738676,0.4,0.408333333333,0.405555555556,0.036036036036,0.145228215768,0.590759075908,0.25641025641,0.631578947368,0.05,0.318611987382,0.19801980198,0.193693693694,0.451,0.0,0.0,0.0,0.104651162791,0.176470588235,0.52,0.229885057471,0.244318181818,0.451,0.318857142857,0.45
"Ramon Sessions, PG",0.743902439024,0.0,0.700258397933,0.501742160279,0.0666666666667,0.191666666667,0.155555555556,0.342342342342,0.327800829876,0.036303630363,0.435897435897,0.394736842105,0.275,0.561514195584,0.445544554455,0.5,0.408,0.142857142857,0.233766233766,0.308,0.558139534884,0.558823529412,0.84,0.459770114943,0.528409090909,0.427,0.370285714286,0.43
"Byron Mullens, C",0.646341463415,0.5,0.695090439276,0.369337979094,0.216666666667,0.416666666667,0.355555555556,0.135135135135,0.265560165975,0.19801980198,0.358974358974,0.552631578947,0.1375,0.388012618297,0.405940594059,0.477477477477,0.385,0.342857142857,0.506493506494,0.317,0.139534883721,0.186274509804,0.65,0.333333333333,0.380681818182,0.425,0.286285714286,0.44
"Michael Kidd-Gilchrist, SF",0.951219512195,0.939024390244,0.671834625323,0.313588850174,0.283333333333,0.35,0.322222222222,0.135135135135,0.286307053942,0.29702970297,0.333333333333,0.552631578947,0.15,0.441640378549,0.356435643564,0.355855855856,0.458,0.0,0.012987012987,0.222,0.209302325581,0.235294117647,0.75,0.413793103448,0.443181818182,0.462,0.328,0.46
"Ben Gordon, SG",0.914634146341,0.0,0.537467700258,0.390243902439,0.0333333333333,0.125,0.0944444444444,0.171171171171,0.195020746888,0.0693069306931,0.461538461538,0.473684210526,0.125,0.400630914826,0.405940594059,0.454954954955,0.408,0.428571428571,0.506493506494,0.387,0.162790697674,0.166666666667,0.84,0.298850574713,0.352272727273,0.421,0.315714285714,0.48
"Jeff Taylor, SF",0.939024390244,0.353658536585,0.50645994832,0.212543554007,0.116666666667,0.108333333333,0.105555555556,0.0720720720721,0.253112033195,0.0627062706271,0.153846153846,0.473684210526,0.1625,0.324921135647,0.217821782178,0.234234234234,0.431,0.2,0.25974025974,0.344,0.116279069767,0.127450980392,0.73,0.172413793103,0.181818181818,0.486,0.338,0.5
"Brendan Haywood, C",0.743902439024,0.207317073171,0.490956072351,0.121951219512,0.333333333333,0.225,0.266666666667,0.045045045045,0.107883817427,0.26402640264,0.205128205128,0.526315789474,0.075,0.277602523659,0.148514851485,0.157657657658,0.431,0.0,0.0,0.0,0.0581395348837,0.107843137255,0.45,0.172413793103,0.198863636364,0.433,0.285714285714,0.43
