Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Paul George, SF",0.963414634146,0.963414634146,0.97157622739,0.606271777003,0.183333333333,0.541666666667,0.422222222222,0.369369369369,0.751037344398,0.214521452145,0.74358974359,0.763157894737,0.175,0.529968454259,0.613861386139,0.671171171171,0.419,0.628571428571,0.766233766234,0.362,0.325581395349,0.343137254902,0.81,0.459770114943,0.511363636364,0.457,0.334571428571,0.49
"George Hill, PG",0.926829268293,0.926829268293,0.891472868217,0.494773519164,0.1,0.258333333333,0.205555555556,0.423423423423,0.44398340249,0.112211221122,0.384615384615,0.473684210526,0.3875,0.523659305994,0.50495049505,0.518018018018,0.443,0.485714285714,0.597402597403,0.368,0.267441860465,0.274509803922,0.82,0.390804597701,0.392045454545,0.494,0.352857142857,0.52
"David West, PF",0.890243902439,0.890243902439,0.863049095607,0.595818815331,0.333333333333,0.475,0.427777777778,0.261261261261,0.419087136929,0.313531353135,0.564102564103,0.526315789474,0.175,0.634069400631,0.683168316832,0.621621621622,0.498,0.0285714285714,0.038961038961,0.211,0.383720930233,0.421568627451,0.77,0.781609195402,0.767045454545,0.503,0.354,0.5
"Lance Stephenson, SF",0.951219512195,0.878048780488,0.754521963824,0.306620209059,0.1,0.275,0.216666666667,0.261261261261,0.43153526971,0.0693069306931,0.358974358974,0.552631578947,0.25,0.372239747634,0.346534653465,0.346846846847,0.46,0.228571428571,0.311688311688,0.33,0.116279069767,0.147058823529,0.65,0.310344827586,0.301136363636,0.52,0.328285714286,0.51
"Roy Hibbert, C",0.963414634146,0.963414634146,0.741602067183,0.414634146341,0.616666666667,0.383333333333,0.461111111111,0.126126126126,0.203319502075,0.861386138614,0.538461538462,0.921052631579,0.0875,0.545741324921,0.485148514851,0.490990990991,0.448,0.0,0.012987012987,0.25,0.244186046512,0.274509803922,0.74,0.563218390805,0.613636363636,0.449,0.311714285714,0.45
"Gerald Green, SF",0.731707317073,0.0853658536585,0.46511627907,0.243902439024,0.0833333333333,0.15,0.133333333333,0.0720720720721,0.132780082988,0.125412541254,0.230769230769,0.289473684211,0.1125,0.312302839117,0.257425742574,0.31981981982,0.366,0.285714285714,0.402597402597,0.314,0.104651162791,0.107843137255,0.8,0.183908045977,0.227272727273,0.407,0.283714285714,0.44
"Tyler Hansbrough, PF",0.987804878049,0.0975609756098,0.43669250646,0.243902439024,0.333333333333,0.216666666667,0.255555555556,0.036036036036,0.149377593361,0.0726072607261,0.25641025641,0.5,0.0625,0.482649842271,0.217821782178,0.225225225225,0.432,0.0,0.0,0.0,0.313953488372,0.362745098039,0.72,0.252873563218,0.284090909091,0.436,0.398857142857,0.43
"Ian Mahinmi, C",0.975609756098,0.0243902439024,0.426356589147,0.174216027875,0.233333333333,0.208333333333,0.216666666667,0.027027027027,0.203319502075,0.273927392739,0.307692307692,0.657894736842,0.0375,0.334384858044,0.188118811881,0.184684684685,0.453,0.0,0.0,0.0,0.151162790698,0.205882352941,0.61,0.218390804598,0.232954545455,0.456,0.349142857143,0.45
"D.J. Augustin, PG",0.926829268293,0.0609756097561,0.416020671835,0.163763066202,0.05,0.075,0.0666666666667,0.198198198198,0.186721991701,0.013201320132,0.230769230769,0.210526315789,0.3125,0.347003154574,0.138613861386,0.175675675676,0.35,0.257142857143,0.324675324675,0.353,0.127906976744,0.127450980392,0.84,0.0574712643678,0.0795454545455,0.346,0.346,0.46
"Danny Granger, SF",0.0609756097561,0.0,0.382428940568,0.188153310105,0.1,0.1,0.1,0.0540540540541,0.165975103734,0.0660066006601,0.205128205128,0.315789473684,0.1,0.1261829653,0.19801980198,0.315315315315,0.286,0.114285714286,0.25974025974,0.2,0.116279069767,0.156862745098,0.63,0.183908045977,0.284090909091,0.32,0.220285714286,0.31
